stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,75.691,Man Utd
Emirates Stadium,60.704,60.083,Arsenal FC
St James' Park,52.338,51.321,Newcastle United
Anfield,60.725,43.532,Liverpool FC
Stadium of Light,48.707,43.344,Sunderland AFC
Etihad Stadium,55.017,42.126,Man City
Stamford Bridge,40.853,41.397,Chelsea FC
Villa Park,42.682,40.396,Aston Villa
Goodison Park,39.571,36.955,Everton FC
Tottenham Hotspur Stadium,62.85,35.967,Spurs
London Stadium,62.5,34.601,West Ham United
Pride Park Stadium,33.597,32.432,Derby County
Riverside Stadium,33.746,26.708,Middlesbrough FC
St Andrew's,29.409,26.181,Birmingham City
Ewood Park,31.367,23.944,Blackburn Rovers
Craven Cottage,25.7,23.774,Fulham FC
Select Car Leasing Stadium,24.161,23.574,Reading FC
Toughsheet Community Stadium,28.723,20.901,Bolton
Fratton Park,20.688,19.914,Portsmouth FC
DW Stadium,25.133,19.046,Wigan Athletic
