stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,75.335,Man Utd
Emirates Stadium,60.704,59.992,Arsenal FC
St James' Park,52.338,50.359,Newcastle United
Etihad Stadium,55.017,45.365,Man City
Anfield,60.725,44.659,Liverpool FC
Stadium of Light,48.707,43.171,Sunderland AFC
Stamford Bridge,40.853,41.546,Chelsea FC
Goodison Park,39.571,38.406,Everton FC
Tottenham Hotspur Stadium,62.85,35.728,Spurs
London Stadium,62.5,34.871,West Ham United
Villa Park,42.682,34.133,Aston Villa
King Power Stadium,32.273,31.693,Leicester City
St Mary's Stadium,32.384,30.652,Southampton FC
bet365 Stadium,30.089,27.081,Stoke City
The Hawthorns,26.85,25.064,West Brom
Selhurst Park,26.047,24.412,Crystal Palace
MKM Stadium,25.586,23.557,Hull City
Swansea.com Stadium,21.088,20.555,Swansea City
Turf Moor,21.994,19.131,Burnley FC
Loftus Road Stadium,18.36,17.809,QPR
