stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,75.29,Man Utd
Emirates Stadium,60.704,59.957,Arsenal FC
London Stadium,62.5,56.972,West Ham United
Etihad Stadium,55.017,54.019,Man City
Anfield,60.725,53.016,Liverpool FC
Stamford Bridge,40.853,41.508,Chelsea FC
Stadium of Light,48.707,41.287,Sunderland AFC
Goodison Park,39.571,39.08,Everton FC
King Power Stadium,32.273,31.893,Leicester City
Tottenham Hotspur Stadium,62.85,31.639,Spurs
St Mary's Stadium,32.384,30.936,Southampton FC
Riverside Stadium,33.746,30.449,Middlesbrough FC
bet365 Stadium,30.089,27.433,Stoke City
Selhurst Park,26.047,25.161,Crystal Palace
The Hawthorns,26.85,23.876,West Brom
MKM Stadium,25.586,20.656,Hull City
Swansea.com Stadium,21.088,20.619,Swansea City
Vicarage Road,21.577,20.571,Watford FC
Turf Moor,21.994,20.558,Burnley FC
Vitality Stadium,11.329,11.182,AFC Bournemouth
