stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,74.976,Man Utd
Tottenham Hotspur Stadium,62.85,67.496,Spurs
Emirates Stadium,60.704,59.323,Arsenal FC
London Stadium,62.5,56.885,West Ham United
Etihad Stadium,55.017,53.812,Man City
Anfield,60.725,53.049,Liverpool FC
St James' Park,52.338,51.992,Newcastle United
Stamford Bridge,40.853,41.282,Chelsea FC
Goodison Park,39.571,38.797,Everton FC
King Power Stadium,32.273,31.583,Leicester City
St Mary's Stadium,32.384,30.794,Southampton FC
AMEX Stadium,31.8,30.402,Brighton
bet365 Stadium,30.089,29.28,Stoke City
Selhurst Park,26.047,25.065,Crystal Palace
The Hawthorns,26.85,24.52,West Brom
John Smith's Stadium,24.5,24.042,Huddersfield
Turf Moor,21.994,20.688,Burnley FC
Swansea.com Stadium,21.088,20.622,Swansea City
Vicarage Road,21.577,20.231,Watford FC
Vitality Stadium,11.329,10.64,AFC Bournemouth
