stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,43.201,Man Utd
Emirates,60.704,35.353,Arsenal FC
,52.338,34.694,
Anfield,60.725,34.176,Liverpool FC
Elland Road,37.89,32.993,Leeds United
Goodison Park,39.571,31.369,Everton FC
Villa Park,42.682,29.756,Aston Villa
Tottenham Hotspur,62.85,27.068,Spurs
Hillsborough,39.859,26.587,Sheff Weds
Ewood Park,31.367,25.272,Blackburn Rovers
The City Ground,30.445,23.633,Nottm Forest
Etihad,55.017,22.674,Man City
Stamford Bridge,40.853,21.062,Chelsea FC
,62.5,20.206,
,32.273,19.532,
Carrow Road,27.244,18.625,Norwich City
Portman Road,29.673,16.895,Ipswich Town
Coventry,32.609,15.98,Coventry City
Selhurst Park,26.047,14.816,Wimbledon FC
St Mary's,32.384,14.689,Southampton FC
Loftus Road,18.36,14.587,QPR
Selhurst Park,26.309,10.206,Wimbledon FC
