stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,74.989,Man Utd
Emirates,60.704,60.023,Arsenal FC
,52.338,47.718,
Etihad,55.017,45.905,Man City
Anfield,60.725,42.824,Liverpool FC
Stamford Bridge,40.853,41.435,Chelsea FC
,48.707,40.011,
Villa Park,42.682,37.194,Aston Villa
Goodison Park,39.571,36.064,Everton FC
Tottenham Hotspur,62.85,35.722,Spurs
,62.5,33.404,
,32.05,27.696,
,30.089,26.858,
,29.409,25.462,
,25.7,25.151,
Ewood Park,31.367,25.0,Blackburn Rovers
,26.85,24.683,
,28.723,22.807,
,25.133,16.807,
,16.22,15.78,
