stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,75.271,Man Utd
Emirates Stadium,60.704,60.04,Arsenal FC
St James' Park,52.338,48.75,Newcastle United
Anfield,60.725,43.611,Liverpool FC
Etihad Stadium,55.017,42.903,Man City
Stamford Bridge,40.853,41.588,Chelsea FC
Stadium of Light,48.707,40.168,Sunderland AFC
Villa Park,42.682,39.812,Aston Villa
Tottenham Hotspur Stadium,62.85,35.929,Spurs
Goodison Park,39.571,35.667,Everton FC
London Stadium,62.5,33.7,West Ham United
Riverside Stadium,33.746,28.429,Middlesbrough FC
bet365 Stadium,30.089,26.821,Stoke City
The Hawthorns,26.85,25.828,West Brom
MKM Stadium,25.586,24.816,Hull City
Craven Cottage,25.7,24.344,Fulham FC
Ewood Park,31.367,23.479,Blackburn Rovers
Toughsheet Community Stadium,28.723,22.486,Bolton
Fratton Park,20.688,19.83,Portsmouth FC
DW Stadium,25.133,18.35,Wigan Athletic
