stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,67.558,Man Utd
,52.338,51.373,
,48.707,46.745,
Anfield,60.725,43.389,Liverpool FC
Elland Road,37.89,39.752,Leeds United
Stamford Bridge,40.853,39.03,Chelsea FC
Emirates,60.704,38.075,Arsenal FC
Villa Park,42.682,35.016,Aston Villa
Tottenham Hotspur,62.85,35.001,Spurs
Goodison Park,39.571,34.004,Everton FC
,62.5,31.358,
St Mary's,32.384,30.633,Southampton FC
,33.597,29.816,
Riverside,33.746,28.459,Middlesbrough FC
Ewood Park,31.367,25.976,Blackburn Rovers
,28.723,25.098,
Portman Road,29.673,24.426,Ipswich Town
,26.875,24.165,
,32.273,19.835,
,25.7,19.343,
