stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,67.602,Man Utd
St James' Park,52.338,51.923,Newcastle United
Anfield,60.725,43.243,Liverpool FC
Stamford Bridge,40.853,39.781,Chelsea FC
Stadium of Light,48.707,39.698,Sunderland AFC
Elland Road,37.89,39.146,Leeds United
Goodison Park,39.571,38.48,Everton FC
Emirates Stadium,60.704,38.029,Arsenal FC
Tottenham Hotspur Stadium,62.85,35.897,Spurs
Villa Park,42.682,34.975,Aston Villa
Etihad Stadium,55.017,34.565,Man City
London Stadium,62.5,34.419,West Ham United
Riverside Stadium,33.746,31.024,Middlesbrough FC
St Mary's Stadium,32.384,30.68,Southampton FC
St Andrew's,29.409,28.883,Birmingham City
The Hawthorns,26.85,26.731,West Brom
The Valley,26.875,26.256,Charlton
Ewood Park,31.367,26.238,Blackburn Rovers
Toughsheet Community Stadium,28.723,25.019,Bolton
Craven Cottage,25.7,16.707,Fulham FC
