stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,73.15,Man Utd
Emirates Stadium,60.704,59.811,Arsenal FC
London Stadium,62.5,58.569,West Ham United
Tottenham Hotspur Stadium,62.85,56.523,Spurs
Anfield,60.725,53.008,Liverpool FC
Etihad Stadium,55.017,52.738,Man City
St James' Park,52.338,51.487,Newcastle United
Goodison Park,39.571,38.882,Everton FC
Villa Park,42.682,41.651,Aston Villa
Stamford Bridge,40.853,36.443,Chelsea FC
Elland Road,37.89,36.286,Leeds United
King Power Stadium,32.273,31.94,Leicester City
AMEX Stadium,31.8,30.943,Brighton
Molineux Stadium,32.05,30.692,Wolves
Selhurst Park,26.047,24.282,Crystal Palace
St Mary's Stadium,32.384,29.882,Southampton FC
Carrow Road,27.244,26.883,Norwich City
Vicarage Road,21.577,20.598,Watford FC
Turf Moor,21.994,19.317,Burnley FC
Gtech Community Stadium,17.25,16.907,Brentford FC
