stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,72.71,Man Utd
Emirates Stadium,60.704,60.279,Arsenal FC
London Stadium,62.5,59.925,West Ham United
Tottenham Hotspur Stadium,62.85,59.384,Spurs
Anfield,60.725,53.143,Liverpool FC
Etihad Stadium,55.017,54.219,Man City
St James' Park,52.338,48.248,Newcastle United
Stamford Bridge,40.853,40.563,Chelsea FC
Goodison Park,39.571,39.15,Everton FC
Villa Park,42.682,41.661,Aston Villa
King Power Stadium,32.273,32.061,Leicester City
Molineux Stadium,32.05,31.36,Wolves
Bramall Lane,32.702,30.905,Sheff Utd
St Mary's Stadium,32.384,29.675,Southampton FC
AMEX Stadium,31.8,30.356,Brighton
Carrow Road,27.244,27.022,Norwich City
Selhurst Park,26.047,25.06,Crystal Palace
Turf Moor,21.994,20.26,Burnley FC
Vicarage Road,21.577,20.837,Watford FC
Vitality Stadium,11.329,10.51,AFC Bournemouth
