stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,68.765,Man Utd
St James' Park,52.338,52.032,Newcastle United
Anfield,60.725,44.236,Liverpool FC
Etihad Stadium,55.017,42.856,Man City
Stamford Bridge,40.853,41.902,Chelsea FC
Emirates Stadium,60.704,38.184,Arsenal FC
Goodison Park,39.571,36.86,Everton FC
Tottenham Hotspur Stadium,62.85,36.074,Spurs
Villa Park,42.682,34.112,Aston Villa
Stadium of Light,48.707,33.904,Sunderland AFC
London Stadium,62.5,33.743,West Ham United
Riverside Stadium,33.746,28.463,Middlesbrough FC
St Andrew's,29.409,27.392,Birmingham City
The Valley,26.875,26.196,Charlton
The Hawthorns,26.85,25.404,West Brom
Toughsheet Community Stadium,28.723,25.265,Bolton
Ewood Park,31.367,21.015,Blackburn Rovers
Craven Cottage,25.7,20.654,Fulham FC
DW Stadium,25.133,20.608,Wigan Athletic
Fratton Park,20.688,19.84,Portsmouth FC
