stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,74.864,Man Utd
Emirates Stadium,60.704,59.927,Arsenal FC
Etihad Stadium,55.017,45.47,Man City
Anfield,60.725,42.864,Liverpool FC
Stamford Bridge,40.853,41.423,Chelsea FC
Stadium of Light,48.707,40.355,Sunderland AFC
Villa Park,42.682,38.573,Aston Villa
Goodison Park,39.571,36.725,Everton FC
Tottenham Hotspur Stadium,62.85,35.794,Spurs
London Stadium,62.5,33.683,West Ham United
Molineux Stadium,32.05,28.366,Wolves
bet365 Stadium,30.089,27.162,Stoke City
Ewood Park,31.367,25.428,Blackburn Rovers
St Andrew's,29.409,25.246,Birmingham City
MKM Stadium,25.586,24.39,Hull City
Craven Cottage,25.7,23.909,Fulham FC
Toughsheet Community Stadium,28.723,22.2,Bolton
Turf Moor,21.994,20.654,Burnley FC
Fratton Park,20.688,18.249,Portsmouth FC
DW Stadium,25.133,18.006,Wigan Athletic
