stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,75.826,Man Utd
Emirates Stadium,60.704,60.04,Arsenal FC
St James' Park,52.338,50.686,Newcastle United
Anfield,60.725,43.561,Liverpool FC
Stamford Bridge,40.853,41.492,Chelsea FC
Etihad Stadium,55.017,39.997,Man City
Goodison Park,39.571,36.752,Everton FC
Villa Park,42.682,36.214,Aston Villa
Tottenham Hotspur Stadium,62.85,35.701,Spurs
London Stadium,62.5,34.719,West Ham United
Bramall Lane,32.702,30.512,Sheff Utd
Riverside Stadium,33.746,27.73,Middlesbrough FC
The Valley,26.875,26.195,Charlton
Select Car Leasing Stadium,24.161,23.829,Reading FC
Toughsheet Community Stadium,28.723,23.606,Bolton
Craven Cottage,25.7,22.287,Fulham FC
Ewood Park,31.367,21.275,Blackburn Rovers
Fratton Park,20.688,19.862,Portsmouth FC
Vicarage Road,21.577,18.741,Watford FC
DW Stadium,25.133,18.159,Wigan Athletic
