stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,58.014,Man Utd
Anfield,60.725,44.074,Liverpool FC
Stadium of Light,48.707,41.375,Sunderland AFC
Elland Road,37.89,39.155,Leeds United
Emirates Stadium,60.704,38.033,Arsenal FC
St James' Park,52.338,36.355,Newcastle United
Tottenham Hotspur Stadium,62.85,34.912,Spurs
Goodison Park,39.571,34.88,Everton FC
Stamford Bridge,40.853,34.532,Chelsea FC
Riverside Stadium,33.746,33.393,Middlesbrough FC
Villa Park,42.682,31.697,Aston Villa
Pride Park Stadium,33.597,29.351,Derby County
London Stadium,62.5,25.093,West Ham United
Hillsborough,39.859,24.855,Sheff Weds
Coventry Building Society Arena,32.609,20.809,Coventry City
King Power Stadium,32.273,19.827,Leicester City
Vicarage Road,21.577,18.544,Watford FC
Northern Commercials Stadium,25.136,18.025,Bradford City
Selhurst Park,26.309,17.157,Wimbledon FC
St Mary's Stadium,32.384,15.131,Southampton FC
