stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,75.207,Man Utd
Emirates Stadium,60.704,60.013,Arsenal FC
St James' Park,52.338,50.395,Newcastle United
Etihad Stadium,55.017,47.08,Man City
Anfield,60.725,44.671,Liverpool FC
Stamford Bridge,40.853,41.482,Chelsea FC
Stadium of Light,48.707,41.09,Sunderland AFC
Goodison Park,39.571,37.732,Everton FC
Villa Park,42.682,36.081,Aston Villa
Tottenham Hotspur Stadium,62.85,35.808,Spurs
London Stadium,62.5,34.197,West Ham United
St Mary's Stadium,32.384,30.212,Southampton FC
Cardiff City Stadium,33.28,27.43,Cardiff City
Carrow Road,27.244,26.805,Norwich City
bet365 Stadium,30.089,26.137,Stoke City
The Hawthorns,26.85,25.194,West Brom
Craven Cottage,25.7,24.977,Fulham FC
MKM Stadium,25.586,24.117,Hull City
Selhurst Park,26.047,24.114,Crystal Palace
Swansea.com Stadium,21.088,20.407,Swansea City
