stadium,capacity,avg_attendance,club_name
Anfield,60.725,37.009,Liverpool FC
Old Trafford,74.879,35.132,Man Utd
Villa Park,42.682,29.594,Aston Villa
Elland Road,37.89,29.228,Leeds United
Tottenham Hotspur Stadium,62.85,27.878,Spurs
Hillsborough,39.859,27.264,Sheff Weds
Etihad Stadium,55.017,24.698,Man City
Emirates Stadium,60.704,24.403,Arsenal FC
The City Ground,30.445,21.91,Nottm Forest
Goodison Park,39.571,20.457,Everton FC
Bramall Lane,32.702,18.801,Sheff Utd
Stamford Bridge,40.853,18.754,Chelsea FC
Portman Road,29.673,18.185,Ipswich Town
Riverside Stadium,33.746,16.724,Middlesbrough FC
Carrow Road,27.244,16.453,Norwich City
Ewood Park,31.367,16.248,Blackburn Rovers
Selhurst Park,26.047,15.726,Crystal Palace
St Mary's Stadium,32.384,15.148,Southampton FC
Loftus Road Stadium,18.36,15.002,QPR
Coventry Building Society Arena,32.609,14.995,Coventry City
Boundary Park,13.513,12.859,Oldham Athletic
Selhurst Park,26.309,8.405,Wimbledon FC
