stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,55.081,Man Utd
Anfield,60.725,39.777,Liverpool FC
Emirates Stadium,60.704,37.821,Arsenal FC
St James' Park,52.338,36.466,Newcastle United
Goodison Park,39.571,36.188,Everton FC
Villa Park,42.682,36.027,Aston Villa
Elland Road,37.89,32.118,Leeds United
Tottenham Hotspur Stadium,62.85,31.067,Spurs
Riverside Stadium,33.746,29.871,Middlesbrough FC
Stamford Bridge,40.853,27.617,Chelsea FC
Hillsborough,39.859,25.714,Sheff Weds
Ewood Park,31.367,24.947,Blackburn Rovers
The City Ground,30.445,24.587,Nottm Forest
London Stadium,62.5,23.209,West Ham United
Stadium of Light,48.707,20.959,Sunderland AFC
King Power Stadium,32.273,20.184,Leicester City
Coventry Building Society Arena,32.609,19.608,Coventry City
Pride Park Stadium,33.597,17.889,Derby County
Selhurst Park,26.309,15.139,Wimbledon FC
St Mary's Stadium,32.384,15.105,Southampton FC
