stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,67.49,Man Utd
St James' Park,52.338,51.309,Newcastle United
Stadium of Light,48.707,46.791,Sunderland AFC
Anfield,60.725,43.699,Liverpool FC
Elland Road,37.89,38.974,Leeds United
Emirates Stadium,60.704,37.974,Arsenal FC
Tottenham Hotspur Stadium,62.85,35.195,Spurs
Stamford Bridge,40.853,34.7,Chelsea FC
Etihad Stadium,55.017,34.058,Man City
Goodison Park,39.571,33.657,Everton FC
Villa Park,42.682,31.47,Aston Villa
Riverside Stadium,33.746,30.747,Middlesbrough FC
Pride Park Stadium,33.597,28.551,Derby County
London Stadium,62.5,25.697,West Ham United
Portman Road,29.673,22.504,Ipswich Town
Coventry Building Society Arena,32.609,20.582,Coventry City
King Power Stadium,32.273,20.452,Leicester City
The Valley,26.875,20.023,Charlton
Northern Commercials Stadium,25.136,18.511,Bradford City
St Mary's Stadium,32.384,15.115,Southampton FC
