stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,67.872,Man Utd
St James' Park,52.338,51.847,Newcastle United
Etihad Stadium,55.017,45.192,Man City
Anfield,60.725,42.585,Liverpool FC
Stamford Bridge,40.853,41.87,Chelsea FC
Emirates Stadium,60.704,37.975,Arsenal FC
Villa Park,42.682,37.354,Aston Villa
Goodison Park,39.571,36.817,Everton FC
Tottenham Hotspur Stadium,62.85,35.788,Spurs
Riverside Stadium,33.746,32.012,Middlesbrough FC
St Mary's Stadium,32.384,30.61,Southampton FC
St Andrew's,29.409,28.759,Birmingham City
The Valley,26.875,26.701,Charlton
Toughsheet Community Stadium,28.723,26.163,Bolton
The Hawthorns,26.85,25.984,West Brom
Carrow Road,27.244,24.348,Norwich City
Selhurst Park,26.047,24.101,Crystal Palace
Ewood Park,31.367,22.899,Blackburn Rovers
Fratton Park,20.688,20.074,Portsmouth FC
Craven Cottage,25.7,19.838,Fulham FC
