stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,75.53,Man Utd
Emirates Stadium,60.704,60.079,Arsenal FC
St James' Park,52.338,50.517,Newcastle United
Etihad Stadium,55.017,46.974,Man City
Anfield,60.725,44.749,Liverpool FC
Stamford Bridge,40.853,41.462,Chelsea FC
Stadium of Light,48.707,40.563,Sunderland AFC
Goodison Park,39.571,36.356,Everton FC
Tottenham Hotspur Stadium,62.85,36.066,Spurs
Villa Park,42.682,35.06,Aston Villa
London Stadium,62.5,34.717,West Ham United
St Mary's Stadium,32.384,30.855,Southampton FC
bet365 Stadium,30.089,26.722,Stoke City
Carrow Road,27.244,26.672,Norwich City
Craven Cottage,25.7,25.423,Fulham FC
The Hawthorns,26.85,25.202,West Brom
Select Car Leasing Stadium,24.161,23.862,Reading FC
Swansea.com Stadium,21.088,20.476,Swansea City
DW Stadium,25.133,19.359,Wigan Athletic
Loftus Road Stadium,18.36,17.779,QPR
