stadium,capacity,avg_attendance,club_name
Anfield,60.725,4.0,Liverpool FC
Tottenham Hotspur Stadium,62.85,6.0,Spurs
London Stadium,62.5,6.0,West Ham United
AMEX Stadium,31.8,3.982,Brighton
Goodison Park,39.571,3.356,Everton FC
Emirates Stadium,60.704,10.0,Arsenal FC
St James' Park,52.338,10.0,Newcastle United
Old Trafford,74.879,10.0,Man Utd
Etihad Stadium,55.017,10.0,Man City
Stamford Bridge,40.853,4.598,Chelsea FC
Selhurst Park,26.047,4.25,Crystal Palace
Elland Road,37.89,8.0,Leeds United
King Power Stadium,32.273,8.0,Leicester City
The Hawthorns,26.85,5.371,West Brom
Bramall Lane,32.702,5.096,Sheff Utd
St Mary's Stadium,32.384,2.0,Southampton FC
Craven Cottage,25.7,2.0,Fulham FC
Turf Moor,21.994,3.5,Burnley FC
Molineux Stadium,32.05,0.0,Wolves
Villa Park,42.682,0.0,Aston Villa
