stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,67.607,Man Utd
St James' Park,52.338,51.44,Newcastle United
Etihad Stadium,55.017,46.834,Man City
Anfield,60.725,42.677,Liverpool FC
Stamford Bridge,40.853,41.235,Chelsea FC
Goodison Park,39.571,38.838,Everton FC
Emirates Stadium,60.704,38.079,Arsenal FC
Elland Road,37.89,36.666,Leeds United
Villa Park,42.682,36.622,Aston Villa
Tottenham Hotspur Stadium,62.85,34.939,Spurs
St Mary's Stadium,32.384,31.351,Southampton FC
King Power Stadium,32.273,30.983,Leicester City
Riverside Stadium,33.746,30.442,Middlesbrough FC
Molineux Stadium,32.05,28.874,Wolves
St Andrew's,29.409,28.735,Birmingham City
Toughsheet Community Stadium,28.723,26.795,Bolton
The Valley,26.875,26.35,Charlton
Ewood Park,31.367,24.376,Blackburn Rovers
Fratton Park,20.688,20.109,Portsmouth FC
Craven Cottage,25.7,16.992,Fulham FC
