Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Gary Ablett,eng ENG,DF,Everton,29,1965,13,13,1017,11.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Tony Adams,eng ENG,DF,Arsenal,28,1966,21,21,1853,20.6,1,1,2,1,0,0,4,1,0.05,0.05,0.10,0.05,0.10,Matches
3,Jan Åge Fjørtoft,no NOR,FW,Middlesbrough,28,1967,28,27,2341,26.0,6,4,10,6,0,0,3,0,0.23,0.15,0.38,0.23,0.38,Matches
4,Philippe Albert,be BEL,DF,Newcastle Utd,27,1967,23,19,1804,20.0,4,1,5,4,0,0,5,0,0.20,0.05,0.25,0.20,0.25,Matches
5,Bradley Allen,eng ENG,FW,QPR,23,1971,8,4,386,4.3,1,1,2,1,0,0,3,0,0.23,0.23,0.47,0.23,0.47,Matches
6,Chris Allen,eng ENG,MF,Nott'ham Forest,22,1972,3,1,119,1.3,1,1,2,1,0,,1,0,0.76,0.76,1.51,0.76,1.51,Matches
7,Martin Allen,eng ENG,MF,West Ham,29,1965,3,3,270,3.0,1,0,1,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,Matches
8,Daniel Amokachi,ng NGA,FW,Everton,22,1972,25,17,1745,19.4,6,3,9,6,0,0,1,0,0.31,0.15,0.46,0.31,0.46,Matches
9,Darren Anderton,eng ENG,MF,Tottenham,23,1972,8,6,549,6.1,2,1,3,2,0,0,0,0,0.33,0.16,0.49,0.33,0.49,Matches
10,Neal Ardley,eng ENG,MF,Wimbledon,22,1972,6,4,365,4.1,0,1,1,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,Matches
11,Chris Armstrong,eng ENG,FW,Tottenham,24,1971,36,36,3240,36.0,15,6,21,15,0,0,4,0,0.42,0.17,0.58,0.42,0.58,Matches
12,Faustino Asprilla,co COL,FW,Newcastle Utd,25,1969,14,11,980,10.9,3,7,10,3,0,0,2,0,0.28,0.64,0.92,0.28,0.92,Matches
13,Peter Atherton,eng ENG,"DF,MF",Sheffield Weds,25,1970,36,36,3240,36.0,0,2,2,0,0,0,6,0,0.00,0.06,0.06,0.00,0.06,Matches
14,Mark Atkins,eng ENG,"DF,MF",Blackburn,26,1968,4,0,45,0.5,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
15,Dean Austin,eng ENG,DF,Tottenham,25,1970,28,28,2520,28.0,0,2,2,0,0,0,8,0,0.00,0.07,0.07,0.00,0.07,Matches
16,Phil Babb,ie IRL,DF,Liverpool,24,1970,28,28,2502,27.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
17,David Bardsley,eng ENG,DF,QPR,30,1964,30,29,2472,27.5,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
18,Simon Barker,eng ENG,MF,QPR,30,1964,33,33,2944,32.7,5,2,7,5,0,0,9,0,0.15,0.06,0.21,0.15,0.21,Matches
19,Stuart Barlow,eng ENG,FW,Everton,27,1968,3,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Nick Barmby,eng ENG,"FW,MF",Middlesbrough,21,1974,32,32,2880,32.0,7,7,14,7,0,1,4,0,0.22,0.22,0.44,0.22,0.44,Matches
21,John Barnes,eng ENG,"DF,FW",Liverpool,31,1963,36,36,3173,35.3,3,10,13,3,0,0,0,0,0.09,0.28,0.37,0.09,0.37,Matches
22,Jamie Barnwell-Edinboro,eng ENG,FW,Coventry City,19,1975,1,0,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Earl Barrett,eng ENG,DF,Everton,28,1967,8,8,720,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
24,Michael Barron,eng ENG,DF,Middlesbrough,20,1974,1,1,90,1.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Chris Bart-Williams,eng ENG,"DF,MF",Nott'ham Forest,21,1974,33,33,2970,33.0,0,2,2,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Warren Barton,eng ENG,DF,Newcastle Utd,26,1969,31,30,2610,29.0,0,4,4,0,0,0,4,0,0.00,0.14,0.14,0.00,0.14,Matches
27,David Batty,eng ENG,MF,Newcastle Utd,26,1968,11,11,990,11.0,1,2,3,,,,2,0,0.09,0.18,0.27,,,Matches
28,David Batty,eng ENG,MF,Blackburn,26,1968,23,23,2025,22.5,1,1,2,,,,5,0,0.04,0.04,0.09,,,Matches
29,Peter Beagrie,eng ENG,FW,Manchester City,29,1965,5,4,356,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
30,Peter Beardsley,eng ENG,"FW,MF",Newcastle Utd,34,1961,33,33,2784,30.9,8,9,17,6,2,3,6,0,0.26,0.29,0.55,0.19,0.48,Matches
31,Dave Beasant,eng ENG,GK,Southampton,36,1959,36,36,3240,36.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
32,David Beckham,eng ENG,MF,Manchester Utd,20,1975,33,26,2518,28.0,7,5,12,7,0,0,5,0,0.25,0.18,0.43,0.25,0.43,Matches
33,Mark Beeney,eng ENG,GK,Leeds United,27,1967,10,10,825,9.2,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
