club_name,player_name,age,position,club_involved_name,transfer_movement,transfer_period,fee_cleaned,season
Charlton,Carl Tiler,28.0,Centre-Back,Everton,in,Summer,0.874,1998/1999
Blackburn Rovers,Kevin Davies,21.0,Centre-Forward,Southampton,in,Summer,11.25,1998/1999
Blackburn Rovers,Christian Dailly,24.0,Centre-Back,Derby County,in,Summer,7.95,1998/1999
Derby County,Spencer Prior,27.0,Centre-Back,Leicester City,in,Summer,1.0,1998/1999
Nottm Forest,Carlton Palmer,33.0,Defensive Midfield,Southampton,in,Winter,1.35,1998/1999
Newcastle United,Duncan Ferguson,27.0,Centre-Forward,Everton,in,Winter,10.7,1998/1999
Wimbledon FC,John Hartson,23.0,Centre-Forward,West Ham United,in,Winter,11.25,1998/1999
Leicester City,Andy Impey,27.0,Defensive Midfield,West Ham United,in,Winter,3.1,1998/1999
Leicester City,Arnar Gunnlaugsson,25.0,Right Winger,Bolton,in,Winter,2.8,1998/1999
Aston Villa,Dion Dublin,29.0,Centre-Forward,Coventry,in,Winter,8.6,1998/1999
Aston Villa,Steve Stone,27.0,Right Midfield,Nottm Forest,in,Winter,8.0,1998/1999
Aston Villa,Mark Delaney,22.0,Right-Back,Cardiff City,in,Winter,0.375,1998/1999
Aston Villa,Colin Calderwood,34.0,Centre-Back,Spurs,in,Winter,0.33,1998/1999
Leeds United,David Batty,30.0,Defensive Midfield,Newcastle United,in,Winter,6.35,1998/1999
Derby County,Mikkel Beck,25.0,Centre-Forward,Middlesbrough FC,in,Winter,0.7,1998/1999
Spurs,Tim Sherwood,29.0,Central Midfield,Blackburn Rovers,in,Winter,6.0,1998/1999
Spurs,Mauricio Taricco,25.0,Left-Back,Ipswich Town,in,Winter,2.65,1998/1999
Blackburn Rovers,Ashley Ward,28.0,Centre-Forward,Barnsley FC,in,Winter,6.29,1998/1999
Blackburn Rovers,Matt Jansen,21.0,Centre-Forward,Crystal Palace,in,Winter,6.0,1998/1999
Blackburn Rovers,Nathan Blake,26.0,Centre-Forward,Bolton,in,Winter,5.95,1998/1999
Blackburn Rovers,Jason McAteer,27.0,Right Midfield,Liverpool FC,in,Winter,5.55,1998/1999
Blackburn Rovers,Lee Carsley,25.0,Defensive Midfield,Derby County,in,Winter,5.1,1998/1999
Blackburn Rovers,Keith Gillespie,23.0,Right Midfield,Newcastle United,in,Winter,3.5,1998/1999
Charlton,Graham Stuart,28.0,Attacking Midfield,Sheff Utd,in,Winter,1.75,1998/1999
West Ham United,Paolo Di Canio,30.0,Centre-Forward,Sheff Wed,in,Winter,2.23,1998/1999
Chelsea FC,Chris Sutton,26.0,Centre-Forward,Blackburn Rovers,in,Summer,15.0,1999/2000
Bradford City,David Wetherall,28.0,Centre-Back,Leeds United,in,Summer,2.1,1999/2000
Bradford City,Lee Sharpe,28.0,Left Midfield,Leeds United,in,Summer,0.3,1999/2000
Bradford City,Neil Redfearn,34.0,Central Midfield,Charlton,in,Summer,0.287,1999/2000
Leicester City,Tim Flowers,32.0,Goalkeeper,Blackburn Rovers,in,Summer,1.8,1999/2000
Wimbledon FC,Hermann Hreidarsson,24.0,Centre-Back,Brentford FC,in,Summer,3.75,1999/2000
Coventry City,Robbie Keane,19.0,Centre-Forward,Wolves,in,Summer,9.0,1999/2000
Coventry City,Carlton Palmer,33.0,Defensive Midfield,Nottm Forest,in,Summer,0.6,1999/2000
Newcastle United,Kieron Dyer,20.0,Right Midfield,Ipswich Town,in,Summer,9.0,1999/2000
Newcastle United,Kevin Gallacher,32.0,Right Winger,Blackburn Rovers,in,Summer,0.8,1999/2000
Middlesbrough FC,Paul Ince,31.0,Defensive Midfield,Liverpool FC,in,Summer,1.5,1999/2000
Aston Villa,George Boateng,23.0,Defensive Midfield,Coventry,in,Summer,6.2,1999/2000
Aston Villa,David James,28.0,Goalkeeper,Liverpool FC,in,Summer,2.4,1999/2000
Leeds United,Darren Huckerby,23.0,Right Winger,Coventry,in,Summer,7.6,1999/2000
Leeds United,Michael Bridges,20.0,Centre-Forward,Sunderland AFC,in,Summer,7.5,1999/2000
Leeds United,Michael Duberry,23.0,Centre-Back,Chelsea FC,in,Summer,6.75,1999/2000
Leeds United,Danny Mills,22.0,Right-Back,Charlton,in,Summer,6.0,1999/2000
West Ham United,Paulo Wanchope,22.0,Centre-Forward,Derby County,in,Summer,5.35,1999/2000
West Ham United,Igor Stimac,31.0,Centre-Back,Derby County,in,Summer,0.7,1999/2000
Sunderland AFC,John Oster,20.0,Central Midfield,Everton,in,Summer,1.0,1999/2000
Sunderland AFC,Steve Bould,36.0,Centre-Back,Arsenal FC,in,Summer,0.8,1999/2000
Spurs,Chris Perry,26.0,Centre-Back,Wimbledon FC,in,Summer,6.0,1999/2000
Spurs,Öyvind Leonhardsen,28.0,Attacking Midfield,Liverpool FC,in,Summer,4.5,1999/2000
Liverpool FC,Dietmar Hamann,25.0,Defensive Midfield,Newcastle United,in,Summer,12.0,1999/2000
Liverpool FC,Stéphane Henchoz,24.0,Centre-Back,Blackburn Rovers,in,Summer,5.4,1999/2000
Derby County,Lee Morris,19.0,Centre-Forward,Sheff Utd,in,Summer,4.2,1999/2000
Derby County,Andy Oakes,22.0,Goalkeeper,Hull City,in,Summer,0.5,1999/2000
Chelsea FC,Émerson Thome,27.0,Centre-Back,Sheff Wed,in,Winter,4.0,1999/2000
Watford FC,Neil Cox,28.0,Centre-Back,Bolton,in,Winter,0.75,1999/2000
Leicester City,Darren Eadie,24.0,Left Midfield,Norwich City,in,Winter,4.5,1999/2000
Coventry City,Colin Hendry,34.0,Centre-Back,Rangers,in,Winter,1.15,1999/2000
Leeds United,Jason Wilcox,28.0,Left Winger,Blackburn Rovers,in,Winter,4.5,1999/2000
Leeds United,Shaun Allaway,17.0,Goalkeeper,Reading FC,in,Winter,0.3,1999/2000
Sunderland AFC,Kevin Kilbane,22.0,Left Midfield,West Brom,in,Winter,3.75,1999/2000
Spurs,Gary Doherty,20.0,Centre-Back,Luton,in,Winter,1.5,1999/2000
Liverpool FC,Emile Heskey,22.0,Centre-Forward,Leicester City,in,Winter,16.5,1999/2000
Leeds United,Dominic Matteo,26.0,Left-Back,Liverpool FC,in,Summer,7.13,2000/2001
Bradford City,David Hopkin,29.0,Right Midfield,Leeds United,in,Summer,3.75,2000/2001
Bradford City,Ashley Ward,29.0,Centre-Forward,Blackburn Rovers,in,Summer,2.1,2000/2001
Leicester City,Gary Rowett,26.0,Right-Back,Birmingham,in,Summer,4.5,2000/2001
Leicester City,Callum Davidson,24.0,Left-Back,Blackburn Rovers,in,Summer,2.5,2000/2001
Leicester City,Richard Cresswell,22.0,Centre-Forward,Sheff Wed,in,Summer,1.05,2000/2001
Coventry City,Craig Bellamy,21.0,Left Winger,Norwich City,in,Summer,9.25,2000/2001
Coventry City,David Thompson,22.0,Right Midfield,Liverpool FC,in,Summer,4.5,2000/2001
Newcastle United,Carl Cort,22.0,Centre-Forward,Wimbledon FC,in,Summer,10.5,2000/2001
Ipswich Town,Hermann Hreidarsson,25.0,Centre-Back,Wimbledon FC,in,Summer,6.75,2000/2001
Middlesbrough FC,Ugo Ehiogu,27.0,Centre-Back,Aston Villa,in,Summer,12.2,2000/2001
Middlesbrough FC,Noel Whelan,25.0,Centre-Forward,Coventry,in,Summer,3.0,2000/2001
Chelsea FC,Eidur Gudjohnsen,21.0,Centre-Forward,Bolton,in,Summer,7.5,2000/2001
Arsenal FC,Francis Jeffers,20.0,Centre-Forward,Everton,in,Summer,15.3,2000/2001
Charlton,Claus Jensen,23.0,Attacking Midfield,Bolton,in,Summer,6.0,2000/2001
Charlton,Jonatan Johansson,24.0,Centre-Forward,Rangers,in,Summer,4.3,2000/2001
Charlton,Mathias Svensson,25.0,Centre-Forward,Crystal Palace,in,Summer,0.9,2000/2001
Sunderland AFC,Émerson Thome,28.0,Centre-Back,Chelsea FC,in,Summer,6.7,2000/2001
Sunderland AFC,Don Hutchison,29.0,Attacking Midfield,Everton,in,Summer,3.75,2000/2001
Man City,Paulo Wanchope,23.0,Centre-Forward,West Ham United,in,Summer,5.6,2000/2001
Man City,Richard Dunne,21.0,Centre-Back,Everton,in,Summer,4.5,2000/2001
Man City,Alf-Inge Haaland,27.0,Defensive Midfield,Leeds United,in,Summer,3.75,2000/2001
Man City,Laurent Charvet,27.0,Right-Back,Newcastle United,in,Summer,1.5,2000/2001
Spurs,Ben Thatcher,24.0,Left-Back,Wimbledon FC,in,Summer,7.54,2000/2001
Liverpool FC,Christian Ziege,28.0,Left Midfield,Middlesbrough FC,in,Summer,9.0,2000/2001
Liverpool FC,Nick Barmby,26.0,Left Midfield,Everton,in,Summer,9.0,2000/2001
Liverpool FC,Gary McAllister,35.0,Central Midfield,Coventry,in,Summer,1.0,2000/2001
Derby County,Danny Higginbotham,21.0,Centre-Back,Man Utd,in,Summer,3.0,2000/2001
Derby County,Adam Bolder,19.0,midfield,Hull City,in,Summer,0.125,2000/2001
Leeds United,Rio Ferdinand,22.0,Centre-Back,West Ham United,in,Winter,26.0,2000/2001
Bradford City,Robert Molenaar,31.0,Centre-Back,Leeds United,in,Winter,0.68,2000/2001
Leicester City,Lee Marshall,22.0,Central Midfield,Norwich City,in,Winter,0.7,2000/2001
Leicester City,Dean Sturridge,27.0,Centre-Forward,Derby County,in,Winter,0.53,2000/2001
Coventry City,Lee Carsley,26.0,Defensive Midfield,Blackburn Rovers,in,Winter,3.75,2000/2001
Newcastle United,Andrew O'Brien,21.0,Centre-Back,Bradford,in,Winter,3.0,2000/2001
Newcastle United,Wayne Quinn,24.0,Left-Back,Sheff Utd,in,Winter,1.15,2000/2001
Ipswich Town,Chris Makin,27.0,Left-Back,Sunderland AFC,in,Winter,2.1,2000/2001
Ipswich Town,Alun Armstrong,25.0,Centre-Forward,Middlesbrough FC,in,Winter,0.75,2000/2001
Middlesbrough FC,Dean Windass,31.0,Centre-Forward,Bradford,in,Winter,1.57,2000/2001
West Ham United,Rigobert Song,24.0,Centre-Back,Liverpool FC,in,Winter,4.17,2000/2001
West Ham United,Titi Camara,28.0,Centre-Forward,Liverpool FC,in,Winter,3.3,2000/2001
West Ham United,Christian Dailly,27.0,Centre-Back,Blackburn Rovers,in,Winter,2.82,2000/2001
Charlton,Mark Fish,26.0,Centre-Back,Bolton,in,Winter,1.55,2000/2001
Man City,Darren Huckerby,24.0,Right Winger,Leeds United,in,Winter,4.0,2000/2001
Man City,Andrey Kanchelskis,32.0,Right Midfield,Rangers,in,Winter,0.8,2000/2001
Liverpool FC,Daniel Sjölund,17.0,Defensive Midfield,West Ham United,in,Winter,1.5,2000/2001
West Ham United,Don Hutchison,30.0,Attacking Midfield,Sunderland AFC,in,Summer,7.5,2001/2002
West Ham United,David James,30.0,Goalkeeper,Aston Villa,in,Summer,4.8,2001/2002
Leicester City,Matthew Jones,20.0,Central Midfield,Leeds United,in,Summer,4.5,2001/2002
Leicester City,James Scowcroft,25.0,Centre-Forward,Ipswich Town,in,Summer,4.5,2001/2002
Leicester City,Ian Walker,29.0,Goalkeeper,Spurs,in,Summer,3.75,2001/2002
Leicester City,Dennis Wise,34.0,Central Midfield,Chelsea FC,in,Summer,3.5,2001/2002
Man Utd,Roy Carroll,23.0,Goalkeeper,Wigan,in,Summer,3.0,2001/2002
Fulham FC,Jon Harley,21.0,Left-Back,Chelsea FC,in,Summer,5.25,2001/2002
Fulham FC,Luís Boa Morte,23.0,Left Midfield,Southampton,in,Summer,2.3,2001/2002
Newcastle United,Craig Bellamy,21.0,Left Winger,Coventry,in,Summer,9.0,2001/2002
Middlesbrough FC,Gareth Southgate,30.0,Centre-Back,Aston Villa,in,Summer,9.75,2001/2002
Middlesbrough FC,Jonathan Greening,22.0,Central Midfield,Man Utd,in,Summer,3.0,2001/2002
Middlesbrough FC,Mark Wilson,22.0,Central Midfield,Man Utd,in,Summer,2.3,2001/2002
Middlesbrough FC,Allan Johnston,27.0,Right Midfield,Rangers,in,Summer,0.9,2001/2002
Chelsea FC,Frank Lampard,23.0,Central Midfield,West Ham United,in,Summer,16.0,2001/2002
Aston Villa,Mustapha Hadji,29.0,Attacking Midfield,Coventry,in,Summer,4.0,2001/2002
Leeds United,Seth Johnson,22.0,Central Midfield,Derby County,in,Summer,11.5,2001/2002
Arsenal FC,Giovanni van Bronckhorst,26.0,Left-Back,Rangers,in,Summer,13.5,2001/2002
Arsenal FC,Richard Wright,23.0,Goalkeeper,Ipswich Town,in,Summer,9.0,2001/2002
Charlton,Jason Euell,24.0,Second Striker,Wimbledon FC,in,Summer,7.5,2001/2002
Charlton,Luke Young,21.0,Right-Back,Spurs,in,Summer,6.0,2001/2002
Sunderland AFC,Jason McAteer,30.0,Right Midfield,Blackburn Rovers,in,Summer,3.0,2001/2002
Blackburn Rovers,Tugay Kerimoglu,30.0,Defensive Midfield,Rangers,in,Summer,1.95,2001/2002
Spurs,Dean Richards,27.0,Centre-Back,Southampton,in,Summer,12.15,2001/2002
Spurs,Christian Ziege,29.0,Left Midfield,Liverpool FC,in,Summer,6.5,2001/2002
Spurs,Gustavo Poyet,33.0,Attacking Midfield,Chelsea FC,in,Summer,3.4,2001/2002
Liverpool FC,Chris Kirkland,20.0,Goalkeeper,Coventry,in,Summer,8.2,2001/2002
Leicester City,Paul Dickov,29.0,Centre-Forward,Man City,in,Winter,1.5,2001/2002
Leicester City,Alan Rogers,24.0,Left-Back,Nottm Forest,in,Winter,0.45,2001/2002
Leicester City,Brian Deane,33.0,Centre-Forward,Middlesbrough FC,in,Winter,0.25,2001/2002
Newcastle United,Jermaine Jenas,18.0,Central Midfield,Nottm Forest,in,Winter,7.5,2001/2002
Ipswich Town,Marcus Bent,23.0,Centre-Forward,Blackburn Rovers,in,Winter,4.5,2001/2002
Aston Villa,Peter Crouch,21.0,Centre-Forward,Portsmouth FC,in,Winter,7.5,2001/2002
Leeds United,Robbie Fowler,26.0,Centre-Forward,Liverpool FC,in,Winter,16.8,2001/2002
Sunderland AFC,Claudio Reyna,28.0,Central Midfield,Rangers,in,Winter,6.7,2001/2002
Blackburn Rovers,Andy Cole,30.0,Centre-Forward,Man Utd,in,Winter,12.2,2001/2002
Liverpool FC,Abel Xavier,29.0,Right-Back,Everton,in,Winter,1.2,2001/2002
Derby County,Rob Lee,36.0,Central Midfield,Newcastle United,in,Winter,0.4,2001/2002
Man Utd,Rio Ferdinand,23.0,Centre-Back,Leeds United,in,Summer,46.0,2002/2003
Newcastle United,Titus Bramble,20.0,Centre-Back,Ipswich Town,in,Summer,6.8,2002/2003
Leeds United,Nick Barmby,28.0,Left Midfield,Liverpool FC,in,Summer,4.5,2002/2003
Aston Villa,Mark Kinsella,29.0,Defensive Midfield,Charlton,in,Summer,1.15,2002/2003
Spurs,Robbie Keane,22.0,Centre-Forward,Leeds United,in,Summer,10.5,2002/2003
Blackburn Rovers,Dwight Yorke,30.0,Centre-Forward,Man Utd,in,Summer,3.5,2002/2003
Blackburn Rovers,David Thompson,24.0,Right Midfield,Coventry,in,Summer,2.25,2002/2003
Blackburn Rovers,Andy Todd,27.0,Centre-Back,Charlton,in,Summer,1.5,2002/2003
Middlesbrough FC,George Boateng,26.0,Defensive Midfield,Aston Villa,in,Summer,6.9,2002/2003
Charlton,Gary Rowett,28.0,Right-Back,Leicester City,in,Summer,5.25,2002/2003
Sunderland AFC,Tore André Flo,29.0,Centre-Forward,Rangers,in,Summer,11.0,2002/2003
Sunderland AFC,Matt Piper,20.0,Right Midfield,Leicester City,in,Summer,5.25,2002/2003
Sunderland AFC,Marcus Stewart,29.0,Centre-Forward,Ipswich Town,in,Summer,4.88,2002/2003
Sunderland AFC,Stephen Wright,22.0,Right-Back,Liverpool FC,in,Summer,4.8,2002/2003
West Brom,Lee Hughes,26.0,Centre-Forward,Coventry,in,Summer,9.0,2002/2003
West Brom,Lee Marshall,23.0,Central Midfield,Leicester City,in,Summer,1.05,2002/2003
Birmingham City,Clinton Morrison,23.0,Centre-Forward,Crystal Palace,in,Summer,6.38,2002/2003
Birmingham City,Robbie Savage,27.0,Central Midfield,Leicester City,in,Summer,1.88,2002/2003
Newcastle United,Jonathan Woodgate,23.0,Centre-Back,Leeds United,in,Winter,13.5,2002/2003
Newcastle United,Darren Ambrose,19.0,Left Midfield,Ipswich Town,in,Winter,1.5,2002/2003
West Ham United,Lee Bowyer,25.0,Central Midfield,Leeds United,in,Winter,0.3,2002/2003
Middlesbrough FC,Michael Ricketts,24.0,Centre-Forward,Bolton,in,Winter,5.25,2002/2003
Middlesbrough FC,Chris Riggott,22.0,Centre-Back,Derby County,in,Winter,2.23,2002/2003
Charlton,Hermann Hreidarsson,28.0,Centre-Back,Ipswich Town,in,Winter,1.2,2002/2003
Sunderland AFC,Mart Poom,30.0,Goalkeeper,Derby County,in,Winter,3.75,2002/2003
Man City,Robbie Fowler,27.0,Centre-Forward,Leeds United,in,Winter,9.8,2002/2003
Birmingham City,Jamie Clapham,27.0,Left-Back,Ipswich Town,in,Winter,1.85,2002/2003
Birmingham City,Matthew Upson,23.0,Centre-Back,Arsenal FC,in,Winter,1.4,2002/2003
Birmingham City,Stephen Clemence,24.0,Right Midfield,Spurs,in,Winter,1.35,2002/2003
Birmingham City,Andy Marriott,32.0,Goalkeeper,Barnsley FC,in,Winter,0.05,2002/2003
Man Utd,David Bellion,20.0,Centre-Forward,Sunderland AFC,in,Summer,3.0,2003/2004
Chelsea FC,Damien Duff,24.0,Right Midfield,Blackburn Rovers,in,Summer,24.5,2003/2004
Chelsea FC,Juan Sebastián Verón,28.0,Central Midfield,Man Utd,in,Summer,21.8,2003/2004
Chelsea FC,Wayne Bridge,22.0,Left-Back,Southampton,in,Summer,10.5,2003/2004
Chelsea FC,Joe Cole,21.0,Attacking Midfield,West Ham United,in,Summer,9.9,2003/2004
Chelsea FC,Glen Johnson,18.0,Right-Back,West Ham United,in,Summer,8.3,2003/2004
Liverpool FC,Harry Kewell,24.0,Left Winger,Leeds United,in,Summer,10.0,2003/2004
Liverpool FC,Steve Finnan,27.0,Right-Back,Fulham FC,in,Summer,5.25,2003/2004
Blackburn Rovers,Barry Ferguson,25.0,Defensive Midfield,Rangers,in,Summer,9.75,2003/2004
Blackburn Rovers,Lorenzo Amoruso,32.0,Centre-Back,Rangers,in,Summer,2.1,2003/2004
Man City,Trevor Sinclair,30.0,Left Winger,West Ham United,in,Summer,3.75,2003/2004
Man City,Claudio Reyna,29.0,Central Midfield,Sunderland AFC,in,Summer,3.75,2003/2004
Spurs,Frédéric Kanouté,25.0,Centre-Forward,West Ham United,in,Summer,5.25,2003/2004
Spurs,Bobby Zamora,22.0,Centre-Forward,Brighton,in,Summer,2.0,2003/2004
Middlesbrough FC,Malcolm Christie,24.0,Right Winger,Derby County,in,Summer,4.5,2003/2004
Charlton,Matt Holland,29.0,Central Midfield,Ipswich Town,in,Summer,1.25,2003/2004
Charlton,Chris Perry,30.0,Centre-Back,Spurs,in,Summer,0.1,2003/2004
Birmingham City,David Dunn,23.0,Attacking Midfield,Blackburn Rovers,in,Summer,8.75,2003/2004
Birmingham City,Mikael Forssell,22.0,Centre-Forward,Chelsea FC,in,Summer,0.75,2003/2004
Fulham FC,Mark Pembridge,32.0,Left Midfield,Everton,in,Summer,0.75,2003/2004
Fulham FC,Mark Crossley,34.0,Goalkeeper,Middlesbrough FC,in,Summer,0.75,2003/2004
Aston Villa,Gavin McCann,25.0,Central Midfield,Sunderland AFC,in,Summer,3.38,2003/2004
Aston Villa,Thomas Sörensen,27.0,Goalkeeper,Sunderland AFC,in,Summer,3.0,2003/2004
Leicester City,Ben Thatcher,27.0,Left-Back,Spurs,in,Summer,0.45,2003/2004
Wolves,Jody Craddock,27.0,Centre-Back,Sunderland AFC,in,Summer,2.0,2003/2004
Man Utd,Louis Saha,25.0,Centre-Forward,Fulham FC,in,Winter,17.5,2003/2004
Chelsea FC,Scott Parker,23.0,Central Midfield,Charlton,in,Winter,14.5,2003/2004
Blackburn Rovers,Jon Stead,20.0,Centre-Forward,Huddersfield,in,Winter,1.88,2003/2004
Blackburn Rovers,Peter Enckelman,26.0,Goalkeeper,Aston Villa,in,Winter,0.215,2003/2004
Man City,David James,33.0,Goalkeeper,West Ham United,in,Winter,2.8,2003/2004
Spurs,Jermain Defoe,21.0,Centre-Forward,West Ham United,in,Winter,10.5,2003/2004
Spurs,Michael Brown,26.0,Central Midfield,Sheff Utd,in,Winter,0.7,2003/2004
Birmingham City,Maik Taylor,32.0,Goalkeeper,Fulham FC,in,Winter,2.25,2003/2004
Birmingham City,Martin Taylor,24.0,Centre-Back,Blackburn Rovers,in,Winter,1.6,2003/2004
Fulham FC,Ian Pearce,29.0,Centre-Back,West Ham United,in,Winter,1.6,2003/2004
Fulham FC,Moritz Volz,20.0,Right-Back,Arsenal FC,in,Winter,1.0,2003/2004
Aston Villa,Nolberto Solano,29.0,Right Midfield,Newcastle United,in,Winter,2.0,2003/2004
Portsmouth FC,Eyal Berkovic,31.0,Attacking Midfield,Man City,in,Winter,0.75,2003/2004
Portsmouth FC,Richard Duffy,18.0,Centre-Back,Swansea City,in,Winter,0.45,2003/2004
Leicester City,Lee Morris,23.0,Centre-Forward,Derby County,in,Winter,0.18,2003/2004
Wolves,Carl Cort,26.0,Centre-Forward,Newcastle United,in,Winter,3.0,2003/2004
Wolves,Paul Jones,36.0,Goalkeeper,Southampton,in,Winter,0.375,2003/2004
Man Utd,Wayne Rooney,18.0,Centre-Forward,Everton,in,Summer,37.0,2004/2005
Man Utd,Alan Smith,23.0,Central Midfield,Leeds United,in,Summer,9.0,2004/2005
Newcastle United,James Milner,18.0,Central Midfield,Leeds United,in,Summer,7.4,2004/2005
Newcastle United,Nicky Butt,29.0,Central Midfield,Man Utd,in,Summer,3.75,2004/2005
Newcastle United,Stephen Carr,27.0,Right-Back,Spurs,in,Summer,3.0,2004/2005
Charlton,Francis Jeffers,23.0,Centre-Forward,Arsenal FC,in,Summer,3.9,2004/2005
Charlton,Danny Murphy,27.0,Central Midfield,Liverpool FC,in,Summer,3.25,2004/2005
Bolton,Gary Speed,34.0,Left Midfield,Newcastle United,in,Summer,1.13,2004/2005
Fulham FC,Tomasz Radzinski,30.0,Centre-Forward,Everton,in,Summer,3.0,2004/2005
Fulham FC,Claus Jensen,27.0,Attacking Midfield,Charlton,in,Summer,1.9,2004/2005
Birmingham City,Emile Heskey,26.0,Centre-Forward,Liverpool FC,in,Summer,9.32,2004/2005
Birmingham City,Jesper Grönkjaer,26.0,Left Winger,Chelsea FC,in,Summer,3.3,2004/2005
Birmingham City,Dwight Yorke,32.0,Centre-Forward,Blackburn Rovers,in,Summer,0.4,2004/2005
Middlesbrough FC,Mark Viduka,28.0,Centre-Forward,Leeds United,in,Summer,6.75,2004/2005
Portsmouth FC,Lomana LuaLua,23.0,Centre-Forward,Newcastle United,in,Summer,2.25,2004/2005
Portsmouth FC,Aliou Cissé,28.0,Defensive Midfield,Birmingham,in,Summer,0.45,2004/2005
Spurs,Sean Davis,24.0,Defensive Midfield,Fulham FC,in,Summer,5.2,2004/2005
Spurs,Michael Carrick,23.0,Defensive Midfield,West Ham United,in,Summer,4.1,2004/2005
Spurs,Paul Robinson,24.0,Goalkeeper,Leeds United,in,Summer,3.0,2004/2005
Spurs,Calum Davenport,21.0,defence,Coventry,in,Summer,1.8,2004/2005
Blackburn Rovers,Paul Dickov,31.0,Centre-Forward,Leicester City,in,Summer,0.225,2004/2005
Man City,Ben Thatcher,28.0,Left-Back,Leicester City,in,Summer,1.5,2004/2005
Norwich City,Youssef Safri,27.0,Defensive Midfield,Coventry,in,Summer,0.75,2004/2005
Norwich City,Simon Charlton,32.0,Left-Back,Bolton,in,Summer,0.375,2004/2005
Norwich City,Mathias Svensson,29.0,Centre-Forward,Charlton,in,Summer,0.05,2004/2005
West Brom,Robert Earnshaw,23.0,Centre-Forward,Cardiff City,in,Summer,4.5,2004/2005
West Brom,Jonathan Greening,25.0,Central Midfield,Middlesbrough FC,in,Summer,1.75,2004/2005
West Brom,Darren Purse,27.0,Centre-Back,Birmingham,in,Summer,0.9,2004/2005
West Brom,Riccardo Scimeca,29.0,Centre-Back,Leicester City,in,Summer,0.15,2004/2005
Crystal Palace,Fitz Hall,23.0,Centre-Back,Southampton,in,Summer,2.25,2004/2005
Liverpool FC,Scott Carson,19.0,Goalkeeper,Leeds United,in,Winter,1.4,2004/2005
Newcastle United,Jean-Alain Boumsong,25.0,Centre-Back,Rangers,in,Winter,11.3,2004/2005
Newcastle United,Amdy Faye,27.0,Defensive Midfield,Portsmouth FC,in,Winter,3.0,2004/2005
Aston Villa,Eric Djemba Djemba,23.0,Defensive Midfield,Man Utd,in,Winter,2.54,2004/2005
Birmingham City,Robbie Blake,28.0,Second Striker,Burnley FC,in,Winter,2.25,2004/2005
Spurs,Andy Reid,22.0,Left Midfield,Nottm Forest,in,Winter,8.0,2004/2005
Spurs,Michael Dawson,21.0,Centre-Back,Nottm Forest,in,Winter,7.0,2004/2005
Blackburn Rovers,Robbie Savage,30.0,Central Midfield,Birmingham,in,Winter,4.5,2004/2005
West Brom,Richard Chaplow,19.0,Central Midfield,Burnley FC,in,Winter,2.25,2004/2005
Chelsea FC,Shaun Wright-Phillips,23.0,Right Winger,Man City,in,Summer,31.5,2005/2006
Chelsea FC,Asier del Horno,24.0,Left-Back,Athletic,in,Summer,12.0,2005/2006
Man Utd,Edwin van der Sar,34.0,Goalkeeper,Fulham FC,in,Summer,4.0,2005/2006
Man Utd,Ben Foster,22.0,Goalkeeper,Stoke City,in,Summer,2.0,2005/2006
Liverpool FC,Peter Crouch,24.0,Centre-Forward,Southampton,in,Summer,10.5,2005/2006
Bolton,El-Hadji Diouf,24.0,Centre-Forward,Liverpool FC,in,Summer,4.8,2005/2006
Middlesbrough FC,Yakubu Aiyegbeni,22.0,Centre-Forward,Portsmouth FC,in,Summer,9.75,2005/2006
Man City,Darius Vassell,25.0,Centre-Forward,Aston Villa,in,Summer,3.6,2005/2006
Spurs,Jermaine Jenas,22.0,Central Midfield,Newcastle United,in,Summer,15.0,2005/2006
Spurs,Tom Huddlestone,18.0,Defensive Midfield,Derby County,in,Summer,4.7,2005/2006
Spurs,Grzegorz Rasiak,26.0,Centre-Forward,Derby County,in,Summer,3.5,2005/2006
Spurs,Wayne Routledge,20.0,Left Winger,Crystal Palace,in,Summer,3.0,2005/2006
Spurs,Aaron Lennon,18.0,Right Winger,Leeds United,in,Summer,1.2,2005/2006
Aston Villa,Milan Baros,23.0,Centre-Forward,Liverpool FC,in,Summer,8.84,2005/2006
Aston Villa,Aaron Hughes,25.0,Centre-Back,Newcastle United,in,Summer,1.5,2005/2006
Aston Villa,Kevin Phillips,31.0,Centre-Forward,Southampton,in,Summer,1.5,2005/2006
Charlton,Darren Bent,21.0,Centre-Forward,Ipswich Town,in,Summer,4.5,2005/2006
Charlton,Darren Ambrose,21.0,Left Midfield,Newcastle United,in,Summer,1.6,2005/2006
Birmingham City,Mikael Forssell,24.0,Centre-Forward,Chelsea FC,in,Summer,4.5,2005/2006
Birmingham City,Jermaine Pennant,22.0,Right Winger,Arsenal FC,in,Summer,0.75,2005/2006
Fulham FC,Heidar Helguson,27.0,Centre-Forward,Watford FC,in,Summer,2.0,2005/2006
Newcastle United,Scott Parker,24.0,Central Midfield,Chelsea FC,in,Summer,9.5,2005/2006
Blackburn Rovers,Craig Bellamy,25.0,Left Winger,Newcastle United,in,Summer,7.5,2005/2006
Portsmouth FC,Andrew O'Brien,26.0,Centre-Back,Newcastle United,in,Summer,3.0,2005/2006
Portsmouth FC,Laurent Robert,30.0,Left Winger,Newcastle United,in,Summer,2.3,2005/2006
West Brom,Curtis Davies,20.0,Centre-Back,Luton,in,Summer,4.5,2005/2006
