club_name,player_name,age,position,club_involved_name,transfer_movement,transfer_period,fee_cleaned,season
West Ham United,Keith Rowland,21.0,Left-Back,AFC Bournemouth,in,Summer,0.165,1993/1994
Swindon Town,Andy Mutch,29.0,attack,Wolves,in,Summer,0.31,1993/1994
Sheff Utd,Willie Falconer,27.0,Centre-Forward,Middlesbrough FC,in,Summer,0.6,1993/1994
Man City,Alan Kernaghan,26.0,Centre-Back,Middlesbrough FC,in,Summer,2.4,1993/1994
Blackburn Rovers,Paul Warhurst,23.0,Centre-Back,Sheff Wed,in,Summer,3.75,1993/1994
Blackburn Rovers,Ian Pearce,19.0,Centre-Back,Chelsea FC,in,Summer,0.45,1993/1994
Spurs,Jason Dozzell,25.0,Central Midfield,Ipswich Town,in,Summer,2.4,1993/1994
Spurs,David Kerslake,27.0,Right-Back,Leeds United,in,Summer,0.563,1993/1994
Liverpool FC,Neil Ruddock,25.0,Centre-Back,Spurs,in,Summer,3.0,1993/1994
Liverpool FC,Nigel Clough,27.0,Attacking Midfield,Nottm Forest,in,Summer,2.75,1993/1994
Liverpool FC,Julian Dicks,25.0,Left-Back,West Ham United,in,Summer,2.25,1993/1994
Norwich City,Neil Adams,28.0,Right-Back,Oldham Athletic,in,Winter,0.375,1993/1994
Oldham Athletic,Sean McCarthy,26.0,attack,Bradford,in,Winter,0.628,1993/1994
Sheff Utd,Simon Coleman,25.0,Centre-Back,Derby County,in,Winter,0.382,1993/1994
Wimbledon FC,Marcus Gayle,23.0,Centre-Forward,Brentford FC,in,Winter,0.375,1993/1994
Newcastle United,Ruel Fox,26.0,Right Winger,Norwich City,in,Winter,2.5,1993/1994
Leeds United,John Pemberton,28.0,Centre-Back,Sheff Utd,in,Winter,0.313,1993/1994
Swindon Town,Brian Kilcline,31.0,Centre-Back,Newcastle United,in,Winter,0.113,1993/1994
Sheff Utd,Nathan Blake,21.0,Centre-Forward,Cardiff City,in,Winter,0.42,1993/1994
Man City,David Rocastle,26.0,Attacking Midfield,Leeds United,in,Winter,2.4,1993/1994
Man City,Paul Walsh,31.0,Centre-Forward,Portsmouth FC,in,Winter,0.85,1993/1994
Blackburn Rovers,Tim Flowers,26.0,Goalkeeper,Southampton,in,Winter,3.8,1993/1994
Blackburn Rovers,David Batty,25.0,Defensive Midfield,Leeds United,in,Winter,3.78,1993/1994
Spurs,Kevin Scott,27.0,Centre-Back,Newcastle United,in,Winter,1.1,1993/1994
Spurs,Ronny Rosenthal,30.0,Left Winger,Liverpool FC,in,Winter,0.3,1993/1994
Spurs,Micky Hazard,33.0,Central Midfield,Swindon Town,in,Winter,0.055,1993/1994
Norwich City,Jon Newsome,23.0,Right-Back,Leeds United,in,Summer,1.5,1994/1995
Norwich City,Mike Sheron,22.0,Centre-Forward,Man City,in,Summer,1.38,1994/1995
Norwich City,Carl Bradshaw,25.0,Right-Back,Sheff Utd,in,Summer,0.58,1994/1995
QPR,Steve Hodge,31.0,Central Midfield,Leeds United,in,Summer,0.36,1994/1995
Sheff Utd,Peter Atherton,24.0,Right-Back,Coventry,in,Summer,1.15,1994/1995
Leicester City,Franz Carr,28.0,Right Winger,Sheff Utd,in,Summer,0.12,1994/1995
Wimbledon FC,Efan Ekoku,27.0,Centre-Forward,Norwich City,in,Summer,0.75,1994/1995
Wimbledon FC,Mick Harford,35.0,Centre-Forward,Coventry,in,Summer,0.055,1994/1995
Coventry City,Dion Dublin,25.0,Centre-Forward,Man Utd,in,Summer,3.0,1994/1995
Coventry City,Steven Pressley,20.0,Centre-Back,Rangers,in,Summer,0.9,1994/1995
Man Utd,David May,24.0,Centre-Back,Blackburn Rovers,in,Summer,2.1,1994/1995
Man Utd,Graeme Tomlinson,18.0,attack,Bradford,in,Summer,0.12,1994/1995
Crystal Palace,Darren Pitcher,24.0,Right-Back,Charlton,in,Summer,0.89,1994/1995
Newcastle United,Darren Peacock,26.0,Centre-Back,QPR,in,Summer,5.0,1994/1995
Newcastle United,Paul Kitson,23.0,Centre-Forward,Derby County,in,Summer,3.38,1994/1995
Nottm Forest,Kevin Campbell,24.0,Centre-Forward,Arsenal FC,in,Summer,4.2,1994/1995
Chelsea FC,Paul Furlong,25.0,Centre-Forward,Watford FC,in,Summer,3.5,1994/1995
Chelsea FC,David Rocastle,27.0,Attacking Midfield,Man City,in,Summer,1.48,1994/1995
Chelsea FC,Scott Minto,22.0,Left-Back,Charlton,in,Summer,1.15,1994/1995
Aston Villa,John Fashanu,31.0,Centre-Forward,Wimbledon FC,in,Summer,1.62,1994/1995
Aston Villa,Phil King,26.0,Left-Back,Sheff Wed,in,Summer,0.24,1994/1995
Leeds United,Carlton Palmer,28.0,Defensive Midfield,Sheff Wed,in,Summer,3.15,1994/1995
Leeds United,Nigel Worthington,32.0,Left-Back,Sheff Wed,in,Summer,0.4,1994/1995
West Ham United,Don Hutchison,19.0,Attacking Midfield,Liverpool FC,in,Summer,2.25,1994/1995
West Ham United,Julian Dicks,26.0,Left-Back,Liverpool FC,in,Summer,1.5,1994/1995
West Ham United,Adrian Richard Whitbread,22.0,Centre-Back,Swindon Town,in,Summer,0.623,1994/1995
Man City,Nicky Summerbee,22.0,Right Midfield,Swindon Town,in,Summer,2.25,1994/1995
Blackburn Rovers,Chris Sutton,21.0,Centre-Forward,Norwich City,in,Summer,7.5,1994/1995
Liverpool FC,Phil Babb,23.0,Centre-Back,Coventry,in,Summer,5.43,1994/1995
Liverpool FC,John Scales,28.0,Centre-Back,Wimbledon FC,in,Summer,4.1,1994/1995
Ipswich Town,Lee Chapman,35.0,Centre-Forward,West Ham United,in,Winter,0.088,1994/1995
Sheff Utd,Guy Whittingham,30.0,Centre-Forward,Aston Villa,in,Winter,1.0,1994/1995
