Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Yakubu Aiyegbeni,ng NGA,FW,Portsmouth,21,1982,30,29,2467,27.4,13,3,16,9,4,4,2,0,0.47,0.11,0.58,0.33,0.44,Matches
2,Martin Albrechtsen,dk DEN,DF,West Brom,24,1980,24,20,1785,19.8,0,1,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,Matches
3,Jérémie Aliadière,fr FRA,"FW,MF",Arsenal,21,1983,4,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Manuel Almunia,es ESP,GK,Arsenal,27,1977,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Xabi Alonso,es ESP,MF,Liverpool,22,1981,24,20,1809,20.1,2,4,6,2,0,0,1,0,0.10,0.20,0.30,0.10,0.30,Matches
6,Darren Ambrose,eng ENG,"FW,MF",Newcastle Utd,20,1984,12,8,741,8.2,3,0,3,3,0,0,1,0,0.36,0.00,0.36,0.36,0.36,Matches
7,Shola Ameobi,ng NGA,FW,Newcastle Utd,22,1981,31,17,1674,18.6,2,1,3,2,0,0,3,1,0.11,0.05,0.16,0.11,0.16,Matches
8,Lorenzo Amoruso,it ITA,DF,Blackburn,33,1971,6,5,453,5.0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
9,Stephan Andersen,dk DEN,GK,Charlton Ath,22,1981,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Darren Anderton,eng ENG,MF,Birmingham City,32,1972,20,9,868,9.6,3,1,4,3,0,0,1,0,0.31,0.10,0.41,0.31,0.41,Matches
11,Wayne Andrews,eng ENG,FW,Crystal Palace,26,1977,9,0,124,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Nicolas Anelka,fr FRA,FW,Manchester City,25,1979,19,18,1510,16.8,7,2,9,5,2,2,0,0,0.42,0.12,0.54,0.30,0.42,Matches
13,José Antonio Reyes,es ESP,MF,Arsenal,20,1983,30,25,2025,22.5,9,10,19,9,0,0,3,0,0.40,0.44,0.84,0.40,0.84,Matches
14,John Arne Riise,no NOR,"DF,MF",Liverpool,23,1980,37,34,2984,33.2,6,7,13,6,0,0,2,0,0.18,0.21,0.39,0.18,0.39,Matches
15,Mikel Arteta,es ESP,MF,Everton,22,1982,12,10,810,9.0,1,3,4,1,0,0,5,0,0.11,0.33,0.44,0.11,0.44,Matches
16,Jamie Ashdown,eng ENG,GK,Portsmouth,23,1980,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Dean Ashton,eng ENG,FW,Norwich City,20,1983,16,16,1421,15.8,7,3,10,6,1,1,0,0,0.44,0.19,0.63,0.38,0.57,Matches
18,Timothée Atouba,cm CMR,DF,Tottenham,22,1982,18,15,1397,15.5,1,0,1,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches
19,Celestine Babayaro,ng NGA,"DF,MF",Newcastle Utd,25,1978,7,7,626,7.0,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches
20,Celestine Babayaro,ng NGA,"DF,MF",Chelsea,25,1978,4,3,292,3.2,0,1,1,0,0,0,1,0,0.00,0.31,0.31,0.00,0.31,Matches
21,Anthony Barness,eng ENG,DF,Bolton,31,1973,8,5,429,4.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Milan Baroš,cz CZE,FW,Liverpool,22,1981,26,22,1866,20.7,9,1,10,7,2,3,4,1,0.43,0.05,0.48,0.34,0.39,Matches
23,Gareth Barry,eng ENG,MF,Aston Villa,23,1981,34,33,2837,31.5,7,1,8,4,3,3,2,0,0.22,0.03,0.25,0.13,0.16,Matches
24,Shaun Bartlett,za RSA,FW,Charlton Ath,31,1972,25,25,2050,22.8,6,3,9,6,0,0,0,2,0.26,0.13,0.40,0.26,0.40,Matches
25,Joey Barton,eng ENG,MF,Manchester City,21,1982,31,28,2502,27.8,1,5,6,1,0,0,9,0,0.04,0.18,0.22,0.04,0.22,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Matthew Bates,eng ENG,DF,Middlesbrough,17,1986,2,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
27,James Beattie,eng ENG,FW,Southampton,26,1978,11,11,808,9.0,3,1,4,2,1,1,0,0,0.33,0.11,0.45,0.22,0.33,Matches
28,James Beattie,eng ENG,FW,Everton,26,1978,11,7,567,6.3,1,0,1,1,0,1,1,1,0.16,0.00,0.16,0.16,0.16,Matches
29,Craig Bellamy,wls WAL,FW,Newcastle Utd,25,1979,21,21,1788,19.9,7,4,11,7,0,0,2,0,0.35,0.20,0.55,0.35,0.55,Matches
30,David Bellion,fr FRA,FW,Manchester Utd,21,1982,10,1,208,2.3,2,0,2,2,0,0,0,0,0.87,0.00,0.87,0.87,0.87,Matches
