Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Patrick van Aanholt,nl NED,DF,Chelsea,18,1990,2,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Emmanuel Adebayor,tg TOG,FW,Manchester City,25,1984,26,25,2207,24.5,14,3,17,14,0,0,1,0,0.57,0.12,0.69,0.57,0.69,Matches
3,Kieran Agard,eng ENG,"FW,MF",Everton,19,1989,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Gabriel Agbonlahor,eng ENG,"FW,MF",Aston Villa,22,1986,36,35,3075,34.2,13,3,16,13,0,0,3,0,0.38,0.09,0.47,0.38,0.47,Matches
5,Daniel Agger,dk DEN,DF,Liverpool,24,1984,23,23,1977,22.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Yakubu Aiyegbeni,ng NGA,FW,Everton,26,1982,25,9,1097,12.2,5,4,9,5,0,1,1,0,0.41,0.33,0.74,0.41,0.74,Matches
7,Marc Albrighton,eng ENG,"DF,FW",Aston Villa,19,1989,3,0,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Alex,br BRA,DF,Chelsea,27,1982,16,13,1270,14.1,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches
9,Graham Alexander,sct SCO,"DF,MF",Burnley,37,1971,33,33,2735,30.4,7,1,8,1,6,6,3,0,0.23,0.03,0.26,0.03,0.07,Matches
10,Manuel Almunia,es ESP,GK,Arsenal,32,1977,29,29,2610,29.0,0,1,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,Matches
11,Ben Alnwick,eng ENG,GK,Tottenham,22,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Jozy Altidore,us USA,FW,Hull City,19,1989,28,16,1461,16.2,1,3,4,1,0,0,4,1,0.06,0.18,0.25,0.06,0.25,Matches
13,Anderson,br BRA,MF,Manchester Utd,21,1988,14,10,858,9.5,1,2,3,1,0,0,1,0,0.10,0.21,0.31,0.10,0.31,Matches
14,Keith Andrews,ie IRL,MF,Blackburn,28,1980,32,22,2121,23.6,1,0,1,0,1,1,4,0,0.04,0.00,0.04,0.00,0.00,Matches
15,Nicolas Anelka,fr FRA,FW,Chelsea,30,1979,33,31,2688,29.9,11,7,18,11,0,0,0,0,0.37,0.23,0.60,0.37,0.60,Matches
16,Victor Anichebe,ng NGA,FW,Everton,21,1988,11,6,480,5.3,1,2,3,1,0,0,1,0,0.19,0.37,0.56,0.19,0.56,Matches
17,Alberto Aquilani,it ITA,MF,Liverpool,25,1984,18,9,817,9.1,1,6,7,1,0,0,0,0,0.11,0.66,0.77,0.11,0.77,Matches
18,Andrey Arshavin,ru RUS,"FW,MF",Arsenal,28,1981,30,25,2255,25.1,10,1,11,10,0,0,2,0,0.40,0.04,0.44,0.40,0.44,Matches
19,Mikel Arteta,es ESP,MF,Everton,27,1982,13,11,1032,11.5,6,1,7,4,2,2,3,0,0.52,0.09,0.61,0.35,0.44,Matches
20,Jamie Ashdown,eng ENG,GK,Portsmouth,28,1980,6,5,452,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Benoît Assou-Ekotto,cm CMR,DF,Tottenham,25,1984,30,29,2530,28.1,1,2,3,1,0,0,5,0,0.04,0.07,0.11,0.04,0.11,Matches
22,Will Atkinson,eng ENG,MF,Hull City,20,1988,2,2,180,2.0,1,0,1,1,0,0,1,0,0.50,0.00,0.50,0.50,0.50,Matches
23,Fábio Aurélio,br BRA,"DF,MF",Liverpool,29,1979,14,8,653,7.3,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches
24,Daniel Ayala,es ESP,DF,Liverpool,18,1990,5,2,236,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Ryan Babel,nl NED,"FW,MF",Liverpool,22,1986,25,9,966,10.7,4,1,5,4,0,0,1,0,0.37,0.09,0.47,0.37,0.47,Matches
