Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
37,Henning Berg,no NOR,DF,Manchester Utd,29,1969,22,16,1635,18.2,1,0,1,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matches
38,Patrik Berger,cz CZE,MF,Liverpool,25,1973,34,34,2902,32.2,9,3,12,8,1,1,2,0,0.28,0.09,0.37,0.25,0.34,Matches
39,Dennis Bergkamp,nl NED,FW,Arsenal,30,1969,28,23,1874,20.8,6,9,15,6,0,0,6,0,0.29,0.43,0.72,0.29,0.72,Matches
40,Robert Betts,eng ENG,MF,Coventry City,17,1981,2,0,20,0.2,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Jon Bewers,eng ENG,"DF,MF",Aston Villa,16,1982,1,0,2,0.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches
42,Jóhann Birnir Guðmundsson,is ISL,MF,Watford,21,1977,9,1,248,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
43,Tommy Black,eng ENG,MF,Arsenal,19,1979,1,0,5,0.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches
44,Dean Blackwell,eng ENG,DF,Wimbledon,29,1969,17,16,1406,15.6,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
45,Robbie Blake,eng ENG,"FW,MF",Bradford City,23,1976,28,15,1660,18.4,2,1,3,2,0,0,0,0,0.11,0.05,0.16,0.11,0.16,Matches
46,Luís Boa Morte,pt POR,"FW,MF",Arsenal,21,1977,2,0,51,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
47,Luís Boa Morte,pt POR,"FW,MF",Southampton,21,1977,14,6,553,6.1,1,1,2,1,0,0,1,1,0.16,0.16,0.33,0.16,0.33,Matches
48,George Boateng,nl NED,MF,Aston Villa,23,1975,33,30,2488,27.6,2,0,2,2,0,0,9,0,0.07,0.00,0.07,0.07,0.07,Matches
49,Paul Boertien,eng ENG,DF,Derby County,20,1979,2,0,78,0.9,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches
