Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Gary Ablett,eng ENG,DF,Everton,28,1965,26,26,2230,24.8,3,0,3,3,0,0,4,0,0.12,0.00,0.12,0.12,0.12,Matches
2,Neil Adams,eng ENG,MF,Norwich City,28,1965,33,23,2171,24.1,3,1,4,3,0,0,2,0,0.12,0.04,0.17,0.12,0.17,Matches
3,Tony Adams,eng ENG,DF,Arsenal,27,1966,27,27,2387,26.5,3,1,4,3,0,0,4,1,0.11,0.04,0.15,0.11,0.15,Matches
4,Steve Agnew,eng ENG,MF,Leicester City,28,1965,11,7,690,7.7,0,1,1,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matches
5,Ade Akinbiyi,ng NGA,FW,Norwich City,19,1974,13,6,544,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Philippe Albert,be BEL,DF,Newcastle Utd,26,1967,17,17,1476,16.4,2,0,2,2,0,0,3,1,0.12,0.00,0.12,0.12,0.12,Matches
7,Bradley Allen,eng ENG,FW,QPR,22,1971,5,2,266,3.0,2,0,2,2,0,0,0,0,0.68,0.00,0.68,0.68,0.68,Matches
8,Malcolm Allen,wls WAL,FW,Newcastle Utd,27,1967,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Martin Allen,eng ENG,MF,West Ham,28,1965,29,26,2212,24.6,2,1,3,2,0,0,7,1,0.08,0.04,0.12,0.08,0.12,Matches
10,Paul Allen,eng ENG,MF,Southampton,31,1962,11,11,947,10.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Daniel Amokachi,ng NGA,FW,Everton,21,1972,18,17,1479,16.4,4,0,4,4,0,0,2,0,0.24,0.00,0.24,0.24,0.24,Matches
12,Darren Anderton,eng ENG,MF,Tottenham,22,1972,37,37,3275,36.4,5,14,19,5,0,0,3,0,0.14,0.38,0.52,0.14,0.52,Matches
13,Brett Angell,eng ENG,FW,Everton,25,1968,4,3,239,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Neal Ardley,eng ENG,MF,Wimbledon,21,1972,14,9,942,10.5,1,1,2,1,0,0,1,0,0.10,0.10,0.19,0.10,0.19,Matches
15,Chris Armstrong,eng ENG,FW,Crystal Palace,23,1971,40,40,3586,39.8,8,6,14,8,0,1,7,0,0.20,0.15,0.35,0.20,0.35,Matches
16,Peter Atherton,eng ENG,"DF,MF",Sheffield Weds,24,1970,41,41,3621,40.2,1,6,7,1,0,0,5,0,0.02,0.15,0.17,0.02,0.17,Matches
17,Mark Atkins,eng ENG,"DF,MF",Blackburn,25,1968,35,31,2545,28.3,6,1,7,6,0,0,0,0,0.21,0.04,0.25,0.21,0.25,Matches
18,Dalian Atkinson,eng ENG,FW,Aston Villa,26,1968,16,11,947,10.5,3,2,5,3,0,0,1,0,0.29,0.19,0.48,0.29,0.48,Matches
19,Dean Austin,eng ENG,DF,Tottenham,24,1970,24,23,2122,23.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Phil Babb,ie IRL,DF,Liverpool,23,1970,34,33,2927,32.5,0,1,1,0,0,0,3,1,0.00,0.03,0.03,0.00,0.03,Matches
21,Phil Babb,ie IRL,DF,Coventry City,23,1970,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Clive Baker,,GK,Ipswich Town,35,1959,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Nicky Banger,eng ENG,FW,Southampton,23,1971,4,4,360,4.0,2,0,2,2,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches
24,David Bardsley,eng ENG,DF,QPR,29,1964,31,31,2790,31.0,0,4,4,0,0,0,7,0,0.00,0.13,0.13,0.00,0.13,Matches
25,Simon Barker,eng ENG,MF,QPR,29,1964,36,36,3121,34.7,4,6,10,4,0,0,8,0,0.12,0.17,0.29,0.12,0.29,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Stuart Barlow,eng ENG,FW,Everton,26,1968,11,7,685,7.6,2,1,3,2,0,0,2,1,0.26,0.13,0.39,0.26,0.39,Matches
27,Nick Barmby,eng ENG,"FW,MF",Tottenham,20,1974,38,37,3228,35.9,9,6,15,9,0,0,0,0,0.25,0.17,0.42,0.25,0.42,Matches
28,John Barnes,eng ENG,"DF,FW",Liverpool,30,1963,38,38,3324,36.9,7,5,12,7,0,0,0,0,0.19,0.14,0.32,0.19,0.32,Matches
29,Anthony Barness,eng ENG,DF,Chelsea,21,1973,12,10,880,9.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
30,Earl Barrett,eng ENG,DF,Aston Villa,27,1967,25,24,2161,24.0,0,1,1,,,,3,0,0.00,0.04,0.04,,,Matches
31,Earl Barrett,eng ENG,DF,Everton,27,1967,17,17,1501,16.7,0,0,0,,,,2,1,0.00,0.00,0.00,,,Matches
32,Chris Bart-Williams,eng ENG,"DF,MF",Sheffield Weds,20,1974,38,32,2984,33.2,2,7,9,2,0,0,6,0,0.06,0.21,0.27,0.06,0.27,Matches
33,Warren Barton,eng ENG,DF,Wimbledon,25,1969,39,39,3495,38.8,2,8,10,1,1,1,6,0,0.05,0.21,0.26,0.03,0.23,Matches
34,Vince Bartram,eng ENG,GK,Arsenal,25,1968,11,11,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
35,David Batty,eng ENG,MF,Blackburn,25,1968,5,4,372,4.1,0,0,0,0,0,,2,0,0.00,0.00,0.00,0.00,0.00,Matches
36,Peter Beagrie,eng ENG,FW,Manchester City,28,1965,37,33,2969,33.0,2,7,9,2,0,0,0,0,0.06,0.21,0.27,0.06,0.27,Matches
37,Peter Beardsley,eng ENG,"FW,MF",Newcastle Utd,33,1961,34,34,2956,32.8,12,5,17,9,3,4,3,0,0.37,0.15,0.52,0.27,0.43,Matches
38,Dave Beasant,eng ENG,GK,Southampton,35,1959,13,12,1175,13.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
39,David Beckham,eng ENG,MF,Manchester Utd,19,1975,4,2,195,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
40,Francis Benali,eng ENG,DF,Southampton,25,1968,35,32,2835,31.5,0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,Matches
41,John Beresford,eng ENG,DF,Newcastle Utd,27,1966,34,34,3060,34.0,0,3,3,0,0,0,7,0,0.00,0.09,0.09,0.00,0.09,Matches
42,Henning Berg,no NOR,DF,Blackburn,24,1969,40,40,3554,39.5,1,2,3,1,0,0,2,1,0.03,0.05,0.08,0.03,0.08,Matches
43,Ian Bishop,eng ENG,MF,West Ham,29,1965,31,31,2740,30.4,1,1,2,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07,Matches
44,Kingsley Black,nir NIR,MF,Nott'ham Forest,26,1968,10,5,533,5.9,2,1,3,2,0,0,0,0,0.34,0.17,0.51,0.34,0.51,Matches
45,Mark Blake,eng ENG,MF,Leicester City,23,1970,30,26,2305,25.6,3,1,4,3,0,0,8,0,0.12,0.04,0.16,0.12,0.16,Matches
46,Gary Blissett,eng ENG,FW,Wimbledon,30,1964,9,4,399,4.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
47,Chris Boden,eng ENG,DF,Aston Villa,20,1973,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
48,Jeroen Boere,nl NED,FW,West Ham,26,1967,20,15,1427,15.9,6,3,9,6,0,0,3,0,0.38,0.19,0.57,0.38,0.57,Matches
49,Lars Bohinen,no NOR,MF,Nott'ham Forest,24,1969,33,30,2725,30.3,6,5,11,6,0,0,8,0,0.20,0.17,0.36,0.20,0.36,Matches
50,Willie Boland,ie IRL,MF,Coventry City,18,1975,12,9,790,8.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Brian Borrows,eng ENG,DF,Coventry City,33,1960,35,33,2946,32.7,0,1,1,0,0,0,7,0,0.00,0.03,0.03,0.00,0.03,Matches
52,Mark Bosnich,au AUS,GK,Aston Villa,22,1972,30,30,2664,29.6,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
53,Steve Bould,eng ENG,DF,Arsenal,31,1962,31,30,2683,29.8,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
54,Mark Bowen,wls WAL,DF,Norwich City,30,1963,36,34,3115,34.6,2,1,3,2,0,0,6,0,0.06,0.03,0.09,0.06,0.09,Matches
55,Bobby Bowry,kn SKN,"FW,MF",Crystal Palace,23,1971,18,13,1126,12.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
56,Paul Bracewell,eng ENG,MF,Newcastle Utd,32,1962,15,13,1241,13.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
57,Carl Bradshaw,eng ENG,DF,Norwich City,25,1968,26,25,2109,23.4,1,0,1,0,1,2,0,0,0.04,0.00,0.04,0.00,0.00,Matches
58,Tim Breacker,eng ENG,DF,West Ham,29,1965,33,33,2954,32.8,0,5,5,0,0,0,7,1,0.00,0.15,0.15,0.00,0.15,Matches
59,Rufus Brevett,eng ENG,DF,QPR,24,1969,19,17,1548,17.2,0,1,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,Matches
60,Mark Bright,eng ENG,FW,Sheffield Weds,32,1962,37,33,2843,31.6,11,3,14,10,1,2,3,0,0.35,0.09,0.44,0.32,0.41,Matches
61,David Brightwell,eng ENG,DF,Manchester City,23,1971,9,9,787,8.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
62,Ian Brightwell,eng ENG,DF,Manchester City,26,1968,29,28,2526,28.1,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
63,Lee Briscoe,eng ENG,"DF,MF",Sheffield Weds,18,1975,6,6,530,5.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
64,Kenny Brown,eng ENG,DF,West Ham,27,1967,9,8,728,8.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
65,Steve Bruce,eng ENG,DF,Manchester Utd,33,1960,35,35,3150,35.0,2,0,2,2,0,0,12,0,0.06,0.00,0.06,0.06,0.06,Matches
66,Gary Bull,eng ENG,FW,Nott'ham Forest,28,1966,1,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches
67,Craig Burley,sct SCO,MF,Chelsea,22,1971,25,16,1373,15.3,2,1,3,2,0,0,5,0,0.13,0.07,0.20,0.13,0.20,Matches
68,John Burridge,eng ENG,GK,Manchester City,42,1951,5,4,412,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
69,David Burrows,eng ENG,DF,West Ham,25,1968,4,4,360,4.0,0,0,0,,,,0,0,0.00,0.00,0.00,,,Matches
70,David Burrows,eng ENG,DF,Everton,25,1968,19,19,1589,17.7,0,1,1,,,,8,0,0.00,0.06,0.06,,,Matches
71,David Burrows,eng ENG,DF,Coventry City,25,1968,11,11,990,11.0,0,0,0,,,,4,0,0.00,0.00,0.00,,,Matches
72,David Busst,eng ENG,DF,Coventry City,27,1967,20,20,1694,18.8,2,2,4,2,0,0,1,0,0.11,0.11,0.21,0.11,0.21,Matches
