Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Samassi Abou,fr FRA,FW,West Ham,25,1973,3,2,188,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Tony Adams,eng ENG,DF,Arsenal,31,1966,26,26,2340,26.0,1,0,1,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,Matches
3,Junior Agogo,gh GHA,FW,Sheffield Weds,18,1979,1,0,41,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Gareth Ainsworth,eng ENG,MF,Wimbledon,25,1973,8,5,465,5.2,0,1,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches
5,Philippe Albert,be BEL,DF,Newcastle Utd,30,1967,6,3,362,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Niclas Alexandersson,se SWE,MF,Sheffield Weds,26,1971,32,31,2608,29.0,3,3,6,3,0,0,0,0,0.10,0.10,0.21,0.10,0.21,Matches
7,Rory Allen,eng ENG,FW,Tottenham,20,1977,5,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Bernard Allou,fr FRA,"FW,MF",Nott'ham Forest,23,1975,2,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
9,John Aloisi,au AUS,FW,Coventry City,22,1976,16,7,724,8.0,5,2,7,5,0,0,0,1,0.62,0.25,0.87,0.62,0.87,Matches
10,Andreas Andersson,se SWE,FW,Newcastle Utd,24,1974,15,11,917,10.2,2,0,2,2,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches
11,Darren Anderton,eng ENG,MF,Tottenham,26,1972,32,31,2721,30.2,3,9,12,1,2,2,6,0,0.10,0.30,0.40,0.03,0.33,Matches
12,Tore André Flo,no NOR,FW,Chelsea,25,1973,30,18,1892,21.0,10,4,14,10,0,0,2,0,0.48,0.19,0.67,0.48,0.67,Matches
13,Nicolas Anelka,fr FRA,FW,Arsenal,19,1979,35,34,2793,31.0,17,5,22,17,0,0,1,0,0.55,0.16,0.71,0.55,0.71,Matches
14,Neal Ardley,eng ENG,MF,Wimbledon,25,1972,23,16,1503,16.7,0,1,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,Matches
15,Alun Armstrong,eng ENG,FW,Middlesbrough,23,1975,6,0,161,1.8,1,1,2,1,0,0,0,0,0.56,0.56,1.12,0.56,1.12,Matches
16,Chris Armstrong,eng ENG,FW,Tottenham,27,1971,34,24,2357,26.2,7,1,8,7,0,0,4,1,0.27,0.04,0.31,0.27,0.31,Matches
17,Craig Armstrong,eng ENG,"DF,MF",Nott'ham Forest,23,1975,22,20,1710,19.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Pegguy Arphexad,fr FRA,GK,Leicester City,25,1973,4,2,253,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Peter Atherton,eng ENG,"DF,MF",Sheffield Weds,28,1970,38,38,3412,37.9,2,1,3,2,0,0,5,1,0.05,0.03,0.08,0.05,0.08,Matches
20,Espen Baardsen,no NOR,GK,Tottenham,20,1977,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Celestine Babayaro,ng NGA,"DF,MF",Chelsea,19,1978,28,26,2281,25.3,3,2,5,3,0,0,6,0,0.12,0.08,0.20,0.12,0.20,Matches
22,Phil Babb,ie IRL,DF,Liverpool,27,1970,25,24,2091,23.2,0,1,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,Matches
23,Francesco Baiano,it ITA,FW,Derby County,30,1968,22,17,1214,13.5,4,1,5,2,2,2,2,0,0.30,0.07,0.37,0.15,0.22,Matches
24,Ibrahima Bakayoko,ci CIV,FW,Everton,21,1976,23,17,1435,15.9,4,0,4,4,0,1,3,0,0.25,0.00,0.25,0.25,0.25,Matches
25,Steve Baker,eng ENG,DF,Middlesbrough,19,1978,2,1,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Michael Ball,eng ENG,DF,Everton,18,1979,37,36,3255,36.2,3,5,8,0,3,4,8,0,0.08,0.14,0.22,0.00,0.14,Matches
27,Nick Barmby,eng ENG,"FW,MF",Everton,24,1974,24,20,1635,18.2,3,3,6,3,0,0,4,0,0.17,0.17,0.33,0.17,0.33,Matches
28,John Barnes,eng ENG,"DF,FW",Charlton Ath,34,1963,12,2,451,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
29,John Barnes,eng ENG,"DF,FW",Newcastle Utd,34,1963,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
30,Anthony Barness,eng ENG,DF,Charlton Ath,25,1973,3,0,64,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
31,Earl Barrett,eng ENG,DF,Sheffield Weds,31,1967,5,0,100,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
32,Gareth Barry,eng ENG,MF,Aston Villa,17,1981,32,27,2439,27.1,2,1,3,2,0,0,3,0,0.07,0.04,0.11,0.07,0.11,Matches
33,Chris Bart-Williams,eng ENG,"DF,MF",Nott'ham Forest,24,1974,24,20,1794,19.9,3,1,4,3,0,0,4,0,0.15,0.05,0.20,0.15,0.20,Matches
34,Warren Barton,eng ENG,DF,Newcastle Utd,29,1969,24,17,1680,18.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
35,Steve Basham,eng ENG,FW,Southampton,20,1977,4,0,85,0.9,1,0,1,1,0,0,0,0,1.06,0.00,1.06,1.06,1.06,Matches
36,David Batty,eng ENG,MF,Leeds United,29,1968,10,10,881,9.8,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
37,David Batty,eng ENG,MF,Newcastle Utd,29,1968,8,6,601,6.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
38,Dave Beasant,eng ENG,GK,Nott'ham Forest,39,1959,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
39,James Beattie,eng ENG,FW,Southampton,20,1978,35,22,2193,24.4,5,7,12,5,0,0,4,0,0.21,0.29,0.49,0.21,0.49,Matches
40,Mikkel Beck,dk DEN,FW,Derby County,25,1973,7,6,448,5.0,1,0,1,,,,0,0,0.20,0.00,0.20,,,Matches
41,Mikkel Beck,dk DEN,FW,Middlesbrough,25,1973,27,13,1343,14.9,5,4,9,,,,2,0,0.34,0.27,0.60,,,Matches
42,David Beckham,eng ENG,MF,Manchester Utd,23,1975,34,33,2884,32.0,6,11,17,6,0,0,5,0,0.19,0.34,0.53,0.19,0.53,Matches
43,David Beharall,eng ENG,DF,Newcastle Utd,19,1979,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
44,Francis Benali,eng ENG,DF,Southampton,29,1968,23,19,1808,20.1,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches
45,John Beresford,eng ENG,DF,Southampton,31,1966,4,1,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
46,Marlon Beresford,eng ENG,GK,Middlesbrough,28,1969,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
47,Henning Berg,no NOR,DF,Manchester Utd,28,1969,16,10,1087,12.1,0,2,2,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,Matches
48,Patrik Berger,cz CZE,MF,Liverpool,24,1973,32,30,2573,28.6,7,4,11,7,0,0,4,0,0.24,0.14,0.38,0.24,0.38,Matches
49,Dennis Bergkamp,nl NED,FW,Arsenal,29,1969,29,28,2409,26.8,12,13,25,10,2,4,5,0,0.45,0.49,0.93,0.37,0.86,Matches
