player_name,nation,squad,minutes_played,goals,assists,cards
Neil Adams,eng ENG,Norwich City,0.2830409356725146,0,4,0
Neil Adams,eng ENG,Oldham Athletic,0.22514619883040934,0,0,0
Darren Anderton,eng ENG,Tottenham,0.8979532163742691,6,6,0
Peter Atherton,eng ENG,Coventry City,1.0289473684210526,0,1,0
Phil Babb,ie IRL,Coventry City,1.0394736842105263,3,2,2
Nick Barmby,eng ENG,Tottenham,0.6748538011695906,5,2,0
Chris Bart-Williams,eng ENG,Sheffield Weds,0.8008771929824562,8,5,1
Warren Barton,eng ENG,Wimbledon,0.9365497076023391,2,3,4
David Batty,eng ENG,Leeds United,0.2222222222222222,0,1,1
David Batty,eng ENG,Blackburn,0.678654970760234,0,2,3
Peter Beardsley,eng ENG,Newcastle Utd,0.9207602339181287,21,8,2
Darren Beckford,eng ENG,Oldham Athletic,0.37660818713450295,6,0,1
Paul Beesley,eng ENG,Sheffield Utd,0.5961988304093567,0,0,3
Henning Berg,no NOR,Blackburn,1.0137426900584796,1,3,1
Nathan Blake,wls WAL,Sheffield Utd,0.2125730994152047,5,0,0
Steve Bould,eng ENG,Arsenal,0.6201754385964913,1,1,2
Carl Bradshaw,eng ENG,Sheffield Utd,1.0248538011695907,1,2,3
Mark Brennan,eng ENG,Oldham Athletic,0.25818713450292397,0,1,1
Mark Bright,eng ENG,Sheffield Weds,0.9476608187134503,19,6,3
David Burrows,eng ENG,West Ham,0.6345029239766082,1,0,2
David Burrows,eng ENG,Liverpool,0.06783625730994151,0,0,1
Nicky Butt,eng ENG,Manchester Utd,0.003216374269005848,0,0,0
Colin Calderwood,sct SCO,Tottenham,0.6830409356725147,0,0,3
Kevin Campbell,eng ENG,Arsenal,0.7798245614035088,14,4,0
Eric Cantona,fr FRA,Manchester Utd,0.873391812865497,18,12,4
Franz Carr,eng ENG,Sheffield Utd,0.2549707602339181,1,1,0
Stephen Carr,ie IRL,Tottenham,0.013157894736842105,0,0,0
Lee Chapman,eng ENG,West Ham,0.7067251461988304,8,2,1
Simon Charlton,eng ENG,Southampton,0.7730994152046784,1,0,1
Lee Clark,eng ENG,Newcastle Utd,0.7251461988304093,2,4,1
Nigel Clough,eng ENG,Liverpool,0.6494152046783626,7,3,2
Andy Cole,eng ENG,Newcastle Utd,1.0514619883040937,34,14,2
Simon Coleman,eng ENG,Sheffield Weds,0.27865497076023393,1,1,0
Tony Coton,eng ENG,Manchester City,0.8157894736842105,0,0,0
Neil Cox,eng ENG,Aston Villa,0.43625730994152045,2,1,2
Julian Darby,eng ENG,Coventry City,0.6587719298245615,5,0,2
Brian Deane,eng ENG,Leeds United,1.077485380116959,11,11,3
Paul Dickov,sct SCO,Arsenal,0.013157894736842105,0,0,0
Julian Dicks,eng ENG,West Ham,0.18421052631578946,0,0,1
Julian Dicks,eng ENG,Liverpool,0.6225146198830409,3,1,1
Mal Donaghy,nir NIR,Chelsea,0.6119883040935673,1,0,1
Iain Dowie,nir NIR,Southampton,1.0049707602339182,5,5,8
Jason Dozzell,eng ENG,Tottenham,0.7482456140350877,8,4,0
Michael Duberry,eng ENG,Chelsea,0.02631578947368421,0,0,0
Dion Dublin,eng ENG,Manchester Utd,0.04649122807017544,1,0,0
Darren Eadie,eng ENG,Norwich City,0.2672514619883041,3,0,0
Ugo Ehiogu,eng ENG,Aston Villa,0.37456140350877193,0,0,1
Efan Ekoku,ng NGA,Norwich City,0.560233918128655,12,1,1
Robbie Elliott,eng ENG,Newcastle Utd,0.3347953216374269,0,1,1
Willie Falconer,sct SCO,Sheffield Utd,0.5450292397660819,4,1,1
John Fashanu,eng ENG,Wimbledon,0.8710526315789474,11,4,4
Graham Fenton,eng ENG,Aston Villa,0.2476608187134503,1,0,1
Les Ferdinand,eng ENG,QPR,0.8982456140350877,16,8,5
Garry Flitcroft,eng ENG,Manchester City,0.5140350877192983,3,3,2
Tim Flowers,eng ENG,Southampton,0.3157894736842105,0,0,0
Tim Flowers,eng ENG,Blackburn,0.7631578947368421,0,0,0
Craig Forrest,ca CAN,Ipswich Town,0.7105263157894737,0,0,0
Robbie Fowler,eng ENG,Liverpool,0.6929824561403509,12,1,0
Ruel Fox,ms MSR,Norwich City,0.6456140350877193,7,7,0
Ruel Fox,ms MSR,Newcastle Utd,0.36257309941520466,2,4,0
Steve Froggatt,eng ENG,Aston Villa,0.21461988304093568,1,0,0
Kevin Gallacher,sct SCO,Blackburn,0.6789473684210526,7,3,2
John Gayle,eng ENG,Coventry City,0.06871345029239766,0,0,0
Marcus Gayle,jm JAM,Wimbledon,0.2631578947368421,0,0,1
Dale Gordon,eng ENG,West Ham,0.19473684210526315,1,1,0
Andy Gray,eng ENG,Tottenham,0.012865497076023392,1,0,0
Richard Hall,eng ENG,Southampton,0.0912280701754386,0,0,0
Gunnar Halle,no NOR,Oldham Athletic,0.5921052631578947,1,1,3
Mick Harford,eng ENG,Coventry City,0.005263157894736842,1,0,0
Micky Hazard,eng ENG,Swindon Town,0.19502923976608186,0,0,0
Micky Hazard,eng ENG,Tottenham,0.3669590643274854,2,2,1
Colin Hendry,sct SCO,Blackburn,0.5921052631578947,0,0,3
Andy Hinchcliffe,eng ENG,Everton,0.6611111111111111,0,2,1
Steve Hodge,eng ENG,Leeds United,0.17982456140350878,1,0,1
Dean Holdsworth,eng ENG,Wimbledon,1.0850877192982455,17,6,3
Matty Holmes,eng ENG,West Ham,0.810233918128655,3,10,0
Mike Hooper,eng ENG,Newcastle Utd,0.5,0,0,0
