player_name,nation,squad,minutes_played,goals,assists,cards
Patrick van Aanholt,nl NED,Crystal Palace,0.5195906432748538,0,1,2
Tosin Adarabioyo,eng ENG,Fulham,0.8634502923976608,0,0,1
Semi Ajayi,ng NGA,West Brom,0.8128654970760234,2,0,4
Nathan Aké,nl NED,Manchester City,0.23304093567251463,1,0,4
Michail Antonio,jm JAM,West Ham,0.5771929824561404,10,5,3
Kepa Arrizabalaga,es ESP,Chelsea,0.17105263157894737,0,0,1
Jordan Ayew,gh GHA,Crystal Palace,0.6128654970760234,1,3,4
Gareth Bale,wls WAL,Tottenham,0.26900584795321636,11,2,1
Patrick Bamford,eng ENG,Leeds United,0.8918128654970761,17,7,3
Phil Bardsley,sct SCO,Burnley,0.08011695906432749,0,0,2
Ross Barkley,eng ENG,Aston Villa,0.4476608187134503,3,1,0
Ross Barkley,eng ENG,Chelsea,0.012280701754385965,0,0,0
Chris Basham,eng ENG,Sheffield Utd,0.7532163742690059,0,1,5
Michy Batshuayi,be BEL,Crystal Palace,0.2128654970760234,2,1,0
Saïd Benrahma,dz ALG,West Ham,0.40672514619883043,1,6,0
Christian Benteke,be BEL,Crystal Palace,0.5309941520467836,10,1,4
Yves Bissouma,ml MLI,Brighton,0.9096491228070176,1,0,9
Jayden Bogle,eng ENG,Sheffield Utd,0.32456140350877194,2,0,2
Willy Boly,ci CIV,Wolves,0.5494152046783626,1,1,2
Jarrod Bowen,eng ENG,West Ham,0.7491228070175439,8,5,0
Robbie Brady,ie IRL,Burnley,0.30760233918128654,1,1,3
Oliver Burke,sct SCO,Sheffield Utd,0.37105263157894736,1,1,2
Dan Burn,eng ENG,Brighton,0.6026315789473684,1,0,5
Jack Butland,eng ENG,Crystal Palace,0.02631578947368421,0,0,0
David Button,eng ENG,West Brom,0.02631578947368421,0,0,0
Gary Cahill,eng ENG,Crystal Palace,0.5263157894736842,1,1,3
Andy Carroll,eng ENG,Newcastle Utd,0.11461988304093568,1,0,1
Scott Carson,eng ENG,Manchester City,0.02631578947368421,0,0,0
Matty Cash,pl POL,Aston Villa,0.6935672514619883,0,2,9
Calum Chambers,eng ENG,Arsenal,0.22017543859649122,0,2,0
Ben Chilwell,eng ENG,Chelsea,0.6684210526315789,3,5,3
Carney Chukwuemeka,eng ENG,Aston Villa,0.005847953216374269,0,0,0
Nathaniel Clyne,eng ENG,Crystal Palace,0.3347953216374269,0,1,2
Jack Cork,eng ENG,Burnley,0.39473684210526316,0,0,2
Hélder Costa,ao ANG,Leeds United,0.33801169590643276,3,3,0
Aaron Cresswell,eng ENG,West Ham,0.9269005847953217,0,8,3
Scott Dann,eng ENG,Crystal Palace,0.39473684210526316,1,0,1
Karl Darlow,eng ENG,Newcastle Utd,0.6578947368421053,0,0,3
Ben Davies,wls WAL,Tottenham,0.3935672514619883,0,1,1
Craig Dawson,eng ENG,West Ham,0.5628654970760234,3,0,6
Fabian Delph,eng ENG,Everton,0.07777777777777778,0,0,1
Leander Dendoncker,be BEL,Wolves,0.7318713450292398,1,0,4
Grady Diangana,cd COD,West Brom,0.3611111111111111,1,0,0
Lucas Digne,fr FRA,Everton,0.7839181286549708,0,7,3
Issa Diop,fr FRA,West Ham,0.40380116959064327,2,0,3
Matt Doherty,ie IRL,Tottenham,0.36257309941520466,0,2,5
Martin Dúbravka,sk SVK,Newcastle Utd,0.34210526315789475,0,0,0
Ahmed Elmohamady,eg EGY,Aston Villa,0.24532163742690058,0,0,2
Jonny Evans,nir NIR,Leicester City,0.7230994152046784,2,2,7
Eberechi Eze,eng ENG,Crystal Palace,0.7482456140350877,4,6,3
Federico Fernández,ar ARG,Newcastle Utd,0.6078947368421053,0,0,4
Wesley Fofana,fr FRA,Leicester City,0.6614035087719298,0,0,7
Kieran Gibbs,eng ENG,West Brom,0.23654970760233918,0,0,2
Morgan Gibbs-White,eng ENG,Wolves,0.12105263157894737,1,0,1
Billy Gilmour,sct SCO,Chelsea,0.07631578947368421,0,0,0
Olivier Giroud,fr FRA,Chelsea,0.21871345029239767,4,0,1
Joe Gomez,eng ENG,Liverpool,0.17251461988304093,0,0,0
Anthony Gordon,eng ENG,Everton,0.025730994152046785,0,0,0
Karlan Grant,eng ENG,West Brom,0.32953216374269007,1,0,1
Demarai Gray,jm JAM,Leicester City,0.005555555555555556,0,0,0
Jack Grealish,eng ENG,Aston Villa,0.6388888888888888,6,10,6
Jack Harrison,eng ENG,Leeds United,0.8324561403508772,8,8,2
Kortney Hause,eng ENG,Aston Villa,0.18421052631578946,1,0,2
Michael Hector,jm JAM,Fulham,0.07690058479532164,0,0,2
Jordan Henderson,eng ENG,Liverpool,0.4982456140350877,1,1,0
Jeff Hendrick,ie IRL,Newcastle Utd,0.41578947368421054,2,1,4
Rob Holding,eng ENG,Arsenal,0.747953216374269,0,1,2
Kelechi Iheanacho,ng NGA,Leicester City,0.42660818713450294,12,2,1
Danny Ings,eng ENG,Southampton,0.6353801169590644,12,4,1
Daniel James,wls WAL,Manchester Utd,0.26608187134502925,3,1,3
Gabriel Jesus,br BRA,Manchester City,0.6032163742690059,9,4,2
Jorginho,it ITA,Chelsea,0.5877192982456141,7,1,2
Diogo Jota,pt POR,Liverpool,0.32514619883040935,9,0,2
James Justin,eng ENG,Leicester City,0.6052631578947368,2,1,4
N'Golo Kanté,fr FRA,Chelsea,0.6274853801169591,0,2,7
Martin Kelly,eng ENG,Crystal Palace,0.0005847953216374269,0,0,0
Terence Kongolo,nl NED,Fulham,0.02631578947368421,0,0,0
Ezri Konsa,eng ENG,Aston Villa,0.9345029239766082,2,0,3
Cheikhou Kouyaté,sn SEN,Crystal Palace,0.9125730994152047,1,0,4
Adam Lallana,eng ENG,Brighton,0.4666666666666667,1,1,0
Aymeric Laporte,es ESP,Manchester City,0.3929824561403509,0,0,1
Jamaal Lascelles,eng ENG,Newcastle Utd,0.47514619883040937,2,0,4
Mario Lemina,ga GAB,Fulham,0.497953216374269,1,0,5
Bernd Leno,de GER,Arsenal,0.9154970760233918,0,0,1
Jamal Lewis,nir NIR,Newcastle Utd,0.5371345029239766,0,1,4
Jesse Lingard,eng ENG,West Ham,0.4154970760233918,9,4,3
Jake Livermore,eng ENG,West Brom,0.3631578947368421,0,0,3
Shane Long,ie IRL,Southampton,0.06140350877192982,0,0,0
Max Lowe,eng ENG,Sheffield Utd,0.1608187134502924,0,0,1
Matthew Lowton,eng ENG,Burnley,0.8947368421052632,1,1,5
David Luiz,br BRA,Arsenal,0.408187134502924,1,0,2
Douglas Luiz,br BRA,Aston Villa,0.8131578947368421,0,2,11
James Maddison,eng ENG,Leicester City,0.6137426900584795,8,5,4
Harry Maguire,eng ENG,Manchester Utd,0.8909356725146199,2,1,11
Riyad Mahrez,dz ALG,Manchester City,0.5698830409356725,9,6,0
Sadio Mané,sn SEN,Liverpool,0.8216374269005848,11,7,3
Emiliano Martínez,ar ARG,Aston Villa,1.0,0,0,1
Juan Mata,es ESP,Manchester Utd,0.14883040935672515,1,2,0
Nemanja Matić,rs SRB,Manchester Utd,0.32339181286549706,0,0,2
Neal Maupay,fr FRA,Brighton,0.7345029239766082,8,2,2
James McArthur,sct SCO,Crystal Palace,0.4286549707602339,0,2,3
Oliver McBurnie,sct SCO,Sheffield Utd,0.3871345029239766,1,0,2
Alex McCarthy,eng ENG,Southampton,0.7894736842105263,0,0,2
James McCarthy,ie IRL,Crystal Palace,0.24005847953216375,0,0,1
James Milner,eng ENG,Liverpool,0.3128654970760234,0,1,3
Tyrone Mings,eng ENG,Aston Villa,0.9339181286549708,2,2,7
Aleksandar Mitrović,rs SRB,Fulham,0.4099415204678363,3,3,3
Lys Mousset,fr FRA,Sheffield Utd,0.08654970760233918,0,0,0
