player_name,nation,squad,minutes_played,goals,assists,cards
Darren Anderton,eng ENG,Tottenham,653,0,1,0.0
Tore André Flo,no NOR,Chelsea,1719,11,2,0.0
Nicolas Anelka,fr FRA,Arsenal,1490,6,6,2.0
Chris Armstrong,eng ENG,Tottenham,1284,5,0,2.0
Peter Atherton,eng ENG,Sheffield Weds,2334,3,1,8.0
Phil Babb,ie IRL,Liverpool,1626,0,0,4.0
Nick Barmby,eng ENG,Everton,2325,2,7,7.0
Gareth Barry,eng ENG,Aston Villa,132,0,0,0.0
Warren Barton,eng ENG,Newcastle Utd,1659,3,0,8.0
David Batty,eng ENG,Newcastle Utd,2728,1,0,15.0
Peter Beardsley,eng ENG,Bolton,1197,2,0,1.0
James Beattie,eng ENG,Blackburn,41,0,0,0.0
Marcus Bent,eng ENG,Crystal Palace,931,5,1,2.0
Henning Berg,no NOR,Manchester Utd,2233,1,0,3.0
Eyal Berkovic,il ISR,West Ham,2810,7,9,2.0
Nathan Blake,wls WAL,Bolton,3085,12,5,7.0
Luís Boa Morte,pt POR,Arsenal,430,0,0,2.0
George Boateng,nl NED,Coventry City,1140,1,0,6.0
Lars Bohinen,no NOR,Derby County,709,1,0,1.0
Lars Bohinen,no NOR,Blackburn,712,1,3,0.0
Andy Booth,eng ENG,Sheffield Weds,1809,7,2,2.0
Steve Bould,eng ENG,Arsenal,1973,0,2,10.0
Lee Bowyer,eng ENG,Leeds United,1862,3,5,5.0
Garry Brady,sct SCO,Tottenham,145,0,0,0.0
Gary Breen,ie IRL,Coventry City,2646,1,1,2.0
Wes Brown,eng ENG,Manchester Utd,121,0,0,0.0
David Burrows,eng ENG,Coventry City,2880,0,2,7.0
Deon Burton,jm JAM,Derby County,1254,3,4,0.0
Nicky Butt,eng ENG,Manchester Utd,2710,3,3,7.0
Colin Calderwood,sct SCO,Tottenham,1980,4,0,3.0
Franz Carr,eng ENG,Bolton,131,0,0,0.0
Stephen Carr,ie IRL,Tottenham,3274,0,0,3.0
Lee Carsley,ie IRL,Derby County,3060,1,0,10.0
Simon Charlton,eng ENG,Southampton,119,0,0,0.0
Laurent Charvet,fr FRA,Chelsea,715,2,0,3.0
Matt Clarke,eng ENG,Sheffield Weds,244,0,0,0.0
Stephen Clemence,eng ENG,Tottenham,1211,0,1,1.0
Nigel Clough,eng ENG,Sheffield Weds,45,0,0,0.0
Andy Cole,eng ENG,Manchester Utd,2751,15,7,5.0
Stan Collymore,eng ENG,Aston Villa,2098,6,4,4.0
Carl Cort,gy GUY,Wimbledon,1484,4,3,0.0
Neil Cox,eng ENG,Bolton,1776,1,0,3.0
Christian Dailly,sct SCO,Derby County,2700,1,1,7.0
Callum Davidson,sct SCO,Blackburn,57,0,0,0.0
Kevin Davies,eng ENG,Southampton,1738,9,2,4.0
Paolo Di Canio,it ITA,Sheffield Weds,2960,12,6,10.0
Iain Dowie,nir NIR,West Ham,663,0,1,2.0
Mark Draper,eng ENG,Aston Villa,2730,3,4,4.0
Michael Duberry,eng ENG,Chelsea,2070,0,2,2.0
Dion Dublin,eng ENG,Coventry City,3191,18,10,5.0
Damien Duff,ie IRL,Blackburn,1682,4,2,0.0
Richard Dunne,ie IRL,Everton,188,0,0,0.0
Marc Edworthy,eng ENG,Crystal Palace,2938,0,1,8.0
