player_name,nation,squad,minutes_played,goals,assists,cards
Patrick van Aanholt,nl NED,Sunderland,0.868421052631579,4,3,2
Charlie Adam,sct SCO,Stoke City,0.30526315789473685,1,1,7
Emmanuel Adebayor,tg TOG,Crystal Palace,0.18099415204678362,1,1,1
Benik Afobe,cd COD,Bournemouth,0.2719298245614035,4,0,0
Nathan Aké,nl NED,Watford,0.5482456140350878,1,0,5
Joe Allen,wls WAL,Liverpool,0.2149122807017544,2,1,0
Victor Anichebe,ng NGA,West Brom,0.10789473684210527,0,0,0
Michail Antonio,jm JAM,West Ham,0.6014619883040936,8,3,3
Mikel Arteta,es ESP,Arsenal,0.04941520467836257,0,0,1
André Ayew,gh GHA,Swansea City,0.8552631578947368,12,2,5
Jordan Ayew,gh GHA,Aston Villa,0.6868421052631579,7,0,7
Leandro Bacuna,cw CUW,Aston Villa,0.7067251461988304,1,0,7
Patrick Bamford,eng ENG,Norwich City,0.0695906432748538,0,0,0
Patrick Bamford,eng ENG,Crystal Palace,0.03625730994152047,0,0,0
Phil Bardsley,sct SCO,Stoke City,0.2388888888888889,0,1,1
Ross Barkley,eng ENG,Everton,0.8991228070175439,8,8,4
Gareth Barry,eng ENG,Everton,0.82953216374269,0,1,7
Sébastien Bassong,cm CMR,Norwich City,0.8157894736842105,1,0,4
Christian Benteke,be BEL,Liverpool,0.44707602339181285,9,3,2
Saido Berahino,bi BDI,West Brom,0.5105263157894737,4,0,0
Wilfried Bony,ci CIV,Manchester City,0.3584795321637427,4,3,1
Fabio Borini,it ITA,Sunderland,0.5529239766081872,5,2,6
Robbie Brady,ie IRL,Norwich City,0.8725146198830409,3,2,3
Wes Brown,eng ENG,Sunderland,0.15789473684210525,0,0,1
Mark Bunn,eng ENG,Aston Villa,0.2631578947368421,0,0,2
Jack Butland,eng ENG,Stoke City,0.8157894736842105,0,0,0
Sam Byram,eng ENG,West Ham,0.08421052631578947,0,0,3
Gary Cahill,eng ENG,Chelsea,0.5722222222222222,2,1,2
Fraizer Campbell,eng ENG,Crystal Palace,0.10584795321637427,0,0,1
Étienne Capoue,fr FRA,Watford,0.8228070175438597,0,1,7
Michael Carrick,eng ENG,Manchester Utd,0.5766081871345029,0,0,4
Andy Carroll,eng ENG,West Ham,0.42105263157894735,9,2,2
Tom Carroll,eng ENG,Tottenham,0.15058479532163743,1,0,3
Lee Cattermole,eng ENG,Sunderland,0.6461988304093568,0,0,8
Steven Caulker,sl SLE,Southampton,0.04269005847953217,0,0,0
Steven Caulker,sl SLE,Liverpool,0.0014619883040935672,0,0,0
Nacer Chadli,be BEL,Tottenham,0.27690058479532165,3,2,1
Marouane Chamakh,ma MAR,Crystal Palace,0.07514619883040936,0,0,1
Calum Chambers,eng ENG,Arsenal,0.09415204678362574,0,0,2
James Chester,wls WAL,West Brom,0.2818713450292398,0,0,4
Tom Cleverley,eng ENG,Everton,0.47134502923976607,2,4,1
Gaël Clichy,fr FRA,Manchester City,0.31783625730994153,0,1,0
Nathaniel Clyne,eng ENG,Liverpool,0.868421052631579,1,0,6
Sebastián Coates,uy URU,Sunderland,0.3593567251461988,0,3,4
James Collins,wls WAL,West Ham,0.4213450292397661,0,0,4
Jack Cork,eng ENG,Swansea City,0.7444444444444445,1,2,3
Aaron Cresswell,eng ENG,West Ham,0.9690058479532164,2,4,1
Peter Crouch,eng ENG,Stoke City,0.13538011695906432,0,1,0
Scott Dann,eng ENG,Crystal Palace,0.9210526315789473,5,1,7
Karl Darlow,eng ENG,Newcastle Utd,0.23684210526315788,0,0,0
Ben Davies,wls WAL,Tottenham,0.3774853801169591,0,2,3
Kelvin Davis,eng ENG,Southampton,0.02631578947368421,0,0,0
Steven Davis,nir NIR,Southampton,0.7608187134502924,5,3,4
Craig Dawson,eng ENG,West Brom,0.9894736842105263,4,0,3
Ritchie De Laet,be BEL,Leicester City,0.19210526315789472,1,0,1
Mathieu Debuchy,fr FRA,Arsenal,0.04152046783625731,0,0,0
Jermain Defoe,eng ENG,Sunderland,0.7456140350877193,15,1,3
Fabian Delph,eng ENG,Manchester City,0.22017543859649122,2,0,0
Mousa Dembélé,be BEL,Tottenham,0.6622807017543859,3,1,3
Graham Dorrans,sct SCO,Norwich City,0.3763157894736842,0,1,2
Danny Drinkwater,eng ENG,Leicester City,0.8868421052631579,3,7,5
Rob Elliot,ie IRL,Newcastle Utd,0.5526315789473685,0,0,1
Marvin Emnes,nl NED,Swansea City,0.01929824561403509,0,0,0
Jonny Evans,nir NIR,West Brom,0.7573099415204678,1,1,4
Marouane Fellaini,be BEL,Manchester Utd,0.312280701754386,1,0,2
Leroy Fer,nl NED,Swansea City,0.22105263157894736,0,2,2
Federico Fernández,ar ARG,Swansea City,0.8421052631578947,1,1,3
Steven Fletcher,sct SCO,Sunderland,0.2953216374269006,4,0,0
José Fonte,pt POR,Southampton,0.9257309941520467,2,1,5
Ben Foster,eng ENG,West Brom,0.39473684210526316,0,0,1
Craig Gardner,eng ENG,West Brom,0.595906432748538,3,3,5
Rudy Gestede,bj BEN,Aston Villa,0.48801169590643273,5,2,2
Kieran Gibbs,eng ENG,Arsenal,0.11432748538011696,1,0,0
Darron Gibson,ie IRL,Everton,0.07076023391812865,0,1,3
Olivier Giroud,fr FRA,Arsenal,0.710233918128655,16,6,2
Shay Given,ie IRL,Stoke City,0.06578947368421052,0,0,1
Joe Gomez,eng ENG,Liverpool,0.12777777777777777,0,1,3
Lewis Grabban,eng ENG,Norwich City,0.07309941520467836,1,0,0
Lewis Grabban,eng ENG,Bournemouth,0.16871345029239765,0,0,2
Danny Graham,eng ENG,Sunderland,0.10526315789473684,0,0,0
Demarai Gray,jm JAM,Leicester City,0.054678362573099416,0,1,0
Jack Grealish,eng ENG,Aston Villa,0.2435672514619883,1,0,1
Joe Hart,eng ENG,Manchester City,0.9090643274853801,0,0,0
