player_name,nation,squad,minutes_played,goals,assists,cards
John Hartson,wls WAL,Wimbledon,1001,2,1,2.0
John Hartson,wls WAL,West Ham,1444,4,2,3.0
Stéphane Henchoz,ch SUI,Blackburn,2885,0,0,6.0
Emile Heskey,eng ENG,Leicester City,2589,6,3,3.0
Scott Hiley,eng ENG,Southampton,2371,0,0,2.0
Andy Hinchcliffe,eng ENG,Sheffield Weds,2797,3,4,5.0
Shaka Hislop,tt TRI,West Ham,3300,0,0,1.0
David Hopkin,sct SCO,Leeds United,2834,4,4,6.0
Darren Huckerby,eng ENG,Coventry City,2736,9,4,7.0
Aaron Hughes,nir NIR,Newcastle Utd,1105,0,1,1.0
Ceri Hughes,wls WAL,Wimbledon,808,1,1,5.0
Mark Hughes,wls WAL,Southampton,2777,1,1,14.0
Michael Hughes,nir NIR,Wimbledon,2393,2,6,7.0
Jonathan Hunt,eng ENG,Derby County,71,1,0,0.0
Don Hutchison,sct SCO,Everton,2553,3,7,10.0
Andy Impey,eng ENG,West Ham,572,0,0,2.0
Andy Impey,eng ENG,Leicester City,1498,0,1,0.0
Paul Ince,eng ENG,Liverpool,2999,6,4,9.0
Muzzy Izzet,tr TUR,Leicester City,2686,5,2,2.0
David James,eng ENG,Liverpool,2340,0,0,1.0
Matt Jansen,eng ENG,Blackburn,674,3,1,0.0
Francis Jeffers,eng ENG,Everton,968,7,5,0.0
Julian Joachim,eng ENG,Aston Villa,2689,14,4,1.0
Andy Johnson,wls WAL,Nott'ham Forest,2229,0,2,7.0
Paul Jones,wls WAL,Southampton,2764,0,0,2.0
Steve Jones,eng ENG,Charlton Ath,1007,1,2,4.0
Duncan Jupp,sct SCO,Wimbledon,279,0,0,2.0
Roy Keane,ie IRL,Manchester Utd,2876,2,0,8.0
Jeff Kenna,ie IRL,Blackburn,2004,0,1,1.0
Mark Kennedy,ie IRL,Wimbledon,670,0,1,0.0
Martin Keown,eng ENG,Arsenal,2965,1,1,9.0
Harry Kewell,au AUS,Leeds United,3200,6,9,3.0
Mark Kinsella,ie IRL,Charlton Ath,3239,3,2,4.0
Paul Kitson,eng ENG,West Ham,1199,3,2,2.0
Paul Konchesky,eng ENG,Charlton Ath,117,0,0,0.0
Frank Lampard,eng ENG,West Ham,3420,5,3,3.0
Graeme Le Saux,eng ENG,Chelsea,2532,0,2,5.0
Carl Leaburn,eng ENG,Wimbledon,1250,0,2,2.0
Rob Lee,eng ENG,Newcastle Utd,1973,0,2,6.0
Freddie Ljungberg,se SWE,Arsenal,888,1,0,4.0
Steve Lomas,nir NIR,West Ham,2673,1,2,4.0
Jim Magilton,nir NIR,Sheffield Weds,141,0,0,0.0
Ian Marshall,eng ENG,Leicester City,635,3,0,0.0
Nigel Martyn,eng ENG,Leeds United,3015,0,0,0.0
Dominic Matteo,sct SCO,Liverpool,1565,1,2,3.0
David May,eng ENG,Manchester Utd,421,0,0,1.0
Gary McAllister,sct SCO,Coventry City,2571,3,2,5.0
Jason McAteer,ie IRL,Liverpool,719,0,1,3.0
Jason McAteer,ie IRL,Blackburn,1170,1,1,4.0
Paul Merson,eng ENG,Middlesbrough,270,0,2,0.0
