player_name,nation,squad,minutes_played,goals,assists,cards
Darren Anderton,eng ENG,Tottenham,549,2,1,0
Chris Armstrong,eng ENG,Tottenham,3240,15,6,4
Peter Atherton,eng ENG,Sheffield Weds,3240,0,2,6
Phil Babb,ie IRL,Liverpool,2502,0,0,2
Nick Barmby,eng ENG,Middlesbrough,2880,7,7,4
Chris Bart-Williams,eng ENG,Nott'ham Forest,2970,0,2,2
Warren Barton,eng ENG,Newcastle Utd,2610,0,4,4
David Batty,eng ENG,Newcastle Utd,990,1,2,2
David Batty,eng ENG,Blackburn,2025,1,1,5
Peter Beardsley,eng ENG,Newcastle Utd,2784,8,9,6
Paul Beesley,eng ENG,Leeds United,726,0,0,2
Henning Berg,no NOR,Blackburn,3381,0,1,5
Nathan Blake,wls WAL,Bolton,1206,1,0,4
Lars Bohinen,no NOR,Blackburn,1532,4,1,3
Lars Bohinen,no NOR,Nott'ham Forest,593,0,0,1
Steve Bould,eng ENG,Arsenal,1677,0,2,8
Mark Bright,eng ENG,Sheffield Weds,1467,7,2,2
Michael Brown,eng ENG,Manchester City,1474,0,0,6
David Burrows,eng ENG,Coventry City,943,0,0,3
Nicky Butt,eng ENG,Manchester Utd,2649,2,3,10
Colin Calderwood,sct SCO,Tottenham,2275,0,0,6
Kevin Campbell,eng ENG,Nott'ham Forest,1749,3,4,2
Eric Cantona,fr FRA,Manchester Utd,2682,14,10,1
Franz Carr,eng ENG,Aston Villa,90,0,0,1
Lee Chapman,eng ENG,Leeds United,151,0,1,1
Simon Charlton,eng ENG,Southampton,2090,0,0,4
Lee Clark,eng ENG,Newcastle Utd,2081,2,1,1
Nigel Clough,eng ENG,Liverpool,116,0,0,1
Nigel Clough,eng ENG,Manchester City,1327,2,3,2
Andy Cole,eng ENG,Manchester Utd,2731,11,6,4
Chris Coleman,wls WAL,Blackburn,1746,0,0,2
Simon Coleman,eng ENG,Bolton,1075,1,1,2
Stan Collymore,eng ENG,Liverpool,2567,14,11,2
Colin Cooper,eng ENG,Nott'ham Forest,3270,5,1,7
Neil Cox,eng ENG,Middlesbrough,3150,2,1,7
Gerry Creaney,sct SCO,Manchester City,748,3,0,2
Mark Crossley,wls WAL,Nott'ham Forest,3420,0,0,0
Jason Cundy,eng ENG,Tottenham,71,0,0,1
Liam Daish,ie IRL,Coventry City,990,1,0,3
Brian Deane,eng ENG,Leeds United,2790,7,4,4
Paul Dickov,sct SCO,Arsenal,246,1,2,0
Julian Dicks,eng ENG,West Ham,3024,10,3,6
Iain Dowie,nir NIR,West Ham,2967,8,0,6
Jason Dozzell,eng ENG,Tottenham,2196,3,0,9
Mark Draper,eng ENG,Aston Villa,3143,2,6,1
Michael Duberry,eng ENG,Chelsea,1895,0,0,3
Dion Dublin,eng ENG,Coventry City,2988,14,3,2
Ilie Dumitrescu,ro ROU,Tottenham,439,0,0,0
Ilie Dumitrescu,ro ROU,West Ham,178,0,0,0
Ugo Ehiogu,eng ENG,Aston Villa,3240,1,0,7
Efan Ekoku,ng NGA,Wimbledon,2345,7,3,5
Robbie Elliott,eng ENG,Newcastle Utd,516,0,0,2
Jason Euell,jm JAM,Wimbledon,465,2,0,1
Graham Fenton,eng ENG,Aston Villa,52,0,0,0
Graham Fenton,eng ENG,Blackburn,596,6,2,2
Les Ferdinand,eng ENG,Newcastle Utd,3323,25,6,4
Rio Ferdinand,eng ENG,West Ham,21,0,0,0
Duncan Ferguson,sct SCO,Everton,1462,5,2,4
John Filan,au AUS,Coventry City,1170,0,0,0
Garry Flitcroft,eng ENG,Manchester City,2103,0,0,9
Garry Flitcroft,eng ENG,Blackburn,183,0,0,2
Tim Flowers,eng ENG,Blackburn,3313,0,0,4
Robbie Fowler,eng ENG,Liverpool,3274,28,5,3
Ruel Fox,ms MSR,Tottenham,2307,6,6,1
Ruel Fox,ms MSR,Newcastle Utd,196,0,0,0
Paul Furlong,eng ENG,Chelsea,1435,3,3,3
Kevin Gallacher,sct SCO,Blackburn,1217,2,1,1
Marcus Gayle,jm JAM,Wimbledon,1997,5,4,0
Keith Gillespie,nir NIR,Newcastle Utd,2123,4,6,3
David Ginola,fr FRA,Newcastle Utd,2930,5,8,6
Dale Gordon,eng ENG,West Ham,3,0,0,0
Andy Gray,sct SCO,Leeds United,1093,0,1,0
Richard Hall,eng ENG,Southampton,2655,1,0,5
Mick Harford,eng ENG,Wimbledon,1305,2,1,7
John Hartson,wls WAL,Arsenal,1360,4,2,3
Mark Hateley,eng ENG,QPR,901,2,3,1
Colin Hendry,sct SCO,Blackburn,2930,1,0,9
Scott Hiley,eng ENG,Manchester City,293,0,2,0
Andy Hinchcliffe,eng ENG,Everton,2191,2,3,4
Shaka Hislop,tt TRI,Newcastle Utd,2109,0,1,0
Dean Holdsworth,eng ENG,Wimbledon,2691,10,2,8
Matty Holmes,eng ENG,Blackburn,670,1,0,0
Darren Huckerby,eng ENG,Newcastle Utd,45,0,0,0
Mark Hughes,wls WAL,Chelsea,2699,8,5,13
Michael Hughes,nir NIR,West Ham,2377,0,6,2
Don Hutchison,sct SCO,West Ham,720,2,0,3
Andy Impey,eng ENG,QPR,2479,3,1,2
Richard Irving,,Nott'ham Forest,4,0,0,0
David James,eng ENG,Liverpool,3420,0,1,1
Julian Joachim,eng ENG,Aston Villa,500,1,0,0
Richard Jobson,eng ENG,Leeds United,1080,1,0,1
Tommy Johnson,eng ENG,Aston Villa,1699,5,2,5
Vinnie Jones,wls WAL,Wimbledon,2435,3,6,10
Roy Keane,ie IRL,Manchester Utd,2496,6,0,10
Jeff Kenna,ie IRL,Blackburn,2859,0,3,2
Mark Kennedy,ie IRL,Liverpool,183,0,0,0
Martin Keown,eng ENG,Arsenal,2981,0,0,8
Alan Kernaghan,ie IRL,Manchester City,399,0,0,0
David Kerslake,eng ENG,Tottenham,170,0,0,0
Harry Kewell,au AUS,Leeds United,168,0,0,0
Paul Kitson,eng ENG,Newcastle Utd,223,2,1,1
Frank Lampard,eng ENG,West Ham,30,0,0,0
Graeme Le Saux,eng ENG,Blackburn,1105,1,1,3
Rob Lee,eng ENG,Newcastle Utd,3202,8,4,3
Steve Lomas,nir NIR,Manchester City,2817,3,6,9
Jim Magilton,nir NIR,Southampton,2748,3,0,2
Lee Makel,eng ENG,Blackburn,113,0,0,0
Dominic Matteo,sct SCO,Liverpool,421,0,0,0
David May,eng ENG,Manchester Utd,1175,1,0,1
Gary McAllister,sct SCO,Leeds United,3240,5,4,1
Jason McAteer,ie IRL,Bolton,360,0,0,1
Jason McAteer,ie IRL,Liverpool,2445,0,3,4
Eddie McGoldrick,ie IRL,Arsenal,14,0,0,0
Paul McGrath,ie IRL,Aston Villa,2540,2,0,3
Paul Merson,eng ENG,Arsenal,3379,5,5,2
Scott Minto,eng ENG,Chelsea,811,0,2,1
Jon Newsome,eng ENG,Sheffield Weds,720,1,0,1
Simon Osborn,eng ENG,QPR,559,1,1,0
Gary Pallister,eng ENG,Manchester Utd,1858,1,1,3
Carlton Palmer,eng ENG,Leeds United,3144,2,1,8
Darren Peacock,eng ENG,Newcastle Utd,2979,0,1,3
Gavin Peacock,eng ENG,Chelsea,1674,5,4,1
Andy Pearce,eng ENG,Wimbledon,457,0,0,1
Andy Pearce,eng ENG,Sheffield Weds,270,0,0,1
Ian Pearce,eng ENG,Blackburn,1052,1,0,1
John Pemberton,eng ENG,Leeds United,1310,0,1,9
Mark Pembridge,wls WAL,Sheffield Weds,2050,2,3,0
Chris Perry,eng ENG,Wimbledon,3173,0,0,8
Nigel Quashie,sct SCO,QPR,913,0,1,1
Niall Quinn,ie IRL,Manchester City,2215,8,5,4
David Rennie,sct SCO,Coventry City,768,2,1,3
Kevin Richardson,eng ENG,Coventry City,2952,0,6,7
Stuart Ripley,eng ENG,Blackburn,2224,0,9,1
David Rocastle,eng ENG,Chelsea,90,0,0,0
Ronny Rosenthal,il ISR,Tottenham,2368,1,2,2
Keith Rowland,nir NIR,West Ham,1702,0,2,4
Neil Ruddock,eng ENG,Liverpool,1681,5,0,7
John Scales,eng ENG,Liverpool,2404,0,0,3
Riccardo Scimeca,eng ENG,Aston Villa,765,0,0,1
Kevin Scott,eng ENG,Tottenham,78,0,1,0
Scott Sellars,eng ENG,Bolton,1958,3,4,2
Scott Sellars,eng ENG,Newcastle Utd,316,0,1,0
Lee Sharpe,eng ENG,Manchester Utd,2066,4,2,3
Richard Shaw,eng ENG,Coventry City,1880,0,0,5
Alan Shearer,eng ENG,Blackburn,3150,31,7,4
Teddy Sheringham,eng ENG,Tottenham,3416,16,8,2
Tim Sherwood,eng ENG,Blackburn,2930,3,3,9
Neil Shipperley,eng ENG,Southampton,3276,8,0,1
Frank Sinclair,jm JAM,Chelsea,1115,1,0,7
Trevor Sinclair,eng ENG,QPR,3274,2,5,4
Andy Sinton,eng ENG,Tottenham,701,0,1,1
Andy Sinton,eng ENG,Sheffield Weds,682,0,0,1
Gareth Southgate,eng ENG,Aston Villa,2755,1,0,2
Nigel Spackman,eng ENG,Chelsea,1164,0,0,0
Gary Speed,wls WAL,Leeds United,2572,2,1,2
Mark Stein,eng ENG,Chelsea,584,0,0,1
Steve Stone,eng ENG,Nott'ham Forest,3041,7,5,3
Graham Stuart,eng ENG,Everton,2488,9,3,3
Nicky Summerbee,eng ENG,Manchester City,2997,1,2,5
Chris Sutton,eng ENG,Blackburn,819,0,1,3
Kit Symons,wls WAL,Manchester City,3420,2,0,3
Gerry Taggart,nir NIR,Bolton,953,1,0,6
Ian Taylor,eng ENG,Aston Villa,2141,3,2,5
Paul Telfer,sct SCO,Coventry City,2657,1,3,5
Alan Thompson,eng ENG,Bolton,2087,1,3,8
Carl Tiler,eng ENG,Aston Villa,74,0,0,0
Andy Todd,eng ENG,Bolton,730,2,0,2
Andy Townsend,ie IRL,Aston Villa,2836,2,6,10
David Unsworth,eng ENG,Everton,2578,2,3,5
Chris Waddle,eng ENG,Sheffield Weds,2199,2,6,1
Ian Walker,eng ENG,Tottenham,3420,0,1,1
Paul Walsh,eng ENG,Manchester City,244,0,0,1
Gavin Ward,eng ENG,Bolton,450,0,0,0
Paul Warhurst,eng ENG,Blackburn,346,0,1,0
Steve Watson,eng ENG,Newcastle Utd,1520,3,1,0
David Wetherall,eng ENG,Leeds United,3060,3,2,5
Noel Whelan,eng ENG,Leeds United,288,0,1,0
Noel Whelan,eng ENG,Coventry City,1841,8,2,3
Guy Whittingham,eng ENG,Sheffield Weds,2413,6,5,4
Jason Wilcox,eng ENG,Blackburn,837,3,3,0
Paul Williams,eng ENG,Coventry City,2751,3,0,9
Dennis Wise,eng ENG,Chelsea,2994,7,4,10
Nigel Worthington,nir NIR,Leeds United,1187,0,0,5
Alan Wright,eng ENG,Aston Villa,3420,2,1,2
Ian Wright,eng ENG,Arsenal,2734,15,2,8
Dwight Yorke,tt TRI,Aston Villa,3014,17,10,1
