player_name,nation,squad,minutes_played,goals,assists,cards
Patrick van Aanholt,nl NED,Crystal Palace,3195,3,2,3
Nathan Aké,nl NED,Bournemouth,3411,4,0,3
Michail Antonio,jm JAM,West Ham,2103,6,4,3
Kepa Arrizabalaga,es ESP,Chelsea,3240,0,0,2
Christian Atsu,gh GHA,Newcastle Utd,1493,1,0,2
Jordan Ayew,gh GHA,Crystal Palace,1181,1,2,3
Leandro Bacuna,cw CUW,Cardiff City,561,0,0,2
Phil Bardsley,sct SCO,Burnley,1670,0,0,9
Ross Barkley,eng ENG,Chelsea,1245,3,5,1
Michy Batshuayi,be BEL,Crystal Palace,750,5,0,0
Joe Bennett,eng ENG,Cardiff City,2639,0,1,5
Christian Benteke,be BEL,Crystal Palace,814,1,1,1
Philip Billing,dk DEN,Huddersfield,2188,2,0,7
Yves Bissouma,ml MLI,Brighton,1774,0,0,5
Willy Boly,ci CIV,Wolves,3167,4,0,3
Robbie Brady,ie IRL,Burnley,720,0,1,4
David Brooks,wls WAL,Bournemouth,2261,7,5,3
David Button,eng ENG,Brighton,360,0,0,0
Gary Cahill,eng ENG,Chelsea,24,0,0,0
Étienne Capoue,fr FRA,Watford,2944,1,3,15
Andy Carroll,eng ENG,West Ham,461,0,0,2
Nathaniel Chalobah,eng ENG,Watford,270,0,0,2
Calum Chambers,eng ENG,Fulham,2588,2,0,9
Ben Chilwell,eng ENG,Leicester City,3240,0,4,4
Tom Cleverley,eng ENG,Watford,478,1,0,2
Nathaniel Clyne,eng ENG,Bournemouth,1143,0,1,2
Nathaniel Clyne,eng ENG,Liverpool,111,0,0,0
Lewis Cook,eng ENG,Bournemouth,723,0,0,2
Jack Cork,eng ENG,Burnley,3312,1,2,6
Hélder Costa,ao ANG,Wolves,1341,1,2,3
Aaron Cresswell,eng ENG,West Ham,1589,0,1,1
Peter Crouch,eng ENG,Burnley,92,0,0,1
Scott Dann,eng ENG,Crystal Palace,663,0,1,1
Ben Davies,wls WAL,Tottenham,1844,0,0,2
Steven Davis,nir NIR,Southampton,98,0,1,0
Jermain Defoe,eng ENG,Bournemouth,25,0,0,0
Fabian Delph,eng ENG,Manchester City,725,0,1,2
Mousa Dembélé,be BEL,Tottenham,515,0,0,1
Leander Dendoncker,be BEL,Wolves,1467,2,0,1
Mohamed Diamé,sn SEN,Newcastle Utd,2166,0,0,3
Grady Diangana,cd COD,West Ham,609,0,1,0
Lucas Digne,fr FRA,Everton,2965,4,4,6
Issa Diop,fr FRA,West Ham,2970,1,0,4
Matt Doherty,ie IRL,Wolves,3144,4,5,5
Martin Dúbravka,sk SVK,Newcastle Utd,3420,0,0,1
Jonny Evans,nir NIR,Leicester City,1996,1,0,2
Marouane Fellaini,be BEL,Manchester Utd,752,0,1,1
Federico Fernández,ar ARG,Newcastle Utd,1484,0,1,2
Ben Foster,eng ENG,Watford,3420,0,0,1
Morgan Gibbs-White,eng ENG,Wolves,663,0,1,1
Ben Gibson,eng ENG,Burnley,62,1,0,1
Olivier Giroud,fr FRA,Chelsea,847,2,4,1
Joe Gomez,eng ENG,Liverpool,1063,0,0,2
Karlan Grant,eng ENG,Huddersfield,877,4,0,0
Andre Gray,jm JAM,Watford,1366,7,2,2
Demarai Gray,jm JAM,Leicester City,1985,4,1,2
Angus Gunn,sct SCO,Southampton,1080,0,0,0
Joe Hart,eng ENG,Burnley,1710,0,0,0
Tom Heaton,eng ENG,Burnley,1710,0,0,3
Jordan Henderson,eng ENG,Liverpool,1987,1,3,3
Jeff Hendrick,ie IRL,Burnley,2063,3,0,4
Wayne Hennessey,wls WAL,Crystal Palace,1576,0,0,0
Ander Herrera,es ESP,Manchester Utd,1403,2,3,4
Junior Hoilett,ca CAN,Cardiff City,2141,3,1,4
Rob Holding,eng ENG,Arsenal,807,0,0,1
Will Hughes,eng ENG,Watford,2418,2,4,5
Jordon Ibe,eng ENG,Bournemouth,797,1,1,1
Kelechi Iheanacho,ng NGA,Leicester City,941,1,3,2
Danny Ings,eng ENG,Southampton,1651,7,3,1
Daryl Janmaat,nl NED,Watford,1520,0,2,3
Carl Jenkinson,eng ENG,Arsenal,166,0,0,0
Gabriel Jesus,br BRA,Manchester City,1036,7,3,1
Phil Jones,eng ENG,Manchester Utd,1263,0,1,1
Jorginho,it ITA,Chelsea,3156,2,0,8
Joselu,es ESP,Newcastle Utd,596,2,0,1
Diogo Jota,pt POR,Wolves,2355,9,5,11
N'Golo Kanté,fr FRA,Chelsea,3092,4,4,3
Martin Kelly,eng ENG,Crystal Palace,1111,0,0,2
Anthony Knockaert,fr FRA,Brighton,1837,2,6,5
Terence Kongolo,nl NED,Huddersfield,2716,1,1,4
Cheikhou Kouyaté,sn SEN,Crystal Palace,1899,0,2,3
Adam Lallana,eng ENG,Liverpool,468,0,0,1
Aymeric Laporte,es ESP,Manchester City,3057,3,3,3
Jamaal Lascelles,eng ENG,Newcastle Utd,2745,0,1,4
Mario Lemina,ga GAB,Southampton,1613,1,1,5
Aaron Lennon,eng ENG,Burnley,1215,1,1,1
Bernd Leno,de GER,Arsenal,2836,0,0,0
Jesse Lingard,eng ENG,Manchester Utd,1663,4,2,3
Fernando Llorente,es ESP,Tottenham,694,1,4,2
Shane Long,ie IRL,Southampton,1272,5,1,3
Dejan Lovren,hr CRO,Liverpool,986,1,0,1
Matthew Lowton,eng ENG,Burnley,1750,0,0,7
David Luiz,br BRA,Chelsea,3238,3,2,3
Romelu Lukaku,be BEL,Manchester Utd,2136,12,0,4
James Maddison,eng ENG,Leicester City,2831,7,7,5
Harry Maguire,eng ENG,Leicester City,2596,3,0,7
Riyad Mahrez,dz ALG,Manchester City,1343,7,4,0
Sadio Mané,sn SEN,Liverpool,3077,22,1,2
Adrian Mariappa,jm JAM,Watford,1927,0,0,3
Juan Mata,es ESP,Manchester Utd,1289,3,2,3
Nemanja Matić,rs SRB,Manchester Utd,2436,1,0,8
Alfie Mawson,eng ENG,Fulham,1131,0,0,2
James McArthur,sct SCO,Crystal Palace,3058,3,6,7
Alex McCarthy,eng ENG,Southampton,2250,0,0,1
