player_name,nation,squad,minutes_played,goals,assists,cards
Emmanuel Adebayor,tg TOG,Arsenal,2926,24,4,3
Yakubu Aiyegbeni,ng NGA,Middlesbrough,154,0,0,0
Yakubu Aiyegbeni,ng NGA,Everton,2149,15,2,2
Jérémie Aliadière,fr FRA,Middlesbrough,2152,5,6,4
Nicolas Anelka,fr FRA,Bolton,1608,10,1,1
Nicolas Anelka,fr FRA,Chelsea,964,1,3,0
Victor Anichebe,ng NGA,Everton,1081,1,1,1
Julio Arca,ar ARG,Middlesbrough,1862,2,4,6
Mikel Arteta,es ESP,Everton,2447,1,5,3
Dean Ashton,eng ENG,West Ham,2000,10,0,0
Chris Baird,nir NIR,Fulham,1463,0,0,3
Gareth Bale,wls WAL,Tottenham,610,2,0,1
Phil Bardsley,sct SCO,Sunderland,990,0,0,3
Gareth Barry,eng ENG,Aston Villa,3319,9,10,5
Joey Barton,eng ENG,Newcastle Utd,1831,1,3,4
Craig Bellamy,wls WAL,West Ham,526,2,1,2
Tal Ben Haim,il ISR,Chelsea,1018,0,0,2
Yossi Benayoun,il ISR,Liverpool,1581,4,2,0
Nicklas Bendtner,dk DEN,Arsenal,947,5,3,3
Benjani,zw ZIM,Portsmouth,1833,12,1,1
Benjani,zw ZIM,Manchester City,1063,3,0,0
Darren Bent,eng ENG,Tottenham,1149,6,3,0
Marcus Bent,eng ENG,Wigan Athletic,2330,7,2,1
David Bentley,eng ENG,Blackburn,3320,6,8,8
Dimitar Berbatov,bg BUL,Tottenham,2988,15,9,3
André Bikey,cm CMR,Reading,1370,3,0,7
Luís Boa Morte,pt POR,West Ham,1494,0,2,5
George Boateng,nl NED,Middlesbrough,2607,1,3,9
Kevin-Prince Boateng,gh GHA,Tottenham,592,0,0,2
Hameur Bouazza,dz ALG,Fulham,1188,1,1,3
Papa Bouba Diop,sn SEN,Portsmouth,2153,0,3,6
Papa Bouba Diop,sn SEN,Fulham,20,0,0,1
Lee Bowyer,eng ENG,West Ham,1008,4,2,8
Emmerson Boyce,bb BRB,Wigan Athletic,2203,0,0,1
Titus Bramble,eng ENG,Wigan Athletic,2340,2,1,5
Wayne Bridge,eng ENG,Chelsea,818,0,1,0
Michael Brown,eng ENG,Wigan Athletic,2473,0,0,11
Wes Brown,eng ENG,Manchester Utd,3030,1,2,8
Jimmy Bullard,eng ENG,Fulham,1386,2,3,0
Nicky Butt,eng ENG,Newcastle Utd,2998,3,1,13
Gary Cahill,eng ENG,Bolton,1148,0,0,0
Gary Cahill,eng ENG,Aston Villa,45,0,0,0
Henri Camara,sn SEN,West Ham,340,0,1,1
Fraizer Campbell,eng ENG,Manchester Utd,18,0,0,0
Stephen Carr,ie IRL,Newcastle Utd,696,0,0,0
Michael Carrick,eng ENG,Manchester Utd,2203,2,2,2
Andy Carroll,eng ENG,Newcastle Utd,141,0,1,0
Roy Carroll,nir NIR,Derby County,1260,0,1,0
Lee Carsley,ie IRL,Everton,2865,1,4,6
Scott Carson,eng ENG,Aston Villa,3126,0,2,2
Lee Cattermole,eng ENG,Middlesbrough,1000,1,0,5
Pascal Chimbonda,fr FRA,Tottenham,2752,2,5,5
Michael Chopra,eng ENG,Sunderland,2008,6,0,7
Gaël Clichy,fr FRA,Arsenal,3330,0,5,5
