player_name,nation,squad,minutes_played,goals,assists,cards
Charlie Adam,sct SCO,Stoke City,0.5134502923976608,8,4,6
Emmanuel Adebayor,tg TOG,Tottenham,0.5277777777777778,11,4,0
Nathan Aké,nl NED,Chelsea,0.0035087719298245615,0,0,0
Joe Allen,wls WAL,Liverpool,0.4219298245614035,1,0,4
Nicolas Anelka,fr FRA,West Brom,0.2482456140350877,2,0,0
Victor Anichebe,ng NGA,West Brom,0.3567251461988304,3,3,3
Victor Anichebe,ng NGA,Everton,0.00029239766081871346,0,0,0
Mikel Arteta,es ESP,Arsenal,0.704093567251462,2,0,4
Demba Ba,sn SEN,Chelsea,0.1956140350877193,5,1,0
Leandro Bacuna,cw CUW,Aston Villa,0.7599415204678363,5,1,6
Barry Bannan,sct SCO,Crystal Palace,0.2915204678362573,1,1,1
Phil Bardsley,sct SCO,Sunderland,0.6555555555555556,2,0,8
Ross Barkley,eng ENG,Everton,0.6672514619883041,6,0,5
Gareth Barry,eng ENG,Everton,0.8327485380116959,3,4,10
Sébastien Bassong,cm CMR,Norwich City,0.6950292397660819,0,0,1
Luciano Becchio,ar ARG,Norwich City,0.01695906432748538,0,0,0
Craig Bellamy,wls WAL,Cardiff City,0.3669590643274854,2,1,3
Nicklas Bendtner,dk DEN,Arsenal,0.04766081871345029,2,0,0
Elliott Bennett,eng ENG,Norwich City,0.03070175438596491,0,0,0
Joe Bennett,eng ENG,Aston Villa,0.07105263157894737,0,0,2
Darren Bent,eng ENG,Fulham,0.3646198830409357,3,2,0
Christian Benteke,be BEL,Aston Villa,0.6216374269005848,10,2,4
Saido Berahino,bi BDI,West Brom,0.41461988304093567,5,1,0
Dimitar Berbatov,bg BUL,Fulham,0.45730994152046783,4,1,3
Wilfried Bony,ci CIV,Swansea City,0.7222222222222222,16,4,4
Fabio Borini,it ITA,Sunderland,0.6263157894736842,7,2,6
George Boyd,sct SCO,Hull City,0.354093567251462,2,2,2
Robbie Brady,ie IRL,Hull City,0.25994152046783625,3,1,2
Liam Bridcutt,sct SCO,Sunderland,0.2482456140350877,0,0,4
Wes Brown,eng ENG,Sunderland,0.6038011695906432,0,1,5
Dan Burn,eng ENG,Fulham,0.17748538011695905,0,0,0
Jack Butland,eng ENG,Stoke City,0.06578947368421052,0,0,0
Gary Cahill,eng ENG,Chelsea,0.7672514619883041,1,1,2
Fraizer Campbell,eng ENG,Cardiff City,0.8076023391812865,6,2,4
Étienne Capoue,fr FRA,Tottenham,0.20058479532163742,1,0,1
Michael Carrick,eng ENG,Manchester Utd,0.706140350877193,1,0,5
Andy Carroll,eng ENG,West Ham,0.31900584795321635,2,4,1
Lee Cattermole,eng ENG,Sunderland,0.5125730994152047,1,0,6
