player_name,nation,squad,minutes_played,goals,assists,cards
Tosin Adarabioyo,eng ENG,Fulham,2085,1,0,4
Nathan Aké,nl NED,Manchester City,1873,1,0,2
Michail Antonio,jm JAM,West Ham,1829,5,3,2
Kepa Arrizabalaga,es ESP,Chelsea,2565,0,0,1
André Ayew,gh GHA,Nott'ham Forest,316,0,0,1
Jordan Ayew,gh GHA,Crystal Palace,2714,4,3,5
Patrick Bamford,eng ENG,Leeds United,1515,4,2,3
Saïd Benrahma,dz ALG,West Ham,2069,6,3,0
Philip Billing,dk DEN,Bournemouth,2764,7,1,5
Yves Bissouma,ml MLI,Tottenham,1010,0,0,6
Willy Boly,ci CIV,Nott'ham Forest,685,0,1,2
Jarrod Bowen,eng ENG,West Ham,3233,6,5,2
David Brooks,wls WAL,Bournemouth,173,0,0,1
Dan Burn,eng ENG,Newcastle Utd,3111,1,0,5
Matty Cash,pl POL,Aston Villa,1820,0,1,4
Nathaniel Chalobah,eng ENG,Fulham,12,0,0,1
Calum Chambers,eng ENG,Aston Villa,353,0,0,2
Ben Chilwell,eng ENG,Chelsea,1408,2,2,3
Carney Chukwuemeka,eng ENG,Chelsea,354,0,0,0
Nathaniel Clyne,eng ENG,Crystal Palace,1640,0,0,3
Nathan Collins,ie IRL,Wolves,1814,0,0,3
Lewis Cook,eng ENG,Bournemouth,1720,0,2,4
Maxwel Cornet,ci CIV,West Ham,245,0,0,0
Aaron Cresswell,eng ENG,West Ham,2235,0,1,3
Marc Cucurella,es ESP,Chelsea,1671,0,2,4
Ben Davies,wls WAL,Tottenham,2288,2,2,4
Craig Dawson,eng ENG,West Ham,720,0,0,2
Craig Dawson,eng ENG,Wolves,1414,1,0,4
Leander Dendoncker,be BEL,Aston Villa,697,0,0,0
Leander Dendoncker,be BEL,Wolves,214,0,0,0
Emmanuel Dennis,ng NGA,Nott'ham Forest,720,2,2,3
Lucas Digne,fr FRA,Aston Villa,1502,1,0,5
Issa Diop,fr FRA,Fulham,2012,1,0,2
Matt Doherty,ie IRL,Tottenham,667,1,0,0
Flynn Downes,eng ENG,West Ham,762,0,0,2
Martin Dúbravka,sk SVK,Newcastle Utd,157,0,0,0
Emerson,br BRA,Tottenham,1735,2,1,3
Jonny Evans,nir NIR,Leicester City,1051,0,0,1
Eberechi Eze,eng ENG,Crystal Palace,2636,10,4,3
Wesley Fofana,fr FRA,Leicester City,180,0,0,1
Wesley Fofana,fr FRA,Chelsea,1183,1,0,3
Joe Gelhardt,eng ENG,Leeds United,212,0,2,1
Morgan Gibbs-White,eng ENG,Wolves,180,0,0,1
Morgan Gibbs-White,eng ENG,Nott'ham Forest,2971,5,8,5
Billy Gilmour,sct SCO,Brighton,507,0,1,1
Joe Gomez,eng ENG,Liverpool,1466,0,0,3
Anthony Gordon,eng ENG,Newcastle Utd,487,1,0,1
Anthony Gordon,eng ENG,Everton,1095,3,0,6
Demarai Gray,jm JAM,Everton,2507,4,1,3
Jack Grealish,eng ENG,Manchester City,2055,5,7,4
Jack Harrison,eng ENG,Leeds United,2708,5,7,2
Jordan Henderson,eng ENG,Liverpool,2074,0,2,2
Wayne Hennessey,wls WAL,Nott'ham Forest,271,0,0,0
Rob Holding,eng ENG,Arsenal,566,1,0,0
Will Hughes,eng ENG,Crystal Palace,842,1,1,4
Kelechi Iheanacho,ng NGA,Leicester City,1127,5,5,0
Danny Ings,eng ENG,West Ham,775,2,2,1
Danny Ings,eng ENG,Aston Villa,824,6,0,3
Daniel James,wls WAL,Leeds United,198,0,0,0
Daniel James,wls WAL,Fulham,621,2,1,0
Gabriel Jesus,br BRA,Arsenal,2064,11,6,6
Jorginho,it ITA,Arsenal,855,0,1,0
Jorginho,it ITA,Chelsea,1279,2,0,4
Diogo Jota,pt POR,Liverpool,1131,7,4,2
James Justin,eng ENG,Leicester City,1252,0,0,0
N'Golo Kanté,fr FRA,Chelsea,518,0,1,1
Ezri Konsa,eng ENG,Aston Villa,3322,0,0,6
Cheikhou Kouyaté,sn SEN,Nott'ham Forest,882,1,0,3
Adam Lallana,eng ENG,Brighton,722,2,1,0
Aymeric Laporte,es ESP,Manchester City,993,0,0,0
Jamaal Lascelles,eng ENG,Newcastle Utd,218,0,0,4
Mario Lemina,ga GAB,Wolves,1299,0,1,5
Bernd Leno,de GER,Fulham,3240,0,0,3
Jamal Lewis,nir NIR,Newcastle Utd,11,0,0,0
Keane Lewis-Potter,eng ENG,Brentford,321,0,1,0
Jesse Lingard,eng ENG,Nott'ham Forest,923,0,0,1
Douglas Luiz,br BRA,Aston Villa,2927,6,6,7
James Maddison,eng ENG,Leicester City,2480,10,9,10
Harry Maguire,eng ENG,Manchester Utd,767,0,0,4
Riyad Mahrez,dz ALG,Manchester City,1920,5,10,2
Emiliano Martínez,ar ARG,Aston Villa,3139,0,0,7
Neal Maupay,fr FRA,Everton,1118,1,0,4
James McArthur,sct SCO,Crystal Palace,54,0,0,0
