player_name,nation,squad,minutes_played,goals,assists,cards
Patrick van Aanholt,nl NED,Crystal Palace,0.7330409356725146,3,2,0
Nathan Aké,nl NED,Bournemouth,0.7318713450292398,2,2,2
Michail Antonio,jm JAM,West Ham,0.5169590643274854,10,3,3
Kepa Arrizabalaga,es ESP,Chelsea,0.868421052631579,0,0,0
Christian Atsu,gh GHA,Newcastle Utd,0.21900584795321637,0,3,2
Jordan Ayew,gh GHA,Crystal Palace,0.92046783625731,9,2,6
Phil Bardsley,sct SCO,Burnley,0.5526315789473685,0,1,6
Ross Barkley,eng ENG,Chelsea,0.3225146198830409,1,4,0
Chris Basham,eng ENG,Sheffield Utd,0.947953216374269,0,1,4
Michy Batshuayi,be BEL,Chelsea,0.06988304093567252,1,1,0
Christian Benteke,be BEL,Crystal Palace,0.36871345029239766,2,1,5
Philip Billing,dk DEN,Bournemouth,0.7397660818713451,1,1,8
Yves Bissouma,ml MLI,Brighton,0.36812865497076025,1,0,4
Willy Boly,ci CIV,Wolves,0.5786549707602339,0,1,4
Jarrod Bowen,eng ENG,West Ham,0.2681286549707602,1,4,0
Robbie Brady,ie IRL,Burnley,0.1327485380116959,1,2,1
David Brooks,wls WAL,Bournemouth,0.147953216374269,1,0,1
Dan Burn,eng ENG,Brighton,0.8421052631578947,0,0,5
Sam Byram,eng ENG,Norwich City,0.3780701754385965,0,0,4
Gary Cahill,eng ENG,Crystal Palace,0.6336257309941521,0,1,1
Étienne Capoue,fr FRA,Watford,0.7681286549707602,0,3,8
Andy Carroll,eng ENG,Newcastle Utd,0.1847953216374269,0,4,1
Nathaniel Chalobah,eng ENG,Watford,0.2719298245614035,0,1,1
Calum Chambers,eng ENG,Arsenal,0.32222222222222224,1,1,5
Ben Chilwell,eng ENG,Leicester City,0.6938596491228071,3,3,3
Tom Cleverley,eng ENG,Watford,0.28391812865497074,1,0,2
Lewis Cook,eng ENG,Bournemouth,0.3953216374269006,0,0,5
Jack Cork,eng ENG,Burnley,0.7640350877192983,0,0,1
Aaron Cresswell,eng ENG,West Ham,0.7973684210526316,3,0,7
Scott Dann,eng ENG,Crystal Palace,0.3701754385964912,0,1,0
Ben Davies,wls WAL,Tottenham,0.41842105263157897,0,0,6
Craig Dawson,eng ENG,Watford,0.6903508771929825,2,0,6
Fabian Delph,eng ENG,Everton,0.347953216374269,0,0,6
Leander Dendoncker,be BEL,Wolves,0.8172514619883041,4,0,5
Lucas Digne,fr FRA,Everton,0.8859649122807017,0,7,6
Issa Diop,fr FRA,West Ham,0.8087719298245614,3,1,8
Matt Doherty,ie IRL,Wolves,0.8301169590643275,4,3,1
Danny Drinkwater,eng ENG,Aston Villa,0.07573099415204679,0,0,1
Danny Drinkwater,eng ENG,Burnley,0.01695906432748538,0,0,0
Martin Dúbravka,sk SVK,Newcastle Utd,1.0,0,0,0
Ahmed Elmohamady,eg EGY,Aston Villa,0.30146198830409354,1,1,1
Jonny Evans,nir NIR,Leicester City,0.9891812865497076,1,1,9
Federico Fernández,ar ARG,Newcastle Utd,0.7660818713450293,2,2,8
Ben Foster,eng ENG,Watford,1.0,0,0,1
Luke Freeman,eng ENG,Sheffield Utd,0.10701754385964912,0,0,2
Morgan Gibbs-White,eng ENG,Wolves,0.037719298245614034,0,0,0
Billy Gilmour,sct SCO,Chelsea,0.05672514619883041,0,0,0
Olivier Giroud,fr FRA,Chelsea,0.29035087719298247,8,0,1
Joe Gomez,eng ENG,Liverpool,0.5859649122807018,0,0,7
Anthony Gordon,eng ENG,Everton,0.1286549707602339,0,1,0
Andre Gray,jm JAM,Watford,0.22076023391812866,2,0,1
Demarai Gray,jm JAM,Leicester City,0.18187134502923977,2,3,1
Jack Grealish,eng ENG,Aston Villa,0.9453216374269006,8,6,8
Angus Gunn,sct SCO,Southampton,0.2631578947368421,0,0,0
Kortney Hause,eng ENG,Aston Villa,0.4517543859649123,1,0,3
Tom Heaton,eng ENG,Aston Villa,0.5245614035087719,0,0,0
Jordan Henderson,eng ENG,Liverpool,0.6543859649122807,4,5,2
Jeff Hendrick,ie IRL,Burnley,0.5646198830409357,2,2,8
Wayne Hennessey,wls WAL,Crystal Palace,0.07894736842105263,0,0,0
