player_name,nation,squad,minutes_played,goals,assists,cards
Patrick van Aanholt,nl NED,Wigan Athletic,0.07894736842105263,0,0,0
Charlie Adam,sct SCO,Liverpool,0.6336257309941521,2,6,7
Emmanuel Adebayor,tg TOG,Tottenham,0.8266081871345029,17,11,3
Yakubu Aiyegbeni,ng NGA,Blackburn,0.7140350877192982,17,2,2
Joe Allen,wls WAL,Swansea City,0.8464912280701754,4,2,4
Keith Andrews,ie IRL,West Brom,0.2307017543859649,2,1,2
Nicolas Anelka,fr FRA,Chelsea,0.12309941520467836,1,1,0
Victor Anichebe,ng NGA,Everton,0.13099415204678364,5,0,1
Mikel Arteta,es ESP,Arsenal,0.7222222222222222,6,2,4
Mikel Arteta,es ESP,Everton,0.03713450292397661,1,0,1
Daniel Ayala,es ESP,Norwich City,0.14532163742690057,0,0,2
Demba Ba,sn SEN,Newcastle Utd,0.7956140350877193,16,2,1
Chris Baird,nir NIR,Fulham,0.3725146198830409,0,0,6
Gareth Bale,wls WAL,Tottenham,0.9403508771929825,10,10,3
Barry Bannan,sct SCO,Aston Villa,0.3690058479532164,1,2,2
Phil Bardsley,sct SCO,Sunderland,0.723391812865497,1,0,6
Ross Barkley,eng ENG,Everton,0.06315789473684211,0,0,0
Gareth Barry,eng ENG,Manchester City,0.7994152046783626,1,3,11
Joey Barton,eng ENG,QPR,0.7812865497076024,3,3,10
Joey Barton,eng ENG,Newcastle Utd,0.05263157894736842,0,0,2
Sébastien Bassong,cm CMR,Tottenham,0.06666666666666667,0,0,0
Sébastien Bassong,cm CMR,Wolves,0.19941520467836257,0,0,2
Jean Beausejour,cl CHI,Wigan Athletic,0.40555555555555556,0,5,1
Craig Bellamy,wls WAL,Liverpool,0.3652046783625731,6,3,6
Yossi Benayoun,il ISR,Arsenal,0.26432748538011697,4,1,1
Yossi Benayoun,il ISR,Chelsea,0.0005847953216374269,0,0,0
Nicklas Bendtner,dk DEN,Arsenal,0.003216374269005848,0,0,0
Nicklas Bendtner,dk DEN,Sunderland,0.6505847953216374,8,5,2
Elliott Bennett,eng ENG,Norwich City,0.5885964912280702,1,4,5
Darren Bent,eng ENG,Aston Villa,0.5432748538011696,9,1,1
Dimitar Berbatov,bg BUL,Manchester Utd,0.15233918128654972,7,0,0
Nick Blackman,bb BRB,Blackburn,0.0020467836257309943,0,0,0
Robbie Blake,eng ENG,Bolton,0.0014619883040935672,0,0,0
Emmerson Boyce,bb BRB,Wigan Athletic,0.6628654970760234,3,1,3
Titus Bramble,eng ENG,Sunderland,0.19005847953216373,1,0,0
Wayne Bridge,eng ENG,Sunderland,0.0935672514619883,0,0,1
Wes Brown,eng ENG,Sunderland,0.5073099415204678,1,0,2
Mark Bunn,eng ENG,Blackburn,0.07894736842105263,0,0,0
Gary Cahill,eng ENG,Bolton,0.4789473684210526,2,0,3
Gary Cahill,eng ENG,Chelsea,0.25029239766081873,1,0,2
DJ Campbell,eng ENG,QPR,0.09590643274853801,1,0,0
Fraizer Campbell,eng ENG,Sunderland,0.1865497076023392,1,1,3
Michael Carrick,eng ENG,Manchester Utd,0.7312865497076023,2,3,4
Andy Carroll,eng ENG,Liverpool,0.6064327485380117,4,2,5
Lee Cattermole,eng ENG,Sunderland,0.5654970760233918,0,0,10
Steven Caulker,sl SLE,Swansea City,0.6839181286549708,0,1,2
Marouane Chamakh,ma MAR,Arsenal,0.05263157894736842,1,0,0
Tom Cleverley,eng ENG,Manchester Utd,0.13157894736842105,0,1,0
Gaël Clichy,fr FRA,Manchester City,0.7271929824561404,0,4,4
Sebastián Coates,uy URU,Liverpool,0.14239766081871344,1,0,1
Ashley Cole,eng ENG,Chelsea,0.814327485380117,0,6,10
James Collins,wls WAL,Aston Villa,0.8128654970760234,1,0,7
Jody Craddock,eng ENG,Wolves,0.021345029239766083,0,0,0
Peter Crouch,eng ENG,Stoke City,0.7842105263157895,10,2,2
Peter Crouch,eng ENG,Tottenham,0.02631578947368421,0,0,0
Carlos Cuéllar,es ESP,Aston Villa,0.4359649122807018,0,1,2
Scott Dann,eng ENG,Blackburn,0.7023391812865497,1,1,2
Kevin Davies,eng ENG,Bolton,0.5453216374269005,6,2,3
Mark Davies,eng ENG,Bolton,0.8052631578947368,4,0,4
Craig Dawson,eng ENG,West Brom,0.1584795321637427,0,0,0
Michael Dawson,eng ENG,Tottenham,0.16052631578947368,0,0,1
Ritchie De Laet,be BEL,Norwich City,0.14035087719298245,1,0,1
