player_name,nation,squad,minutes_played,goals,assists,cards
Patrick van Aanholt,nl NED,Crystal Palace,0.6385964912280702,5,1,7
Charlie Adam,sct SCO,Stoke City,0.12017543859649123,0,0,3
Benik Afobe,cd COD,Bournemouth,0.17865497076023393,0,0,0
Nathan Aké,nl NED,Bournemouth,0.9804093567251462,2,3,5
Joe Allen,wls WAL,Stoke City,0.9178362573099416,2,6,8
Michail Antonio,jm JAM,West Ham,0.395906432748538,3,1,1
Christian Atsu,gh GHA,Newcastle Utd,0.5216374269005848,2,2,1
André Ayew,gh GHA,West Ham,0.26169590643274854,3,2,2
André Ayew,gh GHA,Swansea City,0.2777777777777778,0,2,3
Jordan Ayew,gh GHA,Swansea City,0.8339181286549707,7,2,3
Phil Bardsley,sct SCO,Burnley,0.32894736842105265,0,0,5
Ross Barkley,eng ENG,Chelsea,0.037719298245614034,0,0,0
Gareth Barry,eng ENG,West Brom,0.5622807017543859,1,1,4
Michy Batshuayi,be BEL,Chelsea,0.10526315789473684,2,1,0
Christian Benteke,be BEL,Crystal Palace,0.6549707602339181,3,5,6
Saido Berahino,bi BDI,Stoke City,0.14444444444444443,0,1,0
Philip Billing,dk DEN,Huddersfield,0.22339181286549709,0,0,3
Wilfried Bony,ci CIV,Swansea City,0.20672514619883042,2,0,2
Robbie Brady,ie IRL,Burnley,0.37339181286549705,1,2,3
Oliver Burke,sct SCO,West Brom,0.10730994152046784,0,2,0
Jack Butland,eng ENG,Stoke City,0.9210526315789473,0,0,0
Sam Byram,eng ENG,West Ham,0.07251461988304093,0,0,1
Gary Cahill,eng ENG,Chelsea,0.6099415204678362,0,0,2
Étienne Capoue,fr FRA,Watford,0.45087719298245615,1,0,3
Michael Carrick,eng ENG,Manchester Utd,0.031871345029239766,0,0,0
Andy Carroll,eng ENG,West Ham,0.2195906432748538,3,0,8
Tom Carroll,eng ENG,Swansea City,0.7514619883040936,0,4,3
Nacer Chadli,be BEL,West Brom,0.07602339181286549,1,0,1
Nathaniel Chalobah,eng ENG,Watford,0.1307017543859649,0,0,1
Calum Chambers,eng ENG,Arsenal,0.25321637426900584,0,0,1
Ben Chilwell,eng ENG,Leicester City,0.541812865497076,0,2,4
Tom Cleverley,eng ENG,Watford,0.5561403508771929,1,2,4
Sam Clucas,eng ENG,Swansea City,0.5976608187134503,3,1,2
Nathaniel Clyne,eng ENG,Liverpool,0.05087719298245614,0,0,1
James Collins,wls WAL,West Ham,0.30701754385964913,1,0,3
Lewis Cook,eng ENG,Bournemouth,0.654093567251462,0,2,5
Jack Cork,eng ENG,Burnley,1.0,2,1,7
Aaron Cresswell,eng ENG,West Ham,0.8973684210526316,1,3,7
Peter Crouch,eng ENG,Stoke City,0.458187134502924,5,2,4
Scott Dann,eng ENG,Crystal Palace,0.4195906432748538,1,0,4
Karl Darlow,eng ENG,Newcastle Utd,0.2631578947368421,0,0,0
Ben Davies,wls WAL,Tottenham,0.6795321637426901,2,6,3
Steven Davis,nir NIR,Southampton,0.44473684210526315,3,0,0
Craig Dawson,eng ENG,West Brom,0.7339181286549707,2,0,6
Jermain Defoe,eng ENG,Bournemouth,0.31812865497076026,4,1,1
Fabian Delph,eng ENG,Manchester City,0.5090643274853801,1,2,2
Mousa Dembélé,be BEL,Tottenham,0.5494152046783626,0,0,6
Mohamed Diamé,sn SEN,Newcastle Utd,0.5967836257309942,2,0,3
Danny Drinkwater,eng ENG,Chelsea,0.15409356725146198,1,0,0
Martin Dúbravka,sk SVK,Newcastle Utd,0.3157894736842105,0,0,0
Rob Elliot,ie IRL,Newcastle Utd,0.42105263157894735,0,0,0
Jonny Evans,nir NIR,West Brom,0.6637426900584795,2,2,7
Marouane Fellaini,be BEL,Manchester Utd,0.19970760233918128,4,0,1
Leroy Fer,nl NED,Swansea City,0.40847953216374266,1,1,5
Federico Fernández,ar ARG,Swansea City,0.7824561403508772,1,1,5
José Fonte,pt POR,West Ham,0.20116959064327486,0,1,0
Ben Foster,eng ENG,West Brom,0.9736842105263158,0,0,2
Kieran Gibbs,eng ENG,West Brom,0.8266081871345029,0,1,3
Olivier Giroud,fr FRA,Arsenal,0.11345029239766082,4,1,0
Olivier Giroud,fr FRA,Chelsea,0.17923976608187134,3,1,0
Joe Gomez,eng ENG,Liverpool,0.5561403508771929,0,2,3
Lee Grant,eng ENG,Stoke City,0.07894736842105263,0,0,0
Andre Gray,jm JAM,Watford,0.43801169590643274,5,2,1
Demarai Gray,jm JAM,Leicester City,0.49619883040935675,3,1,2
Joe Hart,eng ENG,West Ham,0.5,0,1,0
Tom Heaton,eng ENG,Burnley,0.0891812865497076,0,0,0
Jordan Henderson,eng ENG,Liverpool,0.6347953216374269,1,1,1
Jeff Hendrick,ie IRL,Burnley,0.6815789473684211,2,2,1
Wayne Hennessey,wls WAL,Crystal Palace,0.7105263157894737,0,0,1
Ander Herrera,es ESP,Manchester Utd,0.3707602339181287,0,2,5
Rob Holding,eng ENG,Arsenal,0.24035087719298245,0,0,3
Will Hughes,eng ENG,Watford,0.2894736842105263,2,3,0
Jordon Ibe,eng ENG,Bournemouth,0.5833333333333334,2,6,1
Kelechi Iheanacho,ng NGA,Leicester City,0.24269005847953215,3,3,2
Tom Ince,eng ENG,Huddersfield,0.7169590643274854,2,0,0
Danny Ings,eng ENG,Liverpool,0.0780701754385965,1,0,0
Stephen Ireland,ie IRL,Stoke City,0.038304093567251465,0,0,1
Daryl Janmaat,nl NED,Watford,0.5321637426900585,3,0,3
Gabriel Jesus,br BRA,Manchester City,0.48771929824561405,13,3,6
Glen Johnson,eng ENG,Stoke City,0.15994152046783625,0,0,3
Phil Jones,eng ENG,Manchester Utd,0.5769005847953217,0,0,2
Joselu,es ESP,Newcastle Utd,0.5005847953216375,4,1,2
Younès Kaboul,fr FRA,Watford,0.043859649122807015,0,0,0
N'Golo Kanté,fr FRA,Chelsea,0.875438596491228,1,1,3
Martin Kelly,eng ENG,Crystal Palace,0.34941520467836257,0,0,1
Anthony Knockaert,fr FRA,Brighton,0.7078947368421052,3,1,5
Terence Kongolo,nl NED,Huddersfield,0.3067251461988304,0,0,0
Cheikhou Kouyaté,sn SEN,West Ham,0.8184210526315789,2,3,5
Adam Lallana,eng ENG,Liverpool,0.09005847953216374,0,0,1
Aymeric Laporte,es ESP,Manchester City,0.23567251461988303,0,0,1
Jamaal Lascelles,eng ENG,Newcastle Utd,0.856140350877193,3,0,5
Mario Lemina,ga GAB,Southampton,0.5029239766081871,1,1,2
Aaron Lennon,eng ENG,Burnley,0.32690058479532164,0,2,2
Aaron Lennon,eng ENG,Everton,0.23187134502923976,0,0,0
Jesse Lingard,eng ENG,Manchester Utd,0.5312865497076024,8,5,2
Jake Livermore,eng ENG,West Brom,0.7818713450292397,2,2,5
Fernando Llorente,es ESP,Tottenham,0.0695906432748538,1,0,1
Shane Long,ie IRL,Southampton,0.4625730994152047,2,1,6
Dejan Lovren,hr CRO,Liverpool,0.6219298245614036,2,1,4
Matthew Lowton,eng ENG,Burnley,0.6710526315789473,0,3,1
David Luiz,br BRA,Chelsea,0.24561403508771928,1,0,5
Romelu Lukaku,be BEL,Manchester Utd,0.8383040935672514,16,7,4
Harry Maguire,eng ENG,Leicester City,1.0,2,4,7
Riyad Mahrez,dz ALG,Leicester City,0.8625730994152047,12,10,2
Scott Malone,eng ENG,Huddersfield,0.32719298245614037,0,1,3
Sadio Mané,sn SEN,Liverpool,0.6403508771929824,10,7,4
Adrian Mariappa,jm JAM,Watford,0.6461988304093568,0,0,4
Juan Mata,es ESP,Manchester Utd,0.5619883040935673,3,5,1
Nemanja Matić,rs SRB,Manchester Utd,0.9116959064327486,1,1,6
Alfie Mawson,eng ENG,Swansea City,1.0,2,1,3
James McArthur,sct SCO,Crystal Palace,0.7108187134502923,5,1,5
Oliver McBurnie,sct SCO,Swansea City,0.08070175438596491,0,1,0
Alex McCarthy,eng ENG,Southampton,0.47368421052631576,0,0,2
James McCarthy,ie IRL,Everton,0.059941520467836254,0,0,0
James McClean,ie IRL,West Brom,0.4111111111111111,1,0,7
Simon Mignolet,be BEL,Liverpool,0.5,0,0,3
James Milner,eng ENG,Liverpool,0.5190058479532164,0,3,3
Tyrone Mings,eng ENG,Bournemouth,0.058771929824561406,0,0,1
Aleksandar Mitrović,rs SRB,Newcastle Utd,0.027777777777777776,1,0,0
Henrikh Mkhitaryan,am ARM,Arsenal,0.2321637426900585,2,4,0
Henrikh Mkhitaryan,am ARM,Manchester Utd,0.2695906432748538,1,5,2
Aaron Mooy,au AUS,Huddersfield,0.8967836257309941,4,3,4
Victor Moses,ng NGA,Chelsea,0.6169590643274854,3,3,3
Lys Mousset,fr FRA,Bournemouth,0.1742690058479532,2,0,1
Jacob Murphy,eng ENG,Newcastle Utd,0.33567251461988307,1,1,0
Glenn Murray,eng ENG,Brighton,0.6409356725146199,12,0,9
Boaz Myhill,wls WAL,West Brom,0.02631578947368421,0,0,1
Kyle Naughton,eng ENG,Swansea City,0.8859649122807017,0,2,1
Allan Nyom,cm CMR,West Brom,0.6754385964912281,0,1,7
Martin Olsson,se SWE,Swansea City,0.9207602339181287,0,1,7
Alex Oxlade-Chamberlain,eng ENG,Arsenal,0.07046783625730994,0,0,0
Alex Oxlade-Chamberlain,eng ENG,Liverpool,0.4365497076023392,3,7,3
Ayoze Pérez,es ESP,Newcastle Utd,0.7286549707602339,8,5,3
Matt Phillips,sct SCO,West Brom,0.6119883040935673,2,2,3
Erik Pieters,nl NED,Stoke City,0.7947368421052632,0,1,5
Nick Pope,eng ENG,Burnley,0.9108187134502924,0,0,3
Alex Pritchard,eng ENG,Huddersfield,0.291812865497076,1,1,1
Jason Puncheon,eng ENG,Crystal Palace,0.18859649122807018,0,0,5
Aaron Ramsey,wls WAL,Arsenal,0.539766081871345,7,8,0
Nathan Redmond,eng ENG,Southampton,0.5687134502923976,1,3,3
Richarlison,br BRA,Watford,0.8254385964912281,5,4,4
Connor Roberts,wls WAL,Swansea City,0.0783625730994152,0,0,0
Andrew Robertson,sct SCO,Liverpool,0.5672514619883041,1,5,2
Salomón Rondón,ve VEN,West Brom,0.8090643274853802,7,3,4
Wayne Rooney,eng ENG,Everton,0.6631578947368421,10,2,5
Danny Rose,eng ENG,Tottenham,0.23391812865497075,0,1,4
Liam Rosenior,eng ENG,Brighton,0.047953216374269005,0,0,0
Wayne Routledge,eng ENG,Swansea City,0.12543859649122807,0,0,1
Mamadou Sakho,fr FRA,Crystal Palace,0.4678362573099415,1,2,1
Alexis Sánchez,cl CHI,Arsenal,0.4394736842105263,7,3,4
Alexis Sánchez,cl CHI,Manchester Utd,0.3049707602339181,2,3,1
Jeffrey Schlupp,gh GHA,Crystal Palace,0.5102339181286549,0,1,3
Morgan Schneiderlin,fr FRA,Everton,0.6228070175438597,0,0,7
Xherdan Shaqiri,ch SUI,Stoke City,0.8885964912280702,8,7,5
Luke Shaw,eng ENG,Manchester Utd,0.2309941520467836,0,0,2
Jonjo Shelvey,eng ENG,Newcastle Utd,0.6637426900584795,1,3,6
Danny Simpson,eng ENG,Leicester City,0.6742690058479532,0,0,4
Moussa Sissoko,fr FRA,Tottenham,0.4052631578947368,1,1,3
Islam Slimani,dz ALG,Leicester City,0.07280701754385965,1,1,0
Islam Slimani,dz ALG,Newcastle Utd,0.03859649122807018,0,0,1
Chris Smalling,eng ENG,Manchester Utd,0.7415204678362574,4,0,4
Tommy Smith,eng ENG,Huddersfield,0.5567251461988304,0,1,7
Ramadan Sobhi,eg EGY,Stoke City,0.36198830409356725,2,0,2
Dominic Solanke,eng ENG,Liverpool,0.1742690058479532,1,1,0
Dale Stephens,eng ENG,Brighton,0.9473684210526315,0,3,6
Raheem Sterling,eng ENG,Manchester City,0.7564327485380117,18,11,6
John Stones,eng ENG,Manchester City,0.38070175438596493,0,0,0
Daniel Sturridge,eng ENG,West Brom,0.03450292397660819,0,0,0
Daniel Sturridge,eng ENG,Liverpool,0.1260233918128655,2,1,0
Andrew Surman,eng ENG,Bournemouth,0.5426900584795321,2,5,2
Matt Targett,eng ENG,Southampton,0.048538011695906436,0,0,0
James Tomkins,eng ENG,Crystal Palace,0.697953216374269,3,0,8
Andros Townsend,eng ENG,Crystal Palace,0.9122807017543859,2,7,3
Kieran Trippier,eng ENG,Tottenham,0.5596491228070175,0,5,1
Leonardo Ulloa,ar ARG,Leicester City,0.006432748538011696,0,0,0
Leonardo Ulloa,ar ARG,Brighton,0.0780701754385965,1,0,0
Antonio Valencia,ec ECU,Manchester Utd,0.8011695906432749,3,1,7
Virgil van Dijk,nl NED,Southampton,0.29064327485380115,0,0,0
Virgil van Dijk,nl NED,Liverpool,0.3684210526315789,0,0,1
Michel Vorm,nl NED,Tottenham,0.02631578947368421,0,0,0
Theo Walcott,eng ENG,Arsenal,0.02017543859649123,0,0,0
Theo Walcott,eng ENG,Everton,0.3368421052631579,3,3,2
Kyle Walker,eng ENG,Manchester City,0.814327485380117,0,6,5
Jonathan Walters,ie IRL,Burnley,0.011403508771929825,0,0,0
Aaron Wan-Bissaka,eng ENG,Crystal Palace,0.18333333333333332,0,0,1
Victor Wanyama,ke KEN,Tottenham,0.24736842105263157,1,0,2
Stephen Ward,ie IRL,Burnley,0.7192982456140351,1,1,1
Ben Watson,eng ENG,Watford,0.13333333333333333,0,0,1
Danny Welbeck,eng ENG,Arsenal,0.34912280701754383,5,2,1
Nahki Wells,bm BER,Burnley,0.01608187134502924,0,0,0
Ashley Westwood,eng ENG,Burnley,0.3248538011695906,0,1,2
Dean Whitehead,eng ENG,Huddersfield,0.020760233918128656,0,0,0
Georginio Wijnaldum,nl NED,Liverpool,0.697953216374269,1,2,1
Joe Willock,eng ENG,Arsenal,0.023976608187134502,0,0,0
Jack Wilshere,eng ENG,Arsenal,0.34883040935672516,1,3,6
Callum Wilson,eng ENG,Bournemouth,0.5792397660818713,8,2,0
Kevin Wimmer,at AUT,Stoke City,0.3868421052631579,0,0,5
Chris Wood,nz NZL,Burnley,0.47485380116959064,10,1,1
Ashley Young,eng ENG,Manchester Utd,0.7140350877192982,2,4,7
Wilfried Zaha,ci CIV,Crystal Palace,0.7453216374269006,9,3,5
Oleksandr Zinchenko,ua UKR,Manchester City,0.15555555555555556,0,0,1
Kurt Zouma,fr FRA,Stoke City,0.8444444444444444,1,0,1
