player_name,nation,squad,minutes_played,goals,assists,cards
Jérémie Aliadière,fr FRA,Arsenal,25,1,0,0.0
Darren Ambrose,eng ENG,Newcastle Utd,15,0,0,0.0
Darren Anderton,eng ENG,Tottenham,1557,0,6,4.0
Tore André Flo,no NOR,Sunderland,1995,4,1,0.0
Nicolas Anelka,fr FRA,Manchester City,3381,14,5,0.0
Julio Arca,ar ARG,Sunderland,783,0,1,0.0
Phil Babb,ie IRL,Sunderland,2313,0,0,1.0
Chris Baird,nir NIR,Southampton,157,0,0,0.0
Nick Barmby,eng ENG,Leeds United,1348,4,2,2.0
Anthony Barness,eng ENG,Bolton,1923,0,0,2.0
Gareth Barry,eng ENG,Aston Villa,3038,3,4,11.0
Chris Bart-Williams,eng ENG,Charlton Ath,611,1,0,0.0
Joey Barton,eng ENG,Manchester City,610,1,0,2.0
James Beattie,eng ENG,Southampton,3198,23,2,3.0
Craig Bellamy,wls WAL,Newcastle Utd,2454,7,5,1.0
David Bellion,fr FRA,Sunderland,588,1,0,0.0
Ian Bennett,eng ENG,Birmingham City,900,0,0,0.0
Henning Berg,no NOR,Blackburn,1275,1,0,2.0
Eyal Berkovic,il ISR,Manchester City,2162,1,8,2.0
Luís Boa Morte,pt POR,Fulham,2187,2,1,9.0
George Boateng,nl NED,Middlesbrough,2448,0,0,6.0
Lee Bowyer,eng ENG,Leeds United,1342,3,2,7.0
Lee Bowyer,eng ENG,West Ham,865,0,0,5.0
Titus Bramble,eng ENG,Newcastle Utd,1241,0,0,3.0
Gary Breen,ie IRL,West Ham,860,0,0,1.0
Wayne Bridge,eng ENG,Southampton,3050,1,2,6.0
Michael Bridges,eng ENG,Leeds United,145,0,0,0.0
Giovanni van Bronckhorst,nl NED,Arsenal,956,1,2,1.0
Wes Brown,eng ENG,Manchester Utd,1849,0,1,3.0
Nicky Butt,eng ENG,Manchester Utd,1218,0,1,1.0
Titi Camara,gn GUI,West Ham,62,0,0,0.0
Kevin Campbell,eng ENG,Everton,2736,10,4,3.0
Stephen Carr,ie IRL,Tottenham,2655,0,1,3.0
Michael Carrick,eng ENG,West Ham,2533,1,2,4.0
Roy Carroll,nir NIR,Manchester Utd,834,0,0,0.0
Lee Carsley,ie IRL,Everton,1866,3,1,1.0
Darren Carter,eng ENG,Birmingham City,382,0,0,0.0
Simon Charlton,eng ENG,Bolton,2370,0,1,2.0
Michael Chopra,eng ENG,Newcastle Utd,8,0,0,0.0
Malcolm Christie,eng ENG,Middlesbrough,825,4,0,0.0
Aliou Cissé,sn SEN,Birmingham City,1881,1,0,11.0
Jamie Clapham,eng ENG,Birmingham City,1440,0,0,1.0
Lee Clark,eng ENG,Fulham,775,2,1,3.0
Stephen Clemence,eng ENG,Birmingham City,1266,2,2,3.0
Andy Cole,eng ENG,Blackburn,2875,7,6,6.0
Ashley Cole,eng ENG,Arsenal,2703,1,4,5.0
Carlton Cole,eng ENG,Chelsea,388,3,2,3.0
Joe Cole,eng ENG,West Ham,3197,4,3,10.0
Colin Cooper,eng ENG,Middlesbrough,1399,0,0,0.0
Carl Cort,gy GUY,Newcastle Utd,3,0,0,0.0
Jody Craddock,eng ENG,Sunderland,2250,1,0,2.0
Peter Crouch,eng ENG,Aston Villa,582,0,0,1.0
Christian Dailly,sct SCO,West Ham,2086,0,1,3.0
Andrew Davies,eng ENG,Middlesbrough,90,0,0,0.0
Kevin Davies,eng ENG,Southampton,150,1,0,0.0
Sean Davis,eng ENG,Fulham,2489,3,1,3.0
Jermain Defoe,eng ENG,West Ham,2812,8,6,3.0
Mark Delaney,wls WAL,Aston Villa,1061,0,0,1.0
Edwin van der Sar,nl NED,Fulham,1681,0,0,1.0
Paolo Di Canio,it ITA,West Ham,1365,9,3,2.0
Gary Doherty,ie IRL,Tottenham,983,1,0,2.0
Stewart Downing,eng ENG,Middlesbrough,57,0,0,0.0
Michael Duberry,eng ENG,Leeds United,1032,0,1,1.0
Dion Dublin,eng ENG,Aston Villa,2004,10,3,6.0
Damien Duff,ie IRL,Blackburn,2247,9,5,3.0
David Dunn,eng ENG,Blackburn,2195,8,4,1.0
Richard Dunne,ie IRL,Manchester City,2058,0,1,5.0
Kieron Dyer,eng ENG,Newcastle Utd,2948,2,4,1.0
Ugo Ehiogu,eng ENG,Middlesbrough,2674,3,0,5.0
Robbie Elliott,eng ENG,Newcastle Utd,18,0,0,0.0
Peter Enckelman,fi FIN,Aston Villa,2926,0,0,2.0
Matthew Etherington,eng ENG,Tottenham,1311,1,3,0.0
Jason Euell,jm JAM,Charlton Ath,3116,10,2,6.0
Les Ferdinand,eng ENG,Tottenham,396,2,0,1.0
Les Ferdinand,eng ENG,West Ham,869,2,1,1.0
Rio Ferdinand,eng ENG,Manchester Utd,2437,0,1,3.0
Duncan Ferguson,sct SCO,Everton,188,0,0,1.0
Steve Finnan,ie IRL,Fulham,2880,0,2,6.0
Mark Fish,za RSA,Charlton Ath,1911,2,0,2.0
Garry Flitcroft,eng ENG,Blackburn,2802,2,0,6.0
Robbie Fowler,eng ENG,Leeds United,238,2,0,1.0
Robbie Fowler,eng ENG,Manchester City,966,2,1,0.0
Brad Friedel,us USA,Blackburn,3330,0,0,0.0
Anthony Gardner,eng ENG,Tottenham,996,1,0,2.0
Keith Gillespie,nir NIR,Blackburn,1192,0,3,2.0
Shay Given,ie IRL,Newcastle Utd,3420,0,0,0.0
Jonathan Greening,eng ENG,Middlesbrough,3375,2,3,6.0
Andy Griffin,eng ENG,Newcastle Utd,2013,1,1,8.0
Mustapha Hadji,ma MAR,Aston Villa,617,0,0,1.0
Dietmar Hamann,de GER,Liverpool,2545,2,2,7.0
Jon Harley,eng ENG,Fulham,990,1,0,2.0
Stéphane Henchoz,ch SUI,Liverpool,1615,0,0,3.0
Emile Heskey,eng ENG,Liverpool,2057,6,3,3.0
Danny Higginbotham,gi GIB,Southampton,379,0,0,0.0
Dean Holdsworth,eng ENG,Bolton,374,0,1,2.0
Justin Hoyte,tt TRI,Arsenal,1,0,0,0.0
Darren Huckerby,eng ENG,Manchester City,577,1,0,0.0
Aaron Hughes,nir NIR,Newcastle Utd,3139,1,1,1.0
Lee Hughes,eng ENG,West Brom,1140,0,0,2.0
Don Hutchison,sct SCO,West Ham,130,0,0,0.0
Robert Huth,de GER,Chelsea,180,0,0,1.0
David James,eng ENG,West Ham,3420,0,0,0.0
Matt Jansen,eng ENG,Blackburn,84,0,0,0.0
Francis Jeffers,eng ENG,Arsenal,351,2,1,1.0
Jermaine Jenas,eng ENG,Newcastle Utd,2273,6,2,1.0
Claus Jensen,dk DEN,Charlton Ath,2902,6,7,1.0
Jonatan Johansson,fi FIN,Charlton Ath,1038,3,2,0.0
Andy Johnson,wls WAL,West Brom,2705,1,1,6.0
Glen Johnson,eng ENG,West Ham,1287,0,2,3.0
Seth Johnson,eng ENG,Leeds United,358,1,0,1.0
Paul Jones,wls WAL,Southampton,1174,0,0,0.0
Frédéric Kanouté,ml MLI,West Ham,1130,5,1,2.0
Robbie Keane,ie IRL,Tottenham,2457,13,1,1.0
Robbie Keane,ie IRL,Leeds United,67,1,0,0.0
Roy Keane,ie IRL,Manchester Utd,1763,0,1,5.0
Jeff Kenna,ie IRL,Birmingham City,3059,1,2,1.0
