player_name,nation,squad,minutes_played,goals,assists,cards
John Aloisi,au AUS,Coventry City,275,2,0,1.0
Darren Anderton,eng ENG,Tottenham,1968,3,5,5.0
Tore André Flo,no NOR,Chelsea,1904,10,1,1.0
Alun Armstrong,eng ENG,Middlesbrough,341,1,0,0.0
Chris Armstrong,eng ENG,Tottenham,2513,14,1,4.0
Peter Atherton,eng ENG,Sheffield Weds,3134,1,0,5.0
Nick Barmby,eng ENG,Everton,3097,9,8,7.0
Gareth Barry,eng ENG,Aston Villa,2700,1,1,6.0
Warren Barton,eng ENG,Newcastle Utd,2871,0,3,6.0
David Batty,eng ENG,Leeds United,1380,0,3,4.0
James Beattie,eng ENG,Southampton,674,0,0,2.0
Mikkel Beck,dk DEN,Derby County,541,1,0,0.0
Henning Berg,no NOR,Manchester Utd,1635,1,0,2.0
Robbie Blake,eng ENG,Bradford City,1660,2,1,0.0
Luís Boa Morte,pt POR,Arsenal,51,0,0,0.0
Luís Boa Morte,pt POR,Southampton,553,1,1,2.0
George Boateng,nl NED,Aston Villa,2488,2,0,9.0
Lars Bohinen,no NOR,Derby County,653,0,1,1.0
Andy Booth,eng ENG,Sheffield Weds,1752,2,3,3.0
Steve Bould,eng ENG,Sunderland,1675,0,0,4.0
Lee Bowyer,eng ENG,Leeds United,2768,5,2,13.0
Gary Breen,ie IRL,Coventry City,1816,0,0,2.0
Wayne Bridge,eng ENG,Southampton,1445,1,2,0.0
Michael Bridges,eng ENG,Leeds United,2357,19,4,6.0
David Burrows,eng ENG,Coventry City,1010,0,0,1.0
Deon Burton,jm JAM,Derby County,1259,4,2,6.0
Nicky Butt,eng ENG,Manchester Utd,1870,3,3,4.0
Colin Calderwood,sct SCO,Aston Villa,1373,0,0,1.0
Titi Camara,gn GUI,Liverpool,1977,9,1,6.0
Kevin Campbell,eng ENG,Everton,2340,12,6,2.0
Stephen Carr,ie IRL,Tottenham,3060,3,3,6.0
Michael Carrick,eng ENG,West Ham,457,1,2,0.0
Laurent Charvet,fr FRA,Newcastle Utd,107,0,0,0.0
Malcolm Christie,eng ENG,Derby County,1175,5,2,2.0
Matt Clarke,eng ENG,Bradford City,1874,0,0,0.0
Stephen Clemence,eng ENG,Tottenham,1520,1,1,5.0
Andy Cole,eng ENG,Manchester Utd,1990,19,4,5.0
Ashley Cole,eng ENG,Arsenal,90,0,0,0.0
Joe Cole,eng ENG,West Ham,1535,1,1,1.0
Stan Collymore,eng ENG,Leicester City,469,4,1,1.0
Colin Cooper,eng ENG,Middlesbrough,2262,0,1,5.0
Carl Cort,gy GUY,Wimbledon,2869,9,6,2.0
Neil Cox,eng ENG,Watford,1755,0,1,2.0
Jody Craddock,eng ENG,Sunderland,1627,0,0,1.0
Richard Cresswell,eng ENG,Sheffield Weds,540,1,0,3.0
Kevin Davies,eng ENG,Southampton,1807,6,3,8.0
Brian Deane,eng ENG,Middlesbrough,2589,9,4,5.0
Mark Delaney,wls WAL,Aston Villa,2292,1,2,6.0
Paolo Di Canio,it ITA,West Ham,2617,16,13,6.0
Gary Doherty,ie IRL,Tottenham,64,0,0,0.0
Mark Draper,eng ENG,Aston Villa,2,0,0,0.0
Michael Duberry,eng ENG,Leeds United,1088,1,0,5.0
Dion Dublin,eng ENG,Aston Villa,2033,12,4,1.0
Richard Dunne,ie IRL,Everton,2325,0,0,8.0
Kieron Dyer,eng ENG,Newcastle Utd,2334,3,6,1.0
Darren Eadie,eng ENG,Leicester City,1278,0,0,0.0
Marc Edworthy,eng ENG,Coventry City,882,0,1,3.0
Ugo Ehiogu,eng ENG,Aston Villa,2766,1,0,5.0
Peter Enckelman,fi FIN,Aston Villa,849,0,0,0.0
Matthew Etherington,eng ENG,Tottenham,149,0,1,0.0
Jason Euell,jm JAM,Wimbledon,2994,4,5,9.0
Graham Fenton,eng ENG,Leicester City,142,0,1,1.0
Les Ferdinand,eng ENG,Tottenham,449,2,0,2.0
Rio Ferdinand,eng ENG,West Ham,2959,0,0,2.0
Duncan Ferguson,sct SCO,Newcastle Utd,1537,6,1,1.0
Tim Flowers,eng ENG,Leicester City,2447,0,0,1.0
Craig Forrest,ca CAN,West Ham,937,0,0,0.0
Robbie Fowler,eng ENG,Liverpool,814,3,0,1.0
Ruel Fox,ms MSR,Tottenham,99,0,0,1.0
Damien Francis,jm JAM,Wimbledon,207,0,0,0.0
Brad Friedel,us USA,Liverpool,180,0,0,0.0
Steve Froggatt,eng ENG,Coventry City,1870,1,2,5.0
Kevin Gallacher,sct SCO,Newcastle Utd,1229,2,0,0.0
Marcus Gayle,jm JAM,Wimbledon,3045,7,4,2.0
David Ginola,fr FRA,Tottenham,2864,3,7,3.0
Shay Given,ie IRL,Newcastle Utd,1260,0,0,0.0
Dean Gordon,eng ENG,Middlesbrough,312,0,0,1.0
Julian Gray,eng ENG,Arsenal,20,0,0,0.0
Jonathan Greening,eng ENG,Manchester Utd,124,0,0,0.0
Andy Griffin,eng ENG,Newcastle Utd,95,1,0,0.0
Arnar Gunnlaugsson,is ISL,Leicester City,110,0,0,0.0
Mustapha Hadji,ma MAR,Coventry City,2870,6,7,5.0
Gunnar Halle,no NOR,Bradford City,3165,0,5,8.0
Dietmar Hamann,de GER,Liverpool,2249,1,2,6.0
Jon Harley,eng ENG,Chelsea,1210,2,0,2.0
John Hartson,wls WAL,Wimbledon,1311,9,4,5.0
Stéphane Henchoz,ch SUI,Liverpool,2604,0,0,8.0
Colin Hendry,sct SCO,Coventry City,777,0,0,0.0
Emile Heskey,eng ENG,Liverpool,1021,3,1,0.0
Emile Heskey,eng ENG,Leicester City,2023,7,3,5.0
Danny Higginbotham,gi GIB,Manchester Utd,151,0,0,0.0
Scott Hiley,eng ENG,Southampton,270,0,0,0.0
Andy Hinchcliffe,eng ENG,Sheffield Weds,2539,1,2,0.0
Shaka Hislop,tt TRI,West Ham,1761,0,0,1.0
David Hopkin,sct SCO,Leeds United,967,1,1,1.0
Darren Huckerby,eng ENG,Leeds United,1250,2,3,0.0
Darren Huckerby,eng ENG,Coventry City,69,0,0,0.0
Aaron Hughes,nir NIR,Newcastle Utd,1993,2,2,0.0
Mark Hughes,wls WAL,Southampton,1660,1,2,8.0
Mark Hughes,wls WAL,Everton,760,1,1,2.0
Michael Hughes,nir NIR,Wimbledon,1145,3,1,2.0
Don Hutchison,sct SCO,Everton,2481,6,4,8.0
Andy Impey,eng ENG,Leicester City,2397,2,2,0.0
Paul Ince,eng ENG,Middlesbrough,2810,3,1,8.0
Muzzy Izzet,tr TUR,Leicester City,2791,8,3,3.0
David James,eng ENG,Aston Villa,2565,0,0,0.0
Francis Jeffers,eng ENG,Everton,1456,6,6,1.0
Julian Joachim,eng ENG,Aston Villa,2407,6,5,0.0
Seth Johnson,eng ENG,Derby County,3157,1,4,13.0
Tommy Johnson,eng ENG,Everton,65,0,0,1.0
Paul Jones,wls WAL,Southampton,2689,0,0,0.0
Duncan Jupp,sct SCO,Wimbledon,680,0,0,1.0
Frédéric Kanouté,ml MLI,West Ham,720,2,1,1.0
Robbie Keane,ie IRL,Coventry City,2692,12,4,3.0
Roy Keane,ie IRL,Manchester Utd,2403,5,1,10.0
Martin Keown,eng ENG,Arsenal,2403,1,0,8.0
Harry Kewell,au AUS,Leeds United,3193,10,4,6.0
Kevin Kilbane,ie IRL,Sunderland,1510,1,1,2.0
Paul Kitson,eng ENG,West Ham,427,0,0,0.0
Frank Lampard,eng ENG,West Ham,3060,7,3,4.0
