player_name,nation,squad,minutes_played,goals,assists,cards
Yakubu Aiyegbeni,ng NGA,Portsmouth,3124,16,3,2.0
Jérémie Aliadière,fr FRA,Arsenal,260,0,0,1.0
Darren Ambrose,eng ENG,Newcastle Utd,960,2,2,3.0
Lorenzo Amoruso,it ITA,Blackburn,991,3,0,3.0
Darren Anderton,eng ENG,Tottenham,1435,1,4,4.0
Keith Andrews,ie IRL,Wolves,90,0,0,0.0
Nicolas Anelka,fr FRA,Manchester City,2737,16,4,2.0
Chris Baird,nir NIR,Southampton,192,0,0,1.0
Nick Barmby,eng ENG,Leeds United,148,0,0,0.0
Anthony Barness,eng ENG,Bolton,984,0,0,0.0
Gareth Barry,eng ENG,Aston Villa,3009,3,8,4.0
Joey Barton,eng ENG,Manchester City,2186,1,2,8.0
David Batty,eng ENG,Leeds United,834,0,1,4.0
James Beattie,eng ENG,Southampton,2965,14,6,3.0
Craig Bellamy,wls WAL,Newcastle Utd,1212,4,0,3.0
David Bellion,fr FRA,Manchester Utd,457,2,1,0.0
Ian Bennett,eng ENG,Birmingham City,461,0,0,0.0
Marcus Bent,eng ENG,Leicester City,2495,9,3,3.0
David Bentley,eng ENG,Arsenal,61,0,0,0.0
Eyal Berkovic,il ISR,Portsmouth,820,1,1,2.0
Eyal Berkovic,il ISR,Manchester City,141,0,0,0.0
Nathan Blake,wls WAL,Wolves,1001,1,2,3.0
Luís Boa Morte,pt POR,Fulham,2788,9,4,10.0
George Boateng,nl NED,Middlesbrough,3121,0,2,6.0
Lee Bowyer,eng ENG,Newcastle Utd,1526,2,1,5.0
Titus Bramble,eng ENG,Newcastle Utd,2486,0,0,7.0
Wayne Bridge,eng ENG,Chelsea,2964,1,4,1.0
Michael Bridges,eng ENG,Leeds United,276,0,0,2.0
Michael Bridges,eng ENG,Newcastle Utd,67,0,0,0.0
Michael Brown,eng ENG,Tottenham,1491,1,1,1.0
Wes Brown,eng ENG,Manchester Utd,1411,0,1,1.0
Deon Burton,jm JAM,Portsmouth,17,0,0,0.0
Nicky Butt,eng ENG,Manchester Utd,1106,1,0,2.0
Henri Camara,sn SEN,Wolves,2589,7,3,2.0
Kevin Campbell,eng ENG,Everton,761,1,1,1.0
Stephen Carr,ie IRL,Tottenham,2806,1,2,10.0
Roy Carroll,nir NIR,Manchester Utd,540,0,0,0.0
Lee Carsley,ie IRL,Everton,1406,1,0,4.0
Scott Carson,eng ENG,Leeds United,182,0,0,0.0
Darren Carter,eng ENG,Birmingham City,74,0,0,0.0
Simon Charlton,eng ENG,Bolton,2470,0,2,1.0
Michael Chopra,eng ENG,Newcastle Utd,131,0,0,0.0
Malcolm Christie,eng ENG,Middlesbrough,664,1,1,1.0
Aliou Cissé,sn SEN,Birmingham City,535,0,0,5.0
Jamie Clapham,eng ENG,Birmingham City,2015,0,1,0.0
Lee Clark,eng ENG,Fulham,2180,2,3,2.0
Stephen Clemence,eng ENG,Birmingham City,2728,2,1,4.0
Gaël Clichy,fr FRA,Arsenal,657,0,0,1.0
Andy Cole,eng ENG,Blackburn,2624,11,6,4.0
Ashley Cole,eng ENG,Arsenal,2821,0,3,6.0
Carlton Cole,eng ENG,Charlton Ath,971,4,0,0.0
Joe Cole,eng ENG,Chelsea,1648,1,5,3.0
Colin Cooper,eng ENG,Middlesbrough,1439,0,0,3.0
Carl Cort,gy GUY,Wolves,1155,5,2,0.0
Jody Craddock,eng ENG,Wolves,2792,2,1,2.0
Mark Crossley,wls WAL,Fulham,90,0,0,0.0
Peter Crouch,eng ENG,Aston Villa,588,4,3,1.0
Callum Davidson,sct SCO,Leicester City,817,0,0,2.0
Andrew Davies,eng ENG,Middlesbrough,721,0,0,0.0
Kevin Davies,eng ENG,Bolton,3307,9,9,9.0
Sean Davis,eng ENG,Fulham,1971,5,2,5.0
Brian Deane,eng ENG,Leicester City,118,0,1,0.0
Jermain Defoe,eng ENG,Tottenham,1277,7,0,1.0
Mark Delaney,wls WAL,Aston Villa,2043,1,2,4.0
Edwin van der Sar,nl NED,Fulham,3330,0,0,0.0
Paolo Di Canio,it ITA,Charlton Ath,2017,4,12,1.0
Paul Dickov,sct SCO,Leicester City,2522,11,3,8.0
Gary Doherty,ie IRL,Tottenham,1451,1,0,3.0
Stewart Downing,eng ENG,Middlesbrough,775,0,1,0.0
Michael Duberry,eng ENG,Leeds United,1710,3,0,2.0
Dion Dublin,eng ENG,Aston Villa,1181,3,0,1.0
Damien Duff,ie IRL,Chelsea,1459,5,9,0.0
Richard Duffy,wls WAL,Portsmouth,68,0,0,0.0
David Dunn,eng ENG,Birmingham City,1790,2,1,2.0
Richard Dunne,ie IRL,Manchester City,2500,0,0,5.0
Kieron Dyer,eng ENG,Newcastle Utd,2160,1,3,1.0
Ugo Ehiogu,eng ENG,Middlesbrough,1395,0,0,4.0
Peter Enckelman,fi FIN,Blackburn,180,0,0,0.0
Jason Euell,jm JAM,Charlton Ath,2221,10,2,6.0
Amdy Faye,sn SEN,Portsmouth,2281,0,0,6.0
Les Ferdinand,eng ENG,Leicester City,1547,12,2,4.0
Rio Ferdinand,eng ENG,Manchester Utd,1760,0,1,0.0
Barry Ferguson,sct SCO,Blackburn,1211,1,1,3.0
Duncan Ferguson,sct SCO,Everton,1178,5,2,7.0
Steve Finnan,ie IRL,Liverpool,1726,0,2,4.0
Mark Fish,za RSA,Charlton Ath,1861,0,0,2.0
Garry Flitcroft,eng ENG,Blackburn,2396,3,1,9.0
Mikael Forssell,fi FIN,Birmingham City,2807,17,1,1.0
Robbie Fowler,eng ENG,Manchester City,1911,7,0,2.0
Brad Friedel,us USA,Blackburn,3240,1,0,0.0
