club_name,table_position
Arsenal FC,1
Man Utd,2
Liverpool FC,3
Chelsea FC,4
Leeds United,5
Blackburn Rovers,6
Aston Villa,7
West Ham United,8
Derby County,9
Leicester City,10
Coventry City,11
Southampton FC,12
Newcastle United,13
Spurs,14
Wimbledon FC,15
Sheff Weds,16
Everton FC,17
Bolton,18
Barnsley FC,19
Crystal Palace,20
