club_name,table_position
Man City,1
Man Utd,2
Spurs,3
Liverpool FC,4
Chelsea FC,5
Arsenal FC,6
Burnley FC,7
Everton FC,8
Leicester City,9
Newcastle United,10
Crystal Palace,11
AFC Bournemouth,12
West Ham United,13
Watford FC,14
Brighton,15
Huddersfield,16
Southampton FC,17
Swansea City,18
Stoke City,19
West Brom,20
