club_name,table_position
Leicester City,1
Arsenal FC,2
Spurs,3
Man City,4
Man Utd,5
Southampton FC,6
West Ham United,7
Liverpool FC,8
Stoke City,9
Chelsea FC,10
Everton FC,11
Swansea City,12
Watford FC,13
West Brom,14
Crystal Palace,15
AFC Bournemouth,16
Sunderland AFC,17
Newcastle United,18
Norwich City,19
Aston Villa,20
