club_name,table_position
Man Utd,1
Chelsea FC,2
Arsenal FC,3
Liverpool FC,4
Everton FC,5
Aston Villa,6
Blackburn Rovers,7
Portsmouth FC,8
Man City,9
West Ham United,10
Spurs,11
Newcastle United,12
Middlesbrough FC,13
Wigan Athletic,14
Sunderland AFC,15
Bolton,16
Fulham FC,17
Reading FC,18
Birmingham City,19
Derby County,20
