club_name,table_position
Man Utd,1
Arsenal FC,2
Leeds United,3
Liverpool FC,4
Chelsea FC,5
Aston Villa,6
Sunderland AFC,7
Leicester City,8
West Ham United,9
Spurs,10
Newcastle United,11
Middlesbrough FC,12
Everton FC,13
Coventry City,14
Southampton FC,15
Derby County,16
Bradford City,17
Wimbledon FC,18
Sheff Weds,19
Watford FC,20
