club_name,table_position
Man Utd,1
Chelsea FC,2
Man City,3
Arsenal FC,4
Spurs,5
Liverpool FC,6
Everton FC,7
Fulham FC,8
Aston Villa,9
Sunderland AFC,10
West Brom,11
Newcastle United,12
Stoke City,13
Bolton,14
Blackburn Rovers,15
Wigan Athletic,16
Wolves,17
Birmingham City,18
Blackpool FC,19
West Ham United,20
