club_name,table_position
Chelsea FC,1
Man City,2
Arsenal FC,3
Man Utd,4
Spurs,5
Liverpool FC,6
Southampton FC,7
Swansea City,8
Stoke City,9
Crystal Palace,10
Everton FC,11
West Ham United,12
West Brom,13
Leicester City,14
Newcastle United,15
Sunderland AFC,16
Aston Villa,17
Hull City,18
Burnley FC,19
QPR,20
