club_name,table_position
Chelsea FC,1
Man Utd,2
Liverpool FC,3
Arsenal FC,4
Spurs,5
Blackburn Rovers,6
Newcastle United,7
Bolton,8
West Ham United,9
Wigan Athletic,10
Everton FC,11
Fulham FC,12
Charlton,13
Middlesbrough FC,14
Man City,15
Aston Villa,16
Portsmouth FC,17
Birmingham City,18
West Brom,19
Sunderland AFC,20
