club_name,table_position
Man Utd,1
Chelsea FC,2
Liverpool FC,3
Arsenal FC,4
Spurs,5
Everton FC,6
Bolton,7
Reading FC,8
Portsmouth FC,9
Blackburn Rovers,10
Aston Villa,11
Middlesbrough FC,12
Newcastle United,13
Man City,14
West Ham United,15
Fulham FC,16
Wigan Athletic,17
Sheff Utd,18
Charlton,19
Watford FC,20
