club_name,table_position
Man Utd,1
Arsenal FC,2
Chelsea FC,3
Leeds United,4
West Ham United,5
Aston Villa,6
Liverpool FC,7
Derby County,8
Middlesbrough FC,9
Leicester City,10
Spurs,11
Sheff Weds,12
Newcastle United,13
Everton FC,14
Coventry City,15
Wimbledon FC,16
Southampton FC,17
Charlton,18
Blackburn Rovers,19
Nottm Forest,20
