club_name,table_position
Blackburn Rovers,1
Man Utd,2
Nottm Forest,3
Liverpool FC,4
Leeds United,5
Newcastle United,6
Spurs,7
QPR,8
Wimbledon FC,9
Southampton FC,10
Chelsea FC,11
Arsenal FC,12
Sheff Weds,13
West Ham United,14
Everton FC,15
Coventry City,16
Man City,17
Aston Villa,18
Crystal Palace,19
Norwich City,20
Leicester City,21
Ipswich Town,22
