club_name,table_position
Chelsea FC,1
Arsenal FC,2
Man Utd,3
Everton FC,4
Liverpool FC,5
Bolton,6
Middlesbrough FC,7
Man City,8
Spurs,9
Aston Villa,10
Charlton,11
Birmingham City,12
Fulham FC,13
Newcastle United,14
Blackburn Rovers,15
Portsmouth FC,16
West Brom,17
Crystal Palace,18
Norwich City,19
Southampton FC,20
