club_name,table_position
Man Utd,1
Blackburn Rovers,2
Newcastle United,3
Arsenal FC,4
Leeds United,5
Wimbledon FC,6
Sheff Weds,7
Liverpool FC,8
QPR,9
Aston Villa,10
Coventry City,11
Norwich City,12
West Ham United,13
Chelsea FC,14
Spurs,15
Man City,16
Everton FC,17
Southampton FC,18
Ipswich Town,19
Sheff Utd,20
Oldham Athletic,21
Swindon Town,22
