club_name,table_position
Man Utd,1
Man City,2
Chelsea FC,3
Arsenal FC,4
Spurs,5
Everton FC,6
Liverpool FC,7
West Brom,8
Swansea City,9
West Ham United,10
Norwich City,11
Fulham FC,12
Stoke City,13
Southampton FC,14
Aston Villa,15
Newcastle United,16
Sunderland AFC,17
Wigan Athletic,18
Reading FC,19
QPR,20
