club_name,table_position
Man City,1
Liverpool FC,2
Chelsea FC,3
Arsenal FC,4
Everton FC,5
Spurs,6
Man Utd,7
Southampton FC,8
Stoke City,9
Newcastle United,10
Crystal Palace,11
Swansea City,12
West Ham United,13
Sunderland AFC,14
Aston Villa,15
Hull City,16
West Brom,17
Norwich City,18
Fulham FC,19
Cardiff City,20
