club_name,table_position
Liverpool FC,1
Man City,2
Man Utd,3
Chelsea FC,4
Leicester City,5
Spurs,6
Wolves,7
Arsenal FC,8
Sheff Utd,9
Burnley FC,10
Southampton FC,11
Everton FC,12
Newcastle United,13
Crystal Palace,14
Brighton,15
West Ham United,16
Aston Villa,17
AFC Bournemouth,18
Watford FC,19
Norwich City,20
