club_name,table_position
Man Utd,1
Liverpool FC,2
Chelsea FC,3
Arsenal FC,4
Everton FC,5
Aston Villa,6
Fulham FC,7
Spurs,8
West Ham United,9
Man City,10
Wigan Athletic,11
Stoke City,12
Bolton,13
Portsmouth FC,14
Blackburn Rovers,15
Sunderland AFC,16
Hull City,17
Newcastle United,18
Middlesbrough FC,19
West Brom,20
